Description,Eligibility,FO Reference,GO ID,Primary Category,Secondary Category,Title
"The objectives of the Development Grant scheme are:  
 
 to increase, facilitate and expedite the translation of health and medical research outcomes through to commercialisation, within a foreseeable timeframe 
 to support proof-of-concept research with a feasible commercialisation pathway and a high likelihood of producing protected IP 
 to provide a potential mechanism through which research outcomes can be progressed to a stage that makes them competitive to receive industry investment through other government schemes or from the private sector, and 
 to encourage collaboration between health research, the private sector and industry (domestic and international).  
 
 The intended outcomes of the Development Grant scheme are: 
 
 increased rates of translation of health and medical research into commercial outcomes, resulting in improved health and medical knowledge.  
","Applications will only be accepted from NHMRC approved Administering Institutions. A list of NHMRC approved Administering Institutions is available at:  https://www.nhmrc.gov.au/funding/manage-your-funding/nhmrcs-administering-institutions . 
 Applications must satisfy all the requirements set out in the Development Grants 2021 Guidelines. ",,GO4756,231013 - Medical Research,,NHMRC Development Grants 2021 for funding in 2022
"The Australian Government is inviting applications through a targeted competitive process to apply to deliver services under the International Education Support Outcome – Destination Australia Program from 2019-20 to 2022-23.  
 The objective of the grant opportunity is to attract and support international and domestic students to study in regional Australia, to grow and develop regional Australian tertiary education providers and offer students a high quality learning experience. The program will: 
 
 enhance regional and rural Australian education institutions through promoting activities that contribute to growth and sustainability 
 offer students from Australia and overseas the opportunity to undertake high quality education, training and research in, and to experience regional and rural Australia, and 
 ensure regions share in the benefits of our $35 billion international education sector. 
 
 The intended outcomes of the grant opportunity are: 
 
 international and domestic students receive Australian Government scholarships for studying in regional Australia  
 increased awareness of the benefits of living, studying and working in regional Australia. 
 
 The program will provide grants to eligible Australian tertiary education providers to allocate, administer and promote scholarships for international and domestic students studying in regional Australia. ","To be eligible for this grant opportunity, you must be an Australian tertiary education provider with an active registration who meets the following criteria: If applying for scholarships for domestic students you must be:  A Registered Training Organisation (RTO) registered with the Australian Skills Quality Authority (ASQA), Victorian Registration and Qualifications Authority (VRQA), or the Western Australian Training Accreditation Council (WA TAC).  You must have a registration status of Current or Current (Re-registration pending) at the time the grant opportunity opens.   AND/OR A Higher education provider registered with the Tertiary Education Quality Standards Agency (TEQSA). You must have a registration status of Registered or Ongoing pending renewal at the time the grant opportunity opens.   If applying for scholarships for international students, in addition to the eligibility listed above, you must be:   A tertiary provider registered under the Commonwealth Register of Institutions and Courses for Overseas Students (CRICOS). You must have a registration status of Registered at the time the grant opportunity opens. Applicants will be required to provide their relevant registration ID/s within the application form. All  applicants must also meet the eligibility requirements listed below:  Tertiary education providers must have a campus location in a regional area as defined by the  Australian Statistical Geography Standard Remoteness Structure  from the Australian Bureau of Statistics which is defined as: inner regional outer regional remote or very remote. Tertiary education providers must only offer and administer scholarships through the Destination Australia Program to students studying at a regional campus and living in a regional or remote area. Please refer to the Grant Opportunity Guidelines for more information.",,GO2895,191002 - Higher Education,191008 - Vocational Education,Destination Australia Program
"Partnership Projects will support connections, within the Australian context, that translate research evidence into health policy and health practice, to improve health services and processes. 
 
 meet the need for a more effective integration of research evidence into health policy and service delivery 
 create partnerships among policy makers, managers, service providers and researchers  
 provide support to answer often complex and difficult questions that policy makers, managers and service providers face when making decisions and implementing policies that affect Australians health and health care  
 be highly responsive to the priorities of government, the community and health professionals 
 enable applicants to apply for funding at any time during the year to allow researchers and Partner Organisations to develop timely collaborations. 
",Applications for NHMRC funding are subject to the eligibility requirements set out in the Partnership Projects 2020 Guidelines.  Institutions must be an NHMRC approved Administering Institution to be eligible to receive and administer NHMRC funding – refer to the NHMRC for a list of approved Administering Institutions. ,,GO3862,231013 - Medical Research,,NHMRC Partnership Projects 2020
"The Australian Government is inviting applications for projects to deliver services under the National Landcare Program – Smart Farms Small Grants Round 4. 
 Smart Farms Small Grants is an open, competitive, grant opportunity to support projects to increase farming, forestry and fishing communities’ awareness, knowledge, skills and capacity to adopt best practice sustainable agriculture. 
 The purpose of Smart Farms Small Grants is to support land manager practice change that will deliver more sustainable, productive and profitable food, fibre and forestry business while protecting Australia’s biodiversity; protecting and improving the condition of natural resources; and assisting Australia meet its international obligations. 
 The purpose will be achieved by supporting projects that contribute to achieving one or both of the program outcomes outlined below: 
 
 
 Outcome 1 – Increased adoption of best practice sustainable agriculture 
 
 
 Outcome 2 – Increase the capacity of land managers to adopt best practice sustainable agriculture 
 
 
 A total of $43.5 million (GST exclusive) is available for Smart Farms Small Grants over six years (2017–18 to 2022–23).  
 
 
 The first round opened for applications in October 2017 from which, the then Minister for Agriculture and Water Resources approved 77 projects totalling $4.75 million (GST exclusive).  
 
 
 The second round opened for applications in November 2018 from which the then Minister for Agriculture approved 110 projects totalling $9.246 million (GST exclusive). 
 
 
 The third round opened for applications in October 2019 from which the Minister for Agriculture, Drought and Emergency Management approved 113 projects totalling $5.03 million (GST exclusive). 
 
 
 This grant opportunity is the fourth round. 
 
","To be eligible to apply for a grant you  must  be an individual or an organisation capable of entering into a legally binding and enforceable agreement with the Commonwealth. To be eligible you must be one of the following entity types: Commonwealth Company Company Cooperative Corporate Commonwealth Entity Corporate State or Territory Entity Incorporated Association Indigenous Corporation International Entity Local Government Non-corporate State or Territory Entity Non-corporate State or Territory Statutory Authority Partnership Person Sole Trader Statutory Entity Trustee on behalf of a Trust. Applications from consortia are eligible, as long as you have a lead applicant who is solely accountable to the Commonwealth for the delivery of grant activities and who is an eligible entity as per the list above. Eligible organisations can form a consortium with ineligible organisations.",,GO4255,111003 - Farming,211006 - Natural Resources - Conservation and Protection,National Landcare Program: Smart Farms Small Grants Round 4
"The PHN Program Core Funding grant opportunity provides three streams of funding to PHNs: 
 - corporate governance funding supports the corporate and administrative costs and requirements of running a PHN 
 - health systems improvement funding for activities to assist in the integration and coordination of health services in each PHN region 
 - flexible funding enables PHNs to commission frontline health services. The services respond to local health priorities identified in individual needs assessments and national health priorities as determined by the Government. 
 The objectives of the grant opportunity are to: 
 - support the administrative costs of running a PHN 
 - deliver core functions including population health planning and system integration 
 - commission services to deliver priority primary health care services in their regions. 
 The intended outcomes of the grant opportunity are to: 
 - maintain business operations for PHNs 
 - commission flexible services to meet local needs and priorities 
 - improve patient access to range of health services and activities 
 - improve coordination of care for patients and integration of health services in their region. 
 Please click on the red 'GO Documents' button on the left-hand side of GrantConnect page to access grant opportunity documents. 
  ","PHNs are individual, not-for-profit organisations that were selected through an open competitive process in 2014-15 to deliver the PHN Program. 
 To be eligible for grants under the PHN Program, grant applicants must be one of the 31 PHNs listed in the Grant Opportunity. 
 Grants under the PHN Program are limited to only existing PHNs; this is in keeping with the intent of the program to provide a national network of regional organisations that commission and integrate services at the local level to address identified needs, and provide support and system level integration for health services to improve coordination of care for patients.  
 The yearly performance assessment determines the continuation of grant funding to each PHN. ",,GO4954,231018 - Public Health Services,,Primary Health Networks Program Core Funding
"Grants are primarily delivered through a closed non-competitive process to organisations that have a history of high level performance, with priority given to organisations that have previously received multi-year IVAIS funding. 
 Funding will be provided to organisations for activities that best contribute to delivery of the following Program outcomes:    
 
 professional, viable and ethical Indigenous visual arts industry that features strong participation and provides economic opportunities for Aboriginal and Torres Strait Islander people 
 the continued production, exhibition, critique, purchase and collection of Indigenous visual art. 
","To be eligible an organisation must 
 
 be one of the following entity types:  
 
 an Aboriginal and/or Torres Strait Islander Corporation registered under the  Corporations (Aboriginal and Torres Strait Islander) Act 2006 
 an organisation established through a specific piece of Commonwealth or State or Territory legislation 
 a company incorporated in Australia 
 a company limited by guarantee 
 an incorporated association 
 a not-for-profit organisation 
 a publicly funded research organisation 
 an Australian local government body 
 State or Territory Government 
 
 have an Australian Business Number (ABN) 
 be registered for the Goods and Services Tax, if required by the Tax Office 
 have no overdue acquittals or serious breaches relating to Australian Government funding. A serious breach is one that has resulted in, or warrants, the termination of a grant agreement. 
",,GO4928,121003 - Humanities,251001 - Indigenous Arts and Culture,Indigenous Visual Arts Industry Support - Closed Non-Competitive
"This grant supports short-term (up to 3 years), industry-led collaborations. 
 Projects must: 
 
 develop a product, service or process that will solve problems for industry and deliver real outcomes 
 benefit small to medium enterprises (SMEs) 
 include education and training activities 
 
 You can use the funding to cover costs directly related to your project including: 
 
 new research 
 proof of concept activities 
 pre-commercialisation of research outcomes 
 industry-focused education and training activities 
 conferences, workshops, symposia related to the joint research 
 information sharing and communications related to the research 
 
 This is not a complete list and other costs may also be eligible.","To be eligible for funding in CRC-P Round 10 your project must have a focus on addressing gaps in Australia’s waste and recycling capability, particularly in regards to plastics, paper, glass and tyres. To be eligible as a lead applicant you must: have an Australian business number (ABN) be incorporated in Australia and a trading corporation Your trading activities must be either: enough to be called a trading corporation a major, not minor, part of your overall activity Project partners must include: 2 Australian industry organisations, including at least 1 SME 1 Australian research organisation",,GO4148,261001 - Industry Innovation,,Cooperative Research Centres Projects (CRC-P) – Round 10
The purpose of this grant is to establish multilingual 1800 support line telephone numbers that senior Australians and their carers can call to receive information about the current COVID-19 pandemic. The phone lines will be established via a peak body organisation and work with the existing seniors COVID-19 support lines.,"To be eligible you must be one of the listed organisations: 
 
 Centre for Cultural Diversity in Ageing ABN: 60 082 451 992 
",,GO4586,101001 - Aged Care,,"Senior Australians Information, Wellbeing and Social Support ServicesFocus on CALD Groups"
"The Manufacturing Integration Stream will support projects that integrate Australian businesses into domestic and international value chains, propelling their goods and services into new markets and fostering Australia’s reputation as a modern manufacturing leader. It will encourage and facilitate linkages between local businesses and domestic and international firms, increasing scale, supply capacity, and the ability to innovate. 
 Australia’s resource sector is world-class. The sector is a leading exporter of energy and resources commodities, serviced by a highly regarded resources technology sector. In 2019 the Australian METS sector generated $97 billion in revenue, supporting approximately 200,000 jobs. However, resources technology is a manufacturing area with untapped potential that could be leveraged further, based on the capability and innovation of Australian businesses in supporting the competitiveness of our resources sector. There are also opportunities to expand the current market footprint by adapting more of these technologies across other Australian sectors, such as defence and space, and capturing more of global markets. 
 Australia has significant reserves of the critical minerals and metals which drive the modern global economy. These are used to manufacture advanced technologies such as electric vehicles, mobile phones and renewable energy. However, because the majority of primary ores are shipped overseas for processing, Australia derives a small share of the potential overall benefit. Australia can capture greater benefit from these value chains by undertaking further value adding and manufacturing here. 
 For the Modern Manufacturing Initiative’s Translation and Integration Stream grant opportunities, an initial combined total of approximately $140 million is available from 2020-21 to 2023-24 across all the National Manufacturing Priorities.","To be eligible you must: 
 
 have an Australian Business Number (ABN) 
 be non-tax-exempt 
 be registered for the Goods and Services Tax (GST) 
 
 and be: 
 
 an entity incorporated in Australia, including start-ups and a trading corporation, where your trading activities: 
 
 form a sufficiently significant proportion of the corporation’s overall activities as to merit it being described as a trading corporation; or 
 are a substantial and not merely peripheral activity of the corporation. 
 
 
 You must also: 
 
 have a project that aligns with the Resources Technology and Critical Minerals Processing  National Manufacturing Priority area 
 have a minimum of $2 million in eligible project expenditure 
 be able to provide evidence that your project is supported by your board (or Chief Executive Officer or equivalent if there is no board) 
 be able to provide evidence that you can meet the costs of the project not covered by the grant funding. 
 
 The Grant opportunity guidelines provide further detail on eligibility.",,GO4673,261001 - Industry Innovation,,MMI – Manufacturing Integration Stream – Resources Technology and Critical Minerals Processing Priority – Round 1
"The Australian Government is inviting applications in an open process to apply to deliver services under the Mutual Understanding, Support, Tolerance, Engagement and Respect (MUSTER) Program – Multicultural Community Amenities Grants in the Northern Territory in 2020-21. 
 This grant opportunity will support multicultural associations and organisations to develop their community facilities in the Northern Territory to ensure they are suitable for events and initiatives that may need to accommodate culturally specific requirements (such as appropriate kitchen facilities to avoid contamination between meat and vegetarian preparation areas). 
 The intended outcomes of the grant opportunity are that: 
 
 Improved amenities will help communities enjoy the use and benefit of shared community spaces that can accommodate their cultural needs. 
 Existing Northern Territory multicultural services or community groups will be able to fully participate in social, economic and sporting life in the Northern Territory. 
 
 The Australian Government announced a total of up to $2 million (GST exclusive) over one year for the 2020-21 financial year for the Multicultural Community Amenities Grants in the Northern Territory to help with greater social and economic participation. 
 
 The minimum grant amount per application is $25,000 (GST exclusive). 
 
 The maximum grant amount per application is $50,000 (GST exclusive). 
 
 
 You may separately submit more than one application for each proposed project.  
 
","To be eligible you must be one of the following entity types: 
 
 Indigenous Corporation 
 Company 
 Cooperative 
 Incorporated Association 
 Statutory Entity 
 Partnership 
",,GO4497,161003 - Multiculturalism,,Multicultural Community Amenities Grants in the Northern Territory
"The Australian Laureate Fellowships grant opportunity encourages applications from the highest-quality researchers by providing eligible Australian Laureate Fellows with project funding in addition to a salary supplement and salary-related (on-cost) support. 
 We may name two successful Australian Laureate Fellows as the Kathleen Fitzpatrick Australian Laureate Fellow and the Georgina Sweet Australian Laureate Fellow. The Kathleen Fitzpatrick Australian Laureate Fellowship may be available to a highly ranked female candidate from the humanities, arts and social science disciplines. The Georgina Sweet Australian Laureate Fellowship may be available to a highly ranked female candidate from the science and technology disciplines. Recipients will be provided with additional funding to undertake an ambassadorial role to promote women in research. 
 The Australian Laureate Fellowships objectives are to: 
 
 support ground-breaking, internationally-competitive basic and applied research; 
 forge strong links among researchers, the international research community and/or industry and other research end-users; 
 enhance the scale and focus of research in Australian Government priority areas; 
 attract and retain outstanding researchers and research leaders of international reputation; and 
 provide an excellent research training environment and exemplary mentorship to nurture early-career researchers. 
 
 The intended outcomes of the Australian Laureate Fellowships scheme are: 
 
 expanded knowledge base and research capability in Australia; and  
 economic, commercial, environmental, social and/or cultural benefits for Australia.  
 
 Preference will be given to researchers who will play a significant, sustained leadership and mentoring role in increasing Australia’s internationally competitive research capacity.","An application may only be submitted through the Research Office of an Eligible Organisation listed in the relevant Grant Guidelines. 
 Eligibility Criteria for Participants 
 All candidates named in an application must satisfy the eligibility criteria for the role they are to perform as listed in the relevant Grant Guidelines. 
 The named participant role available under the Australian Laureate Fellowships grant opportunity is an Australian Laureate Fellowship candidate. 
 Application Eligibility 
 The application must nominate only one Australian Laureate Fellowship candidate and request funding for a minimum of two Postdoctoral Research Associates (PDRAs) and two Postgraduate Researchers (PGRs). 
 An individual must not be nominated for more than one Australian Laureate Fellowship in a grant opportunity. 
 A previous recipient of an Australian Laureate Fellowship is not eligible to apply for another Australian Laureate Fellowship. 
 An Australian Laureate Fellowship candidate can be concurrently funded through the Discovery Program for a maximum of: one ARC Fellowship and one project as a CI; or one ARC Fellowship or project if the individual is also a Director on an active ARC Centre of Excellence and/or a Special Research Initiative project. 
 Applications for Australian Laureate Fellowships do not need to meet the project limit requirements at the grant opportunity closing date. If an Australian Laureate Fellowships application is successful, named participants must meet the project limits before the project can start. Project limits can be met by relinquishing existing active project(s), or relinquishing role(s) on existing active projects, or withdrawing application(s) that would exceed the project limits.",DProg2019,GO4347,"381002 - Humanities, Arts and Social Sciences (HASS) Research","381001 - Science, Technology, Engineering and Mathematics (STEM) Research",Australian Laureate Fellowships for funding commencing in 2021
"The CRE grant program supports research which aims to improve health outcomes and promote or improve translation of research outcomes into policy and/or practice. The CRE grant program will also support researchers in capacity building activities, including in specific areas of need identified by NHMRC. 
 CREs will provide support for teams of researchers to pursue collaborative research and develop capacity in three streams: 
 
 Clinical Research 
 Population Health Research 
 Health Services Research. 
 
 Applicants nominate the stream that best fits their research proposal, although the NHMRC appreciates that there is often overlap. Applicants should refer to the  Centres of Research Excellence 2018 Guidelines  for further guidance in selecting the appropriate stream. 
 A CRE may be a single physical entity or institute, or be a geographically disparate network linking across more than one institution. Centres are encouraged to collaborate with, and participate in, national and international research studies.",Applications for NHMRC funding are subject to the eligibility requirements set out in the  Centres of Research Excellence 2018 Guidelines.    Institutions must be an NHMRC approved Administering Institution to be eligible to receive and administer NHMRC funding - refer to the NHMRC website for a list of approved Administering Institutions. https://nhmrc.gov.au/funding/manage-your-funding/nhmrcs-administering-institutions,,GO1800,231013 - Medical Research,,NHMRC Centres of Research Excellence (CRE)
"The overarching outcome of the ILA Program is to support Aboriginal and Torres Strait Islander peoples to express, preserve and maintain their cultures through Indigenous languages and arts activities. 
 Grant funding allocated through the ILA Program supports three key outcomes: 
 
 the empowerment of Aboriginal and Torres Strait Islander peoples to preserve and teach their culture through languages and arts 
  a strong sense of cultural identity and wellbeing in Aboriginal and Torres Strait Islander peoples, which contributes to sustainable and strong communities 
 celebration and increased recognition of Aboriginal and Torres Strait Islander languages and arts in the wider Australian community 
"," To be eligible you must: 
 
 deliver an Indigenous led project, or a project that is co-designed between Indigenous and non-Indigenous organisations 
 have an Australian Business Number (ABN) 
 be registered for the purposes of GST 
 have an account with an Australian financial institution 
 be one of the following entity types: 
 an Aboriginal and/or Torres Strait Islander Corporation registered under the  Corporations (Aboriginal and /or Torres Strait Islander) Act 2006 
 an organisation established through specific Commonwealth or State or Territory legislation 
 a company incorporated in Australia 
 a company limited by guarantee 
 an incorporated association 
 a not-for-profit organisation 
 a partnership (as defined in the Glossary) 
 a joint (consortia) application with a lead organisation 
 a publicly funded research organisation 
 An Australian state, territory or local government body 
 have no overdue acquittals or serious breaches relating to Australian Government funding (a serious breach is one that has resulted in, or warrants, the termination of a grant agreement) 
 not be bankrupt or subject to insolvency proceedings (as relevant to the entity type) 
 
 Where applicable, we will review your funding history, including your performance delivering projects and achieving outcomes, and your financial and performance reporting history. 
 Organisations can apply as a consortium provided they nominate a lead organisation that also meets the eligibility criteria above – See Section 7.3. 
 Entities that do not meet the eligibility requirements above are able to apply through an eligible auspicing body – see Section 7.3 of the program guidelines for more information.",,GO4865,251001 - Indigenous Arts and Culture,121003 - Humanities,"Indigenous Languages and Arts, Targeted Grant Round 2021"
"  
 Established in 1993, the Australian Army History Research Grants Scheme supports and encourages research into the Australian Army’s history and development both on operations and during peace. The Scheme is open to both academic and non-academic researchers, and grants are up to a maximum of $15,000.00 for one year. The Australian Army and Australian Army History Unit (AAHU) values new research that identifies how Army specifically has approached challenges in the past, and which is accessible to both Army and the public.     The scheme is administered by the Australian Army on the advice of an Independent Assessment Panel specially convened for the purpose. The Panel comprises a diverse range of subject matter experts, including academics, military historians, and current serving Army personnel.    Since its inception, the Scheme has supported over 300 applicants and has a strong track record of delivering unique research that promotes Army’s history and preserves Army’s heritage by encouraging applications from a broad spectrum of researchers. As this Scheme involves the gifting of public monies, it undergoes a rigorous approval process and requires ministerial approval. 
  ","  Individuals are welcome to apply for grants. The Scheme is not restricted to Australian citizens or residents. Where an applicant has previously received funding through this Scheme, it is expected that you will have submitted your progress report and financial acquittal for your previous grant before applying for a second grant. Members of the Australian Army History Unit are ineligible to apply.  ",,GO3369,361002 - Defence,,Army History Research Grants Scheme
Grant Guidelines for the Early Childhood Education and Care Community Child Care Fund Special Circumstances Transition Payment 2020,"To be eligible to receive the Transition Payment in respect of a service, the provider must:  • be an approved provider under the family assistance law, and be approved in respect of the Service; • not receive JobKeeper on behalf of their employees working in the early childhood education and care services from 20 July 2020 (or, if the provider is a sole trader, not receive JobKeeper for themselves), • not charge fees in the Transition Period that exceed the fees charged by the provider in the relevant reference fortnight, and • continue over the transition period to employ and to offer work to the employees of the approved early childhood education and care provider who were paid in the fortnight leading up to the end of the Relief Package (or the relevant fortnight for vacation care only services), including those who worked, were on short-term leave, or who did not work but were paid JobKeeper, but excluding those on long term leave. Those providers which have compliance action on hand and which were eligible for a payment under the Early Childhood Education and Care Relief Package will also be eligible for a transition payment unless there is a material compliance change under the family assistance law. New services approved for CCS on or after 13 July 2020 will be eligible for the 25% transition payment. The Department will work with providers for these services on a reference fortnight.",,GO4093,131001 - Child Care,,Community Child Care Fund Special Circumstances - Transition Payment Guidelines 2020
"Applications must propose to deliver one or more of the following:  
 
 
 Deliver up to date, high quality information in a variety of products about specific disability types, functional impacts, and supports and services available for individuals with disability, their families and carers. This will increase individuals’ ability to exercise choice and control.  
 
 
 Provide information about disability that is relevant for mainstream organisations and service systems to increase their ability to be relevant and responsive.  
 
 
 Develop and disseminate information about disability types and relevant supports, which meets the needs of specific cohorts such as Culturally and Linguistically Diverse (CALD) communities, Aboriginal and Torres Strait Islander (A&TSI) communities, LGBTQI+ communities, and communities living in rural and remote areas.  
 
","The NDIA can only provide funding to an organisation that is a legal entity. Lead organisations of a consortium, Auspicor and Trustee must also be an eligible entity type.  To be eligible you must be one of the following entity types:  Incorporated Association Cooperative Statutory Entity Partnership Trustee on behalf of a Trust Non-corporate Commonwealth Entity Corporate Commonwealth Entity Non-corporate Commonwealth Statutory Authority Commonwealth Company Non-corporate State or Territory Entity Corporate State or Territory Entity Non-corporate State or Territory Statutory Authority Local Government Company Indigenous Corporation Unincorporated Association.   Additionally, we can only accept applications from applicants that: have an Australian Business Number (ABN) or be willing to obtain one prior to the execution of the grant agreement are registered, or willing to register for the purposes of GST if their income turnover, as a result of a successful grant, will exceed the thresholds defined by the Australia Tax Office  have an account with an Australian financial institution all applicants must have Public Liability Insurance coverage for the duration of the project.   [Note: applicants may be asked for a copy of their Public Liability Insurance].",,GO2517,171004 - Services for People with Disabilities,,Information Linkages and Capacity Building (ILC) National Information Program Funding Round 2019-2022
"The Domestic Airports Security Costs Support (DASCS) program is part of the Australian Government’s continued economic response to the Novel Coronavirus (COVID-19) pandemic, providing financial assistance to Australia’s eligible domestic airports so as to assist with the impact on the aviation sector of COVID-19. 
 The objective of the DASCS program is to assist eligible domestic airports receiving Regular Public Transport (RPT) services to maintain regulated security screening obligations that must be met regardless of the reduced volume of aviation activity during the COVID-19 crisis. 
 By directly funding these costs, the DASCS program will provide relief for airports, a range of RPT airlines, including those servicing regional and remote Australia, and mitigate ticket price pressure at a time when consumer demand is fragile.","To be eligible to apply for this grant opportunity applicants must be: 
 
 invited to apply by the Department; and 
 meet the eligibility criteria set out in the grant guidelines. 
",,GO4747,351003 - Transport,,Domestic Airports Security Costs Support
"The NHMRC Postgraduate Scholarship scheme funds successful applicants to attain a research based postgraduate degree (Doctor of Philosophy (PhD) or Research Masters Degree). 
 The objective of the Postgraduate Scholarship scheme is to support outstanding graduates early in their careers so they can be trained to conduct health and medical research that is internationally competitive. 
 The intended outcome of the Postgraduate Scholarship scheme is increased research capacity within Australia.","Applications will only be accepted from NHMRC approved Administering Institutions. A list is available at: https://nhmrc.gov.au/funding/manage-your-funding/nhmrcs-administering-institutions 
 Applications must satisfy all the requirements set out in the PGS Grant guidelines for funding commencing in 2021",,GO4761,231013 - Medical Research,,2021 NHMRC Postgraduate Scholarship scheme
"The Industrial Transformation Research Hubs scheme engage Australia's best researchers to develop collaborative solutions to Industrial Transformation Priorities and to train the future research workforce. The scheme supports joint research activity, between the Australian higher education sector and industry, designed to focus on strategic outcomes that cannot be realised independently of each other. 
 The Industrial Transformation Research Hubs scheme encourages and supports university-based researchers and industry to work together to find solutions to a range of strategic priorities facing Australian industries. These priorities are identified by the ARC as the Industrial Transformation Priorities. 
 The current Industrial Transformation Priorities are: 
 
 Advanced Manufacturing; 
 Cyber Security; 
 Food and Agribusiness; 
 Medical Technologies and Pharmaceuticals; 
 Mining Equipment, Technology and Services; and 
 Oil, Gas and Energy Resources. 
 
 The objectives of the Industrial Transformation Research Hubs grant opportunity are to: 
 
 Support collaborative research projects between universities and organisations outside the Australian higher education sector that involved cutting-edge research on new technologies; and 
 leverage national and international investment in targeted industry sectors, including from industry and other research end-users. 
","An application may only be submitted through the Research Office of an Eligible Organisation listed in the relevant grant guidelines.  
 All individuals named in an application must satisfy the eligibility criteria for the role they are to perform as at the Commencement Date and for the duration of the project. 
 Roles that named participants may be nominated for under IH21 are: 
 
 Research Hub Director 
 Chief Investigator 
 Partner Investigator 
 
 Applications must nominate the following named participants to be eligible: 
 
 Research Hub Director, who is an eligible CI from the Administering Organisation 
 At least one other CI from the Administering Organisation 
 At least one CI from each Other Eligible Organisation 
 At least one PI from each Partner Organisation 
 
 Applications must include at least one Australian Partner Organisation for a grant. An application may also include additional Partner Organisations, Other Eligible Organisations and Other Organisations.",ITRP2020/ITRP2021,GO4353,"381001 - Science, Technology, Engineering and Mathematics (STEM) Research","381002 - Humanities, Arts and Social Sciences (HASS) Research",Industrial Transformation Research Hubs for funding commencing in 2021
"The 2020 Rapid Applied Research Translation Grant Opportunity was announced as part of the Medical Research Future Fund and the Rapid Applied Research Initiative. This initiative is investing in research projects that encourage academic researchers and health service providers to collaborate to improve health care delivery, services and systems sustainability.  
 The objective of this grant opportunity is to provide grants of financial assistance to support Australian medical research and medical innovation projects that: 
 
 use existing knowledge to develop, test and implement new approaches for the translation of research findings into health care and health interventions that have potential for broader applicability; 
 address a clearly defined gap in the implementation of best practice health care and health interventions to improve health outcomes; and 
 involve all stakeholders relevant to the research and its translation in its conceptualisation, design and implementation, including health care consumers and providers. 
 
 Two streams of funding are available based on the geographic location of the lead organisation: 
 
 Stream 1: Organisations based in urban areas (any area according to the Modified Monash Model Locator) 
 Stream 2: Organisations based in rural areas (MM2 or above according to the Modified Monash Model). 
 
 Each will be a separate funding stream. For each stream, applications will be funded based on rank until the total funding available for the stream is reached. 
 An application may be submitted to one of the above two Streams only. 
 The intended outcome of the research funded by this grant opportunity is to improve the health and wellbeing of Australians by accelerating implementation of research knowledge and outcomes into health care and practice. ","To be eligible you must: 
 
 have an Australian Business Number (ABN) 
 be incorporated in Australia 
 
 and in accordance with s20 and s24 of the  MRFF Act 2015 , be one of the following entities: 
 
 a medical research institute 
 a university  
 a corporate Commonwealth entity  
 a corporation (including businesses and not for profits). 
 
 Joint applications are encouraged, provided you have a lead organisation who is the main driver of the project and is eligible to apply.  
 We can only accept applications where you can provide: 
 
 evidence from your board (or chief executive officer or equivalent if there is no board) that the project is supported, and that you can complete the project and meet the costs of the project not covered by grant funding 
 letters of support from each project partner, where applicable. 
",MRFF – 2020 Rapid Applied Research Translation,GO4576,321003 - Scientific Research,,MRFF 2020 Rapid Applied Research Translation Grant Opportunity
"National Science Week is Australia's major national celebration of the sciences, occurring in August each year. National Science Week 2021 will be held 14-22 August 2021. National Science Week provides the opportunity for community participation in high profile science engagement activities across the nation. 
 The objectives of the grant opportunity are to: 
 
 support diverse local organisations and government to work together on science engagement activities that have been adapted to local needs 
 inspire wide community participation in science, technology, engineering and mathematics (STEM). 
 
 National Science Week provides the opportunity to: 
 
 increase community participation in science engagement activities 
 celebrate and showcase science to the Australian public and the world. 
 
 The Australian Government has announced a total of $7.23 million per year in ongoing funding for the Inspiring Australia - Science Engagement Programme. 
 For this grant opportunity, up to $500,000 is available. 
 The grant amount will be up to 100 per cent of eligible project expenditure (grant percentage). 
 
 The minimum grant amount is $2,000. 
 The maximum grant amount is $20,000. 
 
 We will only award applications of exceptional merit the maximum grant amount of $20,000. 
 The value of your project must exceed the grant you are seeking to cover any ineligible expenditure. You must have additional funding or in-kind contributions from other sources to support any ineligible expenditure on the project.","To be eligible you must: be an individual 18 years of age or older, or have an Australian business number (ABN) Joint applications are acceptable, provided you have a lead applicant who is the main driver of the project and is eligible to apply. For further information on joint applications, refer to section 7.2 of the grant opportunity guidelines. Not eligible You are not eligible to apply if you are a Commonwealth entity (unless you are a publicly funded research organisation that meets the eligibility criteria in section 4.1 of the grant opportunity guidelines). Eligible activities To be eligible your project must: be directed towards a science-related activity that will be conducted in Australia during National Science Week, or where appropriate, in the week before or after National Science Week 2021 address one or more of the following purposes: draw the nation's attention towards the sciences spark broad interest and engagement in the sciences provide an opportunity for all Australians to participate in science events and activities foster partnerships between the community, research organisations and industry trial new and innovative science communication activities involve physical attendance or in-person participation by the general public (with contingency plans for virtual/online attendance or participation only if required to adhere to COVID-19 restrictions) include eligible project activities. For further eligibility requirements please refer to the grant opportunity guidelines.",,GO4194,321001 - Science,,National Science Week Grants – 2021
