tag,old_class,category,Australian standard
Occupations,社会科学,社会科学,MANAGEMENT
Occupations,社会科学,社会科学,TOURISM AND SERVICES
Occupations,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Occupations,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Occupations,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Occupations,社会科学,社会科学,DIVISION 20 LANGUAGE
Occupations,社会科学,社会科学,COMMUNICATION AND CULTURE
Occupations,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Occupations,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
global climate,环境科学,环境科学,DIVISION 05 ENVIRONMENTAL SCIENCES
water,环境科学,环境科学,DIVISION 05 ENVIRONMENTAL SCIENCES
holistic approach,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
news,社会科学,社会科学,DIVISION 14 ECONOMICS
news,社会科学,社会科学,DIVISION 13 EDUCATION
news,社会科学,社会科学,DIVISION 15 COMMERCE
news,社会科学,社会科学,MANAGEMENT
news,社会科学,社会科学,TOURISM AND SERVICES
news,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
news,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
news,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
news,社会科学,社会科学,DIVISION 20 LANGUAGE
news,社会科学,社会科学,COMMUNICATION AND CULTURE
news,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
news,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
development project,社会科学,社会科学,DIVISION 14 ECONOMICS
development project,社会科学,社会科学,DIVISION 13 EDUCATION
development project,社会科学,社会科学,DIVISION 15 COMMERCE
development project,社会科学,社会科学,MANAGEMENT
development project,社会科学,社会科学,TOURISM AND SERVICES
development project,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
development project,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
development project,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
development project,社会科学,社会科学,DIVISION 20 LANGUAGE
development project,社会科学,社会科学,COMMUNICATION AND CULTURE
development project,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
development project,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
public management,社会科学,社会科学,DIVISION 14 ECONOMICS
public management,社会科学,社会科学,DIVISION 13 EDUCATION
public management,社会科学,社会科学,DIVISION 15 COMMERCE
public management,社会科学,社会科学,MANAGEMENT
public management,社会科学,社会科学,TOURISM AND SERVICES
public management,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
public management,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
public management,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
public management,社会科学,社会科学,DIVISION 20 LANGUAGE
public management,社会科学,社会科学,COMMUNICATION AND CULTURE
public management,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
public management,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Vaccination,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Vaccination,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Middle Aged,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Middle Aged,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
voting,社会科学,社会科学,DIVISION 14 ECONOMICS
voting,社会科学,社会科学,DIVISION 13 EDUCATION
voting,社会科学,社会科学,DIVISION 15 COMMERCE
voting,社会科学,社会科学,MANAGEMENT
voting,社会科学,社会科学,TOURISM AND SERVICES
voting,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
voting,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
voting,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
voting,社会科学,社会科学,DIVISION 20 LANGUAGE
voting,社会科学,社会科学,COMMUNICATION AND CULTURE
voting,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
voting,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Choice Behavior,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Choice Behavior,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
pragmatics,社会科学,社会科学,DIVISION 14 ECONOMICS
pragmatics,社会科学,社会科学,DIVISION 13 EDUCATION
pragmatics,社会科学,社会科学,DIVISION 15 COMMERCE
pragmatics,社会科学,社会科学,MANAGEMENT
pragmatics,社会科学,社会科学,TOURISM AND SERVICES
pragmatics,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
pragmatics,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
pragmatics,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
pragmatics,社会科学,社会科学,DIVISION 20 LANGUAGE
pragmatics,社会科学,社会科学,COMMUNICATION AND CULTURE
pragmatics,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
pragmatics,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
social psychology,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
social psychology,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Anti-Inflammatory Agents,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Anti-Inflammatory Agents,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Signal-To-Noise Ratio,电子通信,电子通信,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
Signal-To-Noise Ratio,电子通信,电子通信,DIVISION 10 TECHNOLOGY
website,计算机,计算机,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
website,计算机,计算机,DIVISION 10 TECHNOLOGY
exploitation,冶金矿业,冶金矿业,DIVISION 04 EARTH SCIENCES
exploitation,冶金矿业,冶金矿业,DIVISION 05 ENVIRONMENTAL SCIENCES
Genetic algorithms,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Genetic algorithms,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Museums,社会科学,社会科学,DIVISION 14 ECONOMICS
Museums,社会科学,社会科学,DIVISION 13 EDUCATION
Museums,社会科学,社会科学,DIVISION 15 COMMERCE
Museums,社会科学,社会科学,MANAGEMENT
Museums,社会科学,社会科学,TOURISM AND SERVICES
Museums,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Museums,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Museums,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Museums,社会科学,社会科学,DIVISION 20 LANGUAGE
Museums,社会科学,社会科学,COMMUNICATION AND CULTURE
Museums,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Museums,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
horses,农林牧渔,农林牧渔,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
Geography,地球科学,地球科学,DIVISION 04 EARTH SCIENCES
Threat,社会科学,社会科学,DIVISION 14 ECONOMICS
Threat,社会科学,社会科学,DIVISION 13 EDUCATION
Threat,社会科学,社会科学,DIVISION 15 COMMERCE
Threat,社会科学,社会科学,MANAGEMENT
Threat,社会科学,社会科学,TOURISM AND SERVICES
Threat,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Threat,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Threat,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Threat,社会科学,社会科学,DIVISION 20 LANGUAGE
Threat,社会科学,社会科学,COMMUNICATION AND CULTURE
Threat,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Threat,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Electric vehicles,自动化,自动化,
Statistical methods,自动化,自动化,
social network,社会科学,社会科学,DIVISION 14 ECONOMICS
social network,社会科学,社会科学,DIVISION 13 EDUCATION
social network,社会科学,社会科学,DIVISION 15 COMMERCE
social network,社会科学,社会科学,MANAGEMENT
social network,社会科学,社会科学,TOURISM AND SERVICES
social network,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
social network,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
social network,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
social network,社会科学,社会科学,DIVISION 20 LANGUAGE
social network,社会科学,社会科学,COMMUNICATION AND CULTURE
social network,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
social network,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
residential areas,土建水利,土建水利,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
Influence,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
Technology,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
location factors,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
resources,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
retirement,社会科学,社会科学,DIVISION 14 ECONOMICS
retirement,社会科学,社会科学,DIVISION 13 EDUCATION
retirement,社会科学,社会科学,DIVISION 15 COMMERCE
retirement,社会科学,社会科学,MANAGEMENT
retirement,社会科学,社会科学,TOURISM AND SERVICES
retirement,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
retirement,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
retirement,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
retirement,社会科学,社会科学,DIVISION 20 LANGUAGE
retirement,社会科学,社会科学,COMMUNICATION AND CULTURE
retirement,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
retirement,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Inbreeding,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Inbreeding,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Blockchain,计算机,计算机,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
Blockchain,计算机,计算机,DIVISION 10 TECHNOLOGY
Health Services Research,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Health Services Research,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Hygiene,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Hygiene,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Liability,社会科学,社会科学,DIVISION 14 ECONOMICS
Liability,社会科学,社会科学,DIVISION 13 EDUCATION
Liability,社会科学,社会科学,DIVISION 15 COMMERCE
Liability,社会科学,社会科学,MANAGEMENT
Liability,社会科学,社会科学,TOURISM AND SERVICES
Liability,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Liability,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Liability,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Liability,社会科学,社会科学,DIVISION 20 LANGUAGE
Liability,社会科学,社会科学,COMMUNICATION AND CULTURE
Liability,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Liability,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
worldview,社会科学,社会科学,DIVISION 14 ECONOMICS
worldview,社会科学,社会科学,DIVISION 13 EDUCATION
worldview,社会科学,社会科学,DIVISION 15 COMMERCE
worldview,社会科学,社会科学,MANAGEMENT
worldview,社会科学,社会科学,TOURISM AND SERVICES
worldview,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
worldview,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
worldview,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
worldview,社会科学,社会科学,DIVISION 20 LANGUAGE
worldview,社会科学,社会科学,COMMUNICATION AND CULTURE
worldview,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
worldview,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Writer,社会科学,社会科学,DIVISION 14 ECONOMICS
Writer,社会科学,社会科学,DIVISION 13 EDUCATION
Writer,社会科学,社会科学,DIVISION 15 COMMERCE
Writer,社会科学,社会科学,MANAGEMENT
Writer,社会科学,社会科学,TOURISM AND SERVICES
Writer,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Writer,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Writer,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Writer,社会科学,社会科学,DIVISION 20 LANGUAGE
Writer,社会科学,社会科学,COMMUNICATION AND CULTURE
Writer,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Writer,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Mass Spectrometry,化工能源,化工能源,DIVISION 03 CHEMICAL SCIENCES
Mass Spectrometry,化工能源,化工能源,DIVISION 02 PHYSICAL SCIENCES
social cohesion,社会科学,社会科学,DIVISION 14 ECONOMICS
social cohesion,社会科学,社会科学,DIVISION 13 EDUCATION
social cohesion,社会科学,社会科学,DIVISION 15 COMMERCE
social cohesion,社会科学,社会科学,MANAGEMENT
social cohesion,社会科学,社会科学,TOURISM AND SERVICES
social cohesion,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
social cohesion,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
social cohesion,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
social cohesion,社会科学,社会科学,DIVISION 20 LANGUAGE
social cohesion,社会科学,社会科学,COMMUNICATION AND CULTURE
social cohesion,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
social cohesion,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
climate change adaptation,环境科学,环境科学,DIVISION 05 ENVIRONMENTAL SCIENCES
financial performance,社会科学,社会科学,DIVISION 14 ECONOMICS
financial performance,社会科学,社会科学,DIVISION 13 EDUCATION
financial performance,社会科学,社会科学,DIVISION 15 COMMERCE
financial performance,社会科学,社会科学,MANAGEMENT
financial performance,社会科学,社会科学,TOURISM AND SERVICES
financial performance,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
financial performance,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
financial performance,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
financial performance,社会科学,社会科学,DIVISION 20 LANGUAGE
financial performance,社会科学,社会科学,COMMUNICATION AND CULTURE
financial performance,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
financial performance,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Polymerase Chain Reaction,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Polymerase Chain Reaction,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
legal status,社会科学,社会科学,DIVISION 14 ECONOMICS
legal status,社会科学,社会科学,DIVISION 13 EDUCATION
legal status,社会科学,社会科学,DIVISION 15 COMMERCE
legal status,社会科学,社会科学,MANAGEMENT
legal status,社会科学,社会科学,TOURISM AND SERVICES
legal status,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
legal status,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
legal status,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
legal status,社会科学,社会科学,DIVISION 20 LANGUAGE
legal status,社会科学,社会科学,COMMUNICATION AND CULTURE
legal status,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
legal status,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
demand,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
Observation,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
vacation,社会科学,社会科学,DIVISION 14 ECONOMICS
vacation,社会科学,社会科学,DIVISION 13 EDUCATION
vacation,社会科学,社会科学,DIVISION 15 COMMERCE
vacation,社会科学,社会科学,MANAGEMENT
vacation,社会科学,社会科学,TOURISM AND SERVICES
vacation,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
vacation,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
vacation,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
vacation,社会科学,社会科学,DIVISION 20 LANGUAGE
vacation,社会科学,社会科学,COMMUNICATION AND CULTURE
vacation,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
vacation,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
substitution,化工能源,化工能源,DIVISION 03 CHEMICAL SCIENCES
substitution,化工能源,化工能源,DIVISION 02 PHYSICAL SCIENCES
Physical Functional Performance,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Physical Functional Performance,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
industry,一般工业、工程学,一般工业、工程学,DIVISION 09 ENGINEERING
Health care professionals,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Health care professionals,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Lactic Acid,化工能源,化工能源,DIVISION 03 CHEMICAL SCIENCES
Lactic Acid,化工能源,化工能源,DIVISION 02 PHYSICAL SCIENCES
Industrial Designs,一般工业、工程学,一般工业、工程学,DIVISION 09 ENGINEERING
Coronary Disease,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Coronary Disease,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Tourism Research,社会科学,社会科学,DIVISION 14 ECONOMICS
Tourism Research,社会科学,社会科学,DIVISION 13 EDUCATION
Tourism Research,社会科学,社会科学,DIVISION 15 COMMERCE
Tourism Research,社会科学,社会科学,MANAGEMENT
Tourism Research,社会科学,社会科学,TOURISM AND SERVICES
Tourism Research,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Tourism Research,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Tourism Research,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Tourism Research,社会科学,社会科学,DIVISION 20 LANGUAGE
Tourism Research,社会科学,社会科学,COMMUNICATION AND CULTURE
Tourism Research,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Tourism Research,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Myocardial Ischemia,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Myocardial Ischemia,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
supervision,计算机,计算机,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
supervision,计算机,计算机,DIVISION 10 TECHNOLOGY
action research,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
action research,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
sustainable development,环境科学,环境科学,DIVISION 05 ENVIRONMENTAL SCIENCES
Reflexivity,数学,数学,DIVISION 01 MATHEMATICAL SCIENCES
Malathion,环境科学,环境科学,DIVISION 05 ENVIRONMENTAL SCIENCES
neoliberalism,社会科学,社会科学,DIVISION 14 ECONOMICS
neoliberalism,社会科学,社会科学,DIVISION 13 EDUCATION
neoliberalism,社会科学,社会科学,DIVISION 15 COMMERCE
neoliberalism,社会科学,社会科学,MANAGEMENT
neoliberalism,社会科学,社会科学,TOURISM AND SERVICES
neoliberalism,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
neoliberalism,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
neoliberalism,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
neoliberalism,社会科学,社会科学,DIVISION 20 LANGUAGE
neoliberalism,社会科学,社会科学,COMMUNICATION AND CULTURE
neoliberalism,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
neoliberalism,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
air,环境科学,环境科学,DIVISION 05 ENVIRONMENTAL SCIENCES
Jurisdiction,社会科学,社会科学,DIVISION 14 ECONOMICS
Jurisdiction,社会科学,社会科学,DIVISION 13 EDUCATION
Jurisdiction,社会科学,社会科学,DIVISION 15 COMMERCE
Jurisdiction,社会科学,社会科学,MANAGEMENT
Jurisdiction,社会科学,社会科学,TOURISM AND SERVICES
Jurisdiction,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Jurisdiction,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Jurisdiction,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Jurisdiction,社会科学,社会科学,DIVISION 20 LANGUAGE
Jurisdiction,社会科学,社会科学,COMMUNICATION AND CULTURE
Jurisdiction,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Jurisdiction,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
engineer,一般工业、工程学,一般工业、工程学,DIVISION 09 ENGINEERING
Information and Communication Technology,电子通信,电子通信,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
Information and Communication Technology,电子通信,电子通信,DIVISION 10 TECHNOLOGY
mortality,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
mortality,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Chickens,农林牧渔,农林牧渔,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
Jurisprudence,社会科学,社会科学,DIVISION 14 ECONOMICS
Jurisprudence,社会科学,社会科学,DIVISION 13 EDUCATION
Jurisprudence,社会科学,社会科学,DIVISION 15 COMMERCE
Jurisprudence,社会科学,社会科学,MANAGEMENT
Jurisprudence,社会科学,社会科学,TOURISM AND SERVICES
Jurisprudence,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Jurisprudence,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Jurisprudence,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Jurisprudence,社会科学,社会科学,DIVISION 20 LANGUAGE
Jurisprudence,社会科学,社会科学,COMMUNICATION AND CULTURE
Jurisprudence,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Jurisprudence,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Macros,,,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
Climate Change,环境科学,环境科学,DIVISION 05 ENVIRONMENTAL SCIENCES
Terrorism,社会科学,社会科学,DIVISION 14 ECONOMICS
Terrorism,社会科学,社会科学,DIVISION 13 EDUCATION
Terrorism,社会科学,社会科学,DIVISION 15 COMMERCE
Terrorism,社会科学,社会科学,MANAGEMENT
Terrorism,社会科学,社会科学,TOURISM AND SERVICES
Terrorism,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Terrorism,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Terrorism,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Terrorism,社会科学,社会科学,DIVISION 20 LANGUAGE
Terrorism,社会科学,社会科学,COMMUNICATION AND CULTURE
Terrorism,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Terrorism,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Suicidal Ideation,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Suicidal Ideation,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Counseling,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Counseling,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
detection,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
detection,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Smoking Cessation,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Smoking Cessation,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Goods,一般工业、工程学,一般工业、工程学,DIVISION 09 ENGINEERING
Perches,农林牧渔,农林牧渔,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
Democratic Theory,社会科学,社会科学,DIVISION 14 ECONOMICS
Democratic Theory,社会科学,社会科学,DIVISION 13 EDUCATION
Democratic Theory,社会科学,社会科学,DIVISION 15 COMMERCE
Democratic Theory,社会科学,社会科学,MANAGEMENT
Democratic Theory,社会科学,社会科学,TOURISM AND SERVICES
Democratic Theory,社会科学,社会科学,DIVISION 16 STUDIES IN HUMAN SOCIETY
Democratic Theory,社会科学,社会科学,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Democratic Theory,社会科学,社会科学,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
Democratic Theory,社会科学,社会科学,DIVISION 20 LANGUAGE
Democratic Theory,社会科学,社会科学,COMMUNICATION AND CULTURE
Democratic Theory,社会科学,社会科学,DIVISION 21 HISTORY AND ARCHAEOLOGY
Democratic Theory,社会科学,社会科学,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
Incivility,医药卫生,医药卫生,DIVISION 11 MEDICAL AND HEALTH SCIENCES
Incivility,医药卫生,医药卫生,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
Financial Markets,社会科学,社会科学,DIVISION 14 ECONOMICS
Financial Markets,社会科学,社会科学,DIVISION 13 EDUCATION
Financial Markets,社会科学,社会科学,DIVISION 15 COMMERCE
Financial Markets,社会科学,社会科学,MANAGEMENT
Financial Markets,社会科学,社会科学,TOURISM AND SERVICES
