Tags,cate_1,cate_2,cate_3
sociology,DIVISION 16 STUDIES IN HUMAN SOCIETY,,
software,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,,
song,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING,,
spatial distribution,DIVISION 23 OTHERS(RELEVANT),,
students,DIVISION 13 EDUCATION,,
surveillance,DIVISION 23 OTHERS(RELEVANT),,
sustainability,DIVISION 16 STUDIES IN HUMAN SOCIETY,DIVISION 14 ECONOMICS,
sustainable development,DIVISION 05 ENVIRONMENTAL SCIENCES,,
terrorism,DIVISION 16 STUDIES IN HUMAN SOCIETY,,
therapy,DIVISION 11 MEDICAL AND HEALTH SCIENCES,,
threat,DIVISION 23 OTHERS(RELEVANT),,
tourism,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",,
traffic,DIVISION 24 OTHERS(IRRELEVANT),,
trajectories,DIVISION 09 ENGINEERING,DIVISION 10 TECHNOLOGY,
travel behavior,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES",,
uncertainty,DIVISION 24 OTHERS(IRRELEVANT),,
urban design,DIVISION 09 ENGINEERING,,
urbanization,DIVISION 14 ECONOMICS,DIVISION 16 STUDIES IN HUMAN SOCIETY,DIVISION 21 HISTORY AND ARCHAEOLOGY
vegetables,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES,,
vertebrates,DIVISION 06 BIOLOGICAL SCIENCES,,
violence,DIVISION 16 STUDIES IN HUMAN SOCIETY,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES,DIVISION 18 LAW AND LEGAL STUDIES
virtual reality,DIVISION 08 INFORMATION AND COMPUTING SCIENCES,,
visualization,DIVISION 23 OTHERS(RELEVANT),,
vulnerability,DIVISION 11 MEDICAL AND HEALTH SCIENCES,,
walking,DIVISION 24 OTHERS(IRRELEVANT),,
well-being,DIVISION 16 STUDIES IN HUMAN SOCIETY,,
wetlands,DIVISION 04 EARTH SCIENCES,,
workplace,DIVISION 16 STUDIES IN HUMAN SOCIETY,,
