Tag,value
practice management,OTHERS(IRRELEVANT)
developed countries,OTHERS(IRRELEVANT)
lung,MEDICAL AND HEALTH
beetle,ENVIRONMENTAL
gross domestic product,ECONOMICS
help-seeking behavior,MEDICAL AND HEALTH
self-help groups,MEDICAL AND HEALTH
wrist,MEDICAL AND HEALTH
microfinance,ECONOMICS
hospital emergency service,MEDICAL AND HEALTH
parturition,ENGINEERING
phase transition,ENGINEERING
public housing,STUDIES IN HUMAN SOCIETY
fish communities,AGRICULTURAL AND VETERINARY
mathematics teaching,EDUCATION
japan,OTHERS(IRRELEVANT)
financial management,ECONOMICS
body condition,MEDICAL AND HEALTH
disadvantage,OTHERS(IRRELEVANT)
semiotics,"LANGUAGE, COMMUNICATION AND CULTURE"
psychopathology,PSYCHOLOGY AND COGNITIVE SCIENCES
cameras,ENGINEERING
salts,PHYSICAL
consumption behavior,ECONOMICS
semester,EDUCATION
subjectivity,PSYCHOLOGY AND COGNITIVE SCIENCES
international accounting standards board,ECONOMICS
water policy,ENVIRONMENTAL
consciousness,PSYCHOLOGY AND COGNITIVE SCIENCES
baby,MEDICAL AND HEALTH
prose poem,"LANGUAGE, COMMUNICATION AND CULTURE"
global financial crisis,ECONOMICS
face recognition,TECHNOLOGY
humanitarianism,PHILOSOPHY AND RELIGIOUS STUDIES
comparison,OTHERS(IRRELEVANT)
eicosapentaenoic acid,CHEMICAL
social determinants of health,MEDICAL AND HEALTH
integrated model,OTHERS(RELEVANT)
license,OTHERS(RELEVANT)
engineers,TECHNOLOGY
micronesia,OTHERS(IRRELEVANT)
walking speed,ENGINEERING
child custody,STUDIES IN HUMAN SOCIETY
research method,OTHERS(RELEVANT)
suicide,PSYCHOLOGY AND COGNITIVE SCIENCES
information seeking behavior,PSYCHOLOGY AND COGNITIVE SCIENCES
head movements,MEDICAL AND HEALTH
multicultural society,"LANGUAGE, COMMUNICATION AND CULTURE"
repository,INFORMATION AND COMPUTING
health care services,MEDICAL AND HEALTH
examination,OTHERS(RELEVANT)
vision,MEDICAL AND HEALTH
electric fuses,TECHNOLOGY
water management,ENVIRONMENTAL
attack,TECHNOLOGY
social attitude,STUDIES IN HUMAN SOCIETY
political elite,STUDIES IN HUMAN SOCIETY
career development,EDUCATION
india,OTHERS(IRRELEVANT)
cultural factors,"LANGUAGE, COMMUNICATION AND CULTURE"
neuroimaging,MEDICAL AND HEALTH
sharing economy,ECONOMICS
self-injurious behavior,PSYCHOLOGY AND COGNITIVE SCIENCES
basin,EARTH
canberra,OTHERS(IRRELEVANT)
patellar ligament,PSYCHOLOGY AND COGNITIVE SCIENCES
decision-making process,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
enforcement,LAW AND LEGAL STUDIES
wearable electronic devices,ENGINEERING
national security,STUDIES IN HUMAN SOCIETY
hot temperature,ENGINEERING
midwife,MEDICAL AND HEALTH
australian capital territory,OTHERS(IRRELEVANT)
textbook,EDUCATION
reciprocity,OTHERS(IRRELEVANT)
sex offenses,LAW AND LEGAL STUDIES
gender-specific factors,STUDIES IN HUMAN SOCIETY
trade agreement,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
camera,ENGINEERING
quality of health care,MEDICAL AND HEALTH
continent,EARTH
color,OTHERS(IRRELEVANT)
lawyers,LAW AND LEGAL STUDIES
educator,EDUCATION
turkey,OTHERS(IRRELEVANT)
child development,EDUCATION
female student,EDUCATION
degradation,BIOLOGICAL
group membership,"LANGUAGE, COMMUNICATION AND CULTURE"
educational policy,EDUCATION
human capital,STUDIES IN HUMAN SOCIETY
developing country,OTHERS(IRRELEVANT)
amplification,BIOLOGICAL
services,OTHERS(IRRELEVANT)
criminals,LAW AND LEGAL STUDIES
world wide web,INFORMATION AND COMPUTING
competency,OTHERS(IRRELEVANT)
segmentation,OTHERS(IRRELEVANT)
educational research,EDUCATION
carbidopa,OTHERS(IRRELEVANT)
research project,OTHERS(RELEVANT)
technological change,ENGINEERING
physiological adaptation,PSYCHOLOGY AND COGNITIVE SCIENCES
data base,INFORMATION AND COMPUTING
psychological,PSYCHOLOGY AND COGNITIVE SCIENCES
high performance liquid chromatography,CHEMICAL
cell death,BIOLOGICAL
public transport,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
economic system,ECONOMICS
singapore,OTHERS(IRRELEVANT)
sensitivity and specificity,MEDICAL AND HEALTH
news value,"LANGUAGE, COMMUNICATION AND CULTURE"
breast feeding,MEDICAL AND HEALTH
animation,INFORMATION AND COMPUTING
functional foods,MEDICAL AND HEALTH
victoria (australia),OTHERS(IRRELEVANT)
clone cells,BIOLOGICAL
pubmed,BIOLOGICAL
athlete,BIOLOGICAL
physiology,BIOLOGICAL
suburb,BUILT ENVIRONMENT AND DESIGN
health occupations,MEDICAL AND HEALTH
extremities,MEDICAL AND HEALTH
ecological momentary assessment,ENVIRONMENTAL
publications,"LANGUAGE, COMMUNICATION AND CULTURE"
method,OTHERS(RELEVANT)
land,AGRICULTURAL AND VETERINARY
uno,EARTH
defects,OTHERS(IRRELEVANT)
stakeholder,OTHERS(RELEVANT)
maccullochella peelii peelii,AGRICULTURAL AND VETERINARY
access control,ENGINEERING
woman,OTHERS(IRRELEVANT)
endurance training,MEDICAL AND HEALTH
social problems,STUDIES IN HUMAN SOCIETY
peace process,STUDIES IN HUMAN SOCIETY
book review,STUDIES IN CREATIVE ARTS AND WRITING
adipose tissue,MEDICAL AND HEALTH
nitric acid,CHEMICAL
inhibition (psychology),PSYCHOLOGY AND COGNITIVE SCIENCES
mixed methods,OTHERS(RELEVANT)
identification (psychology),PSYCHOLOGY AND COGNITIVE SCIENCES
optical flows,PHYSICAL
maintenance,ENGINEERING
hydrology,EARTH
scincidae,AGRICULTURAL AND VETERINARY
government supervision,STUDIES IN HUMAN SOCIETY
editor,"LANGUAGE, COMMUNICATION AND CULTURE"
predator,ENVIRONMENTAL
representative democracy,STUDIES IN HUMAN SOCIETY
asymmetry,MATHEMATICAL
world war i,HISTORY AND ARCHAEOLOGY
intersectionality,OTHERS(IRRELEVANT)
social status,STUDIES IN HUMAN SOCIETY
educational practice,EDUCATION
urban renewal,BUILT ENVIRONMENT AND DESIGN
big data,INFORMATION AND COMPUTING
inhabitant,STUDIES IN HUMAN SOCIETY
"health knowledge, attitudes, practice",PSYCHOLOGY AND COGNITIVE SCIENCES
paint,STUDIES IN CREATIVE ARTS AND WRITING
emerging asian countries,OTHERS(IRRELEVANT)
family income,STUDIES IN HUMAN SOCIETY
world,OTHERS(IRRELEVANT)
journalists,STUDIES IN CREATIVE ARTS AND WRITING
pleasure,PSYCHOLOGY AND COGNITIVE SCIENCES
loss,OTHERS(IRRELEVANT)
near infrared spectroscopy,PHYSICAL
developing world,OTHERS(IRRELEVANT)
internet of things,INFORMATION AND COMPUTING
researchers,OTHERS(IRRELEVANT)
communication technology,INFORMATION AND COMPUTING
mask,MEDICAL AND HEALTH
feeding and eating disorders,MEDICAL AND HEALTH
social networking,"LANGUAGE, COMMUNICATION AND CULTURE"
east-timor,OTHERS(IRRELEVANT)
vip,OTHERS(IRRELEVANT)
typology,OTHERS(RELEVANT)
soldier,OTHERS(RELEVANT)
anterior cruciate ligament injuries,MEDICAL AND HEALTH
australasia,OTHERS(IRRELEVANT)
lakes,EARTH
employee,STUDIES IN HUMAN SOCIETY
accelerometry,MEDICAL AND HEALTH
social effects,OTHERS(IRRELEVANT)
basketball,OTHERS(IRRELEVANT)
accidental falls,MEDICAL AND HEALTH
twentieth century,OTHERS(IRRELEVANT)
hydrological change,ENVIRONMENTAL
logic,ENGINEERING
emotions,PSYCHOLOGY AND COGNITIVE SCIENCES
sitting position,PSYCHOLOGY AND COGNITIVE SCIENCES
treaty,LAW AND LEGAL STUDIES
negotiating,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
human health,MEDICAL AND HEALTH
sexual and gender minorities,STUDIES IN HUMAN SOCIETY
hacker,INFORMATION AND COMPUTING
non-randomized controlled trials,OTHERS(RELEVANT)
percutaneous coronary intervention,MEDICAL AND HEALTH
paper,ENGINEERING
anthropology,HISTORY AND ARCHAEOLOGY
triticum,AGRICULTURAL AND VETERINARY
pregnant women,MEDICAL AND HEALTH
narcissism,PSYCHOLOGY AND COGNITIVE SCIENCES
demographic statistics,STUDIES IN HUMAN SOCIETY
normative theory,OTHERS(IRRELEVANT)
social theory,STUDIES IN HUMAN SOCIETY
industrial design,ENGINEERING
language policy,"LANGUAGE, COMMUNICATION AND CULTURE"
case management,OTHERS(RELEVANT)
immunization,PSYCHOLOGY AND COGNITIVE SCIENCES
political participation,STUDIES IN HUMAN SOCIETY
macular degeneration,MEDICAL AND HEALTH
economic geography,ECONOMICS
flexibility,OTHERS(IRRELEVANT)
student teacher,EDUCATION
relationship commitment,"LANGUAGE, COMMUNICATION AND CULTURE"
fatigue of materials,ENGINEERING
environmental health,MEDICAL AND HEALTH
retirement age,"LANGUAGE, COMMUNICATION AND CULTURE"
diary,MEDICAL AND HEALTH
environmental factors,OTHERS(RELEVANT)
chronic pain,MEDICAL AND HEALTH
income poverty,STUDIES IN HUMAN SOCIETY
venous thromboembolism,MEDICAL AND HEALTH
currency,ECONOMICS
epidemiology,MEDICAL AND HEALTH
interoperability,INFORMATION AND COMPUTING
controllers,ENGINEERING
minerals,EARTH
carbon monoxide,CHEMICAL
measuring,OTHERS(IRRELEVANT)
automobiles,ENGINEERING
cyber physical system,INFORMATION AND COMPUTING
soils,AGRICULTURAL AND VETERINARY
sales,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
social environment,STUDIES IN HUMAN SOCIETY
iraq,OTHERS(IRRELEVANT)
positioning,OTHERS(RELEVANT)
firm,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
predators,AGRICULTURAL AND VETERINARY
school education,EDUCATION
antennas,TECHNOLOGY
skills,OTHERS(IRRELEVANT)
respect,"LANGUAGE, COMMUNICATION AND CULTURE"
delivery of health care,MEDICAL AND HEALTH
incubation,AGRICULTURAL AND VETERINARY
retapamulin,MEDICAL AND HEALTH
nutrition policy,MEDICAL AND HEALTH
psychology student,PSYCHOLOGY AND COGNITIVE SCIENCES
constructivism,OTHERS(IRRELEVANT)
political attitude,STUDIES IN HUMAN SOCIETY
resistance training,MEDICAL AND HEALTH
family business,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
health practitioners,MEDICAL AND HEALTH
nursing models,MEDICAL AND HEALTH
tensors,MATHEMATICAL
disease management,MEDICAL AND HEALTH
acceleration,PHYSICAL
microsimulation,OTHERS(RELEVANT)
intention,OTHERS(IRRELEVANT)
sports science,MEDICAL AND HEALTH
pediatrics,MEDICAL AND HEALTH
information modeling,INFORMATION AND COMPUTING
mucosal immunity,MEDICAL AND HEALTH
time,OTHERS(IRRELEVANT)
occupational health,MEDICAL AND HEALTH
meals,MEDICAL AND HEALTH
glycohemoglobin,MEDICAL AND HEALTH
confusion,PSYCHOLOGY AND COGNITIVE SCIENCES
mitochondrial genome,BIOLOGICAL
hospitalization,MEDICAL AND HEALTH
body weight,MEDICAL AND HEALTH
iron,EARTH
interpersonal relations,"LANGUAGE, COMMUNICATION AND CULTURE"
eye,MEDICAL AND HEALTH
social inequality,STUDIES IN HUMAN SOCIETY
blood platelets,MEDICAL AND HEALTH
older people,MEDICAL AND HEALTH
administrative personnel,STUDIES IN HUMAN SOCIETY
clinical practice,MEDICAL AND HEALTH
curriculum development,EDUCATION
cultural difference,"LANGUAGE, COMMUNICATION AND CULTURE"
qualitative study,OTHERS(RELEVANT)
dialect,"LANGUAGE, COMMUNICATION AND CULTURE"
acetaminophen,MEDICAL AND HEALTH
privilege,STUDIES IN HUMAN SOCIETY
public administration,STUDIES IN HUMAN SOCIETY
drying,ENVIRONMENTAL
heart,MEDICAL AND HEALTH
parastacidae,AGRICULTURAL AND VETERINARY
regulation,LAW AND LEGAL STUDIES
linkage,BIOLOGICAL
organic carbon,CHEMICAL
fruit,AGRICULTURAL AND VETERINARY
emergency,MEDICAL AND HEALTH
electroencephalography,MEDICAL AND HEALTH
interferons,MEDICAL AND HEALTH
friendship,"LANGUAGE, COMMUNICATION AND CULTURE"
public services,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
profession,OTHERS(IRRELEVANT)
confidence,PSYCHOLOGY AND COGNITIVE SCIENCES
invertebrate,AGRICULTURAL AND VETERINARY
travel,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
resource management,ENVIRONMENTAL
olympic games,OTHERS(RELEVANT)
noise,PHYSICAL
muslims,PHILOSOPHY AND RELIGIOUS STUDIES
weight gain,MEDICAL AND HEALTH
alcohol drinking,MEDICAL AND HEALTH
criminal justice,LAW AND LEGAL STUDIES
mythology,HISTORY AND ARCHAEOLOGY
airport,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
communicable diseases,MEDICAL AND HEALTH
community engagement,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
classifiers,OTHERS(IRRELEVANT)
habitats,ENVIRONMENTAL
confidence intervals,INFORMATION AND COMPUTING
river system,EARTH
modernity,"LANGUAGE, COMMUNICATION AND CULTURE"
community service,STUDIES IN HUMAN SOCIETY
electric impedance,PHYSICAL
unemployment,STUDIES IN HUMAN SOCIETY
mouth,MEDICAL AND HEALTH
visual fields,PHYSICAL
hospital costs,MEDICAL AND HEALTH
rural area,BUILT ENVIRONMENT AND DESIGN
public-private partnerships,STUDIES IN HUMAN SOCIETY
suppliers,ENGINEERING
cognitive ability,MEDICAL AND HEALTH
health status,MEDICAL AND HEALTH
lung neoplasms,MEDICAL AND HEALTH
punishment,PSYCHOLOGY AND COGNITIVE SCIENCES
price,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
ligaments,MEDICAL AND HEALTH
carbon sequestration,CHEMICAL
electric network analysis,TECHNOLOGY
invasive species,ENVIRONMENTAL
gray matter,MEDICAL AND HEALTH
levodopa drug combination carbidopa,MEDICAL AND HEALTH
rocks,EARTH
social skills,STUDIES IN HUMAN SOCIETY
metabolic syndrome,MEDICAL AND HEALTH
water scarcity,ENVIRONMENTAL
design,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
software defined networking,INFORMATION AND COMPUTING
trace elements,MEDICAL AND HEALTH
financial data,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
city,BUILT ENVIRONMENT AND DESIGN
teacher training,EDUCATION
karyotype,BIOLOGICAL
city planning,BUILT ENVIRONMENT AND DESIGN
zinc,CHEMICAL
behavioral,PSYCHOLOGY AND COGNITIVE SCIENCES
bivalve,AGRICULTURAL AND VETERINARY
rural population,STUDIES IN HUMAN SOCIETY
smart city,INFORMATION AND COMPUTING
open source,OTHERS(RELEVANT)
home range,OTHERS(IRRELEVANT)
motor vehicles,ENGINEERING
mountain,EARTH
pharmaceutical preparations,MEDICAL AND HEALTH
protected area,ENVIRONMENTAL
coverage,OTHERS(IRRELEVANT)
plant community,AGRICULTURAL AND VETERINARY
neighboring countries,OTHERS(RELEVANT)
town,BUILT ENVIRONMENT AND DESIGN
speaking,EDUCATION
discrimination (psychology),PSYCHOLOGY AND COGNITIVE SCIENCES
intercultural communication,"LANGUAGE, COMMUNICATION AND CULTURE"
moral philosophy,PHILOSOPHY AND RELIGIOUS STUDIES
alliances,OTHERS(IRRELEVANT)
occupation,STUDIES IN HUMAN SOCIETY
banking sector,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
occupations,STUDIES IN HUMAN SOCIETY
global climate,ENVIRONMENTAL
holistic approach,OTHERS(RELEVANT)
development project,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
public management,STUDIES IN HUMAN SOCIETY
vaccination,MEDICAL AND HEALTH
middle aged,MEDICAL AND HEALTH
pragmatics,"LANGUAGE, COMMUNICATION AND CULTURE"
social psychology,PSYCHOLOGY AND COGNITIVE SCIENCES
anti-inflammatory agents,MEDICAL AND HEALTH
signal-to-noise ratio,INFORMATION AND COMPUTING
website,INFORMATION AND COMPUTING
exploitation,ENVIRONMENTAL
genetic algorithms,BIOLOGICAL
museums,STUDIES IN CREATIVE ARTS AND WRITING
horses,AGRICULTURAL AND VETERINARY
electric vehicles,ENGINEERING
statistical methods,ENGINEERING
social network,"LANGUAGE, COMMUNICATION AND CULTURE"
residential areas,BUILT ENVIRONMENT AND DESIGN
influence,OTHERS(IRRELEVANT)
technology,OTHERS(IRRELEVANT)
location factors,OTHERS(IRRELEVANT)
blockchain,INFORMATION AND COMPUTING
health services research,MEDICAL AND HEALTH
hygiene,MEDICAL AND HEALTH
worldview,STUDIES IN HUMAN SOCIETY
social cohesion,STUDIES IN HUMAN SOCIETY
climate change adaptation,ENVIRONMENTAL
polymerase chain reaction,BIOLOGICAL
legal status,LAW AND LEGAL STUDIES
demand,OTHERS(IRRELEVANT)
observation,OTHERS(IRRELEVANT)
vacation,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
substitution,OTHERS(IRRELEVANT)
physical functional performance,BIOLOGICAL
health care professionals,MEDICAL AND HEALTH
lactic acid,CHEMICAL
industrial designs,ENGINEERING
coronary disease,MEDICAL AND HEALTH
tourism research,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
myocardial ischemia,MEDICAL AND HEALTH
supervision,INFORMATION AND COMPUTING
action research,PSYCHOLOGY AND COGNITIVE SCIENCES
chickens,AGRICULTURAL AND VETERINARY
macros,OTHERS(IRRELEVANT)
suicidal ideation,MEDICAL AND HEALTH
counseling,PSYCHOLOGY AND COGNITIVE SCIENCES
detection,MEDICAL AND HEALTH
smoking cessation,MEDICAL AND HEALTH
goods,ENGINEERING
perches,AGRICULTURAL AND VETERINARY
democratic theory,STUDIES IN HUMAN SOCIETY
incivility,OTHERS(RELEVANT)
financial markets,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
migrant,STUDIES IN HUMAN SOCIETY
imaging techniques,INFORMATION AND COMPUTING
cryptography,INFORMATION AND COMPUTING
sex characteristics,PSYCHOLOGY AND COGNITIVE SCIENCES
catchment,AGRICULTURAL AND VETERINARY
psychological stress,PSYCHOLOGY AND COGNITIVE SCIENCES
expert,OTHERS(RELEVANT)
producer,OTHERS(RELEVANT)
elasticity,OTHERS(RELEVANT)
green tea,AGRICULTURAL AND VETERINARY
peers,STUDIES IN HUMAN SOCIETY
vitamin b complex,MEDICAL AND HEALTH
income,ECONOMICS
canopy,AGRICULTURAL AND VETERINARY
repetitive sequences,BIOLOGICAL
fatty acid-binding proteins,BIOLOGICAL
sports medicine,MEDICAL AND HEALTH
ecosystem services,ENVIRONMENTAL
jordan,OTHERS(IRRELEVANT)
public participation,STUDIES IN HUMAN SOCIETY
logistics,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
unesco,OTHERS(RELEVANT)
decapoda,AGRICULTURAL AND VETERINARY
group homes,OTHERS(IRRELEVANT)
masks,TECHNOLOGY
medical imaging,MEDICAL AND HEALTH
recurrent neural networks,INFORMATION AND COMPUTING
cancer survivors,MEDICAL AND HEALTH
communications,INFORMATION AND COMPUTING
costs and cost analysis,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
reform,OTHERS(IRRELEVANT)
labour party,STUDIES IN HUMAN SOCIETY
sediment,EARTH
frogs,AGRICULTURAL AND VETERINARY
trial,MEDICAL AND HEALTH
manuka honey,AGRICULTURAL AND VETERINARY
first world war,HISTORY AND ARCHAEOLOGY
parliament,STUDIES IN HUMAN SOCIETY
sensory properties,MEDICAL AND HEALTH
biometrics,BIOLOGICAL
papua-new guinea,OTHERS(IRRELEVANT)
mental health support,MEDICAL AND HEALTH
acupuncture,MEDICAL AND HEALTH
quantitative method,OTHERS(RELEVANT)
first nations,"LANGUAGE, COMMUNICATION AND CULTURE"
pluralism,OTHERS(RELEVANT)
accused,LAW AND LEGAL STUDIES
wireless networks,TECHNOLOGY
emotion recognition,PSYCHOLOGY AND COGNITIVE SCIENCES
blood vessels,MEDICAL AND HEALTH
cross-sectional study,OTHERS(RELEVANT)
fishes,AGRICULTURAL AND VETERINARY
scotland,OTHERS(IRRELEVANT)
exegesis,PHILOSOPHY AND RELIGIOUS STUDIES
multivariate analysis,INFORMATION AND COMPUTING
chelidae,AGRICULTURAL AND VETERINARY
sex determination processes,PSYCHOLOGY AND COGNITIVE SCIENCES
fusion reactions,PHYSICAL
hemoglobins,MEDICAL AND HEALTH
common cold,MEDICAL AND HEALTH
prediabetic state,MEDICAL AND HEALTH
compassion fatigue,PSYCHOLOGY AND COGNITIVE SCIENCES
scandal,"LANGUAGE, COMMUNICATION AND CULTURE"
social economics,ECONOMICS
lenses,MEDICAL AND HEALTH
instruction,OTHERS(IRRELEVANT)
adaptive boosting,ENGINEERING
economic impact,ECONOMICS
oxygen consumption,EARTH
guidelines,OTHERS(IRRELEVANT)
dismissal,STUDIES IN HUMAN SOCIETY
reuse,ENVIRONMENTAL
compliance,OTHERS(IRRELEVANT)
social value,STUDIES IN HUMAN SOCIETY
interest group,OTHERS(IRRELEVANT)
household income,ECONOMICS
south australia,OTHERS(IRRELEVANT)
medication,MEDICAL AND HEALTH
quadriceps muscle,MEDICAL AND HEALTH
breast,MEDICAL AND HEALTH
serogroup,BIOLOGICAL
episode of care,MEDICAL AND HEALTH
light,PHYSICAL
fee,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
agricultural development,AGRICULTURAL AND VETERINARY
letters,STUDIES IN CREATIVE ARTS AND WRITING
nutrient,AGRICULTURAL AND VETERINARY
fires,ENVIRONMENTAL
lead,STUDIES IN HUMAN SOCIETY
diabetes mellitus,MEDICAL AND HEALTH
social movements,STUDIES IN HUMAN SOCIETY
capital city,STUDIES IN HUMAN SOCIETY
coronavirus,MEDICAL AND HEALTH
threatened species,ENVIRONMENTAL
serum,MEDICAL AND HEALTH
humulus,AGRICULTURAL AND VETERINARY
radio access networks,TECHNOLOGY
nurse,MEDICAL AND HEALTH
logistic models,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
attention capture,PSYCHOLOGY AND COGNITIVE SCIENCES
empirical evidence,OTHERS(RELEVANT)
doctrine,STUDIES IN HUMAN SOCIETY
political behavior,STUDIES IN HUMAN SOCIETY
consultation,OTHERS(IRRELEVANT)
market,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
high court,LAW AND LEGAL STUDIES
recreation,STUDIES IN HUMAN SOCIETY
tropical diseases,MEDICAL AND HEALTH
population decline,STUDIES IN HUMAN SOCIETY
infant health,MEDICAL AND HEALTH
antarctica,EARTH
lactation,AGRICULTURAL AND VETERINARY
post-traumatic stress disorders,MEDICAL AND HEALTH
altruism,PSYCHOLOGY AND COGNITIVE SCIENCES
rating,ECONOMICS
demography,STUDIES IN HUMAN SOCIETY
secondary school,EDUCATION
alternative models,INFORMATION AND COMPUTING
vision system,ENGINEERING
basal metabolism,MEDICAL AND HEALTH
harbor,EARTH
empirical research,OTHERS(RELEVANT)
authentication,INFORMATION AND COMPUTING
spine,MEDICAL AND HEALTH
mothers,MEDICAL AND HEALTH
evolutionary algorithms,INFORMATION AND COMPUTING
image processing,INFORMATION AND COMPUTING
biota,EARTH
snails,AGRICULTURAL AND VETERINARY
patient reported outcome measures,MEDICAL AND HEALTH
child protection,MEDICAL AND HEALTH
leadership,STUDIES IN HUMAN SOCIETY
ergometry,MEDICAL AND HEALTH
upper extremity,MEDICAL AND HEALTH
athletic injuries,MEDICAL AND HEALTH
construction project,BUILT ENVIRONMENT AND DESIGN
policy responses,STUDIES IN HUMAN SOCIETY
data mining,INFORMATION AND COMPUTING
case studies,OTHERS(RELEVANT)
brain computer interface,INFORMATION AND COMPUTING
drug therapy,MEDICAL AND HEALTH
ethics committee,PHILOSOPHY AND RELIGIOUS STUDIES
mental fatigue,MEDICAL AND HEALTH
species recruitment,ENVIRONMENTAL
insect,AGRICULTURAL AND VETERINARY
vitamin b 12,MEDICAL AND HEALTH
type 1 diabetes mellitus,MEDICAL AND HEALTH
recommender systems,INFORMATION AND COMPUTING
flooding,ENVIRONMENTAL
perth,OTHERS(IRRELEVANT)
pathologists,PSYCHOLOGY AND COGNITIVE SCIENCES
tea,AGRICULTURAL AND VETERINARY
destination,OTHERS(IRRELEVANT)
nursing home,MEDICAL AND HEALTH
cooperation,STUDIES IN HUMAN SOCIETY
immigration,STUDIES IN HUMAN SOCIETY
deep neural networks,INFORMATION AND COMPUTING
hand,MEDICAL AND HEALTH
auckland,OTHERS(IRRELEVANT)
functional food,MEDICAL AND HEALTH
homes for the aged,MEDICAL AND HEALTH
asia,OTHERS(IRRELEVANT)
reporter,"LANGUAGE, COMMUNICATION AND CULTURE"
metabolism,BIOLOGICAL
swimming,OTHERS(IRRELEVANT)
point-of-care testing,MEDICAL AND HEALTH
retrospective studies,OTHERS(RELEVANT)
reporting system,INFORMATION AND COMPUTING
cations,AGRICULTURAL AND VETERINARY
import,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
architect,BUILT ENVIRONMENT AND DESIGN
colorectal neoplasms,MEDICAL AND HEALTH
candidacy,MEDICAL AND HEALTH
autistic disorder,MEDICAL AND HEALTH
tokyo,OTHERS(IRRELEVANT)
narrative,OTHERS(RELEVANT)
organization,OTHERS(IRRELEVANT)
data structures,INFORMATION AND COMPUTING
forest industries,AGRICULTURAL AND VETERINARY
bone and bones,MEDICAL AND HEALTH
pharmacy students,MEDICAL AND HEALTH
waist-height ratio,MEDICAL AND HEALTH
broadcaster,TECHNOLOGY
endophenotypes,MEDICAL AND HEALTH
group,OTHERS(IRRELEVANT)
transaction,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
labor force,STUDIES IN HUMAN SOCIETY
dialogue,"LANGUAGE, COMMUNICATION AND CULTURE"
accreditation,ENGINEERING
finishing,OTHERS(IRRELEVANT)
health literacy,MEDICAL AND HEALTH
social distance,PHILOSOPHY AND RELIGIOUS STUDIES
transition economics,ECONOMICS
public,STUDIES IN HUMAN SOCIETY
federal republic of germany,OTHERS(IRRELEVANT)
nutritionists,MEDICAL AND HEALTH
patient rehabilitation,MEDICAL AND HEALTH
social research,STUDIES IN HUMAN SOCIETY
clergy,MEDICAL AND HEALTH
tendinopathy,MEDICAL AND HEALTH
resident,MEDICAL AND HEALTH
storytelling,OTHERS(RELEVANT)
acute coronary syndrome,MEDICAL AND HEALTH
irrigation,AGRICULTURAL AND VETERINARY
library science,INFORMATION AND COMPUTING
cell phone use,TECHNOLOGY
sustainable development goal,ENVIRONMENTAL
information system,INFORMATION AND COMPUTING
anatomy,MEDICAL AND HEALTH
wisdom,PSYCHOLOGY AND COGNITIVE SCIENCES
intestinal microorganisms,BIOLOGICAL
hong kong,OTHERS(IRRELEVANT)
territories,ENVIRONMENTAL
excellence,OTHERS(IRRELEVANT)
proteomics,BIOLOGICAL
community participation,"LANGUAGE, COMMUNICATION AND CULTURE"
diagnostic,MEDICAL AND HEALTH
vocational education,EDUCATION
materiality,ENGINEERING
financial crisis,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
pyrus,AGRICULTURAL AND VETERINARY
education sector,STUDIES IN HUMAN SOCIETY
taxonomy,AGRICULTURAL AND VETERINARY
victoria,OTHERS(IRRELEVANT)
urban planning,BUILT ENVIRONMENT AND DESIGN
principal component analysis,CHEMICAL
spiperone,MEDICAL AND HEALTH
prose,"LANGUAGE, COMMUNICATION AND CULTURE"
content analysis,OTHERS(RELEVANT)
health workforce,MEDICAL AND HEALTH
queensland,OTHERS(IRRELEVANT)
walkers,OTHERS(IRRELEVANT)
sensor networks,INFORMATION AND COMPUTING
bacterial artificial chromosomes,BIOLOGICAL
pharmacology,MEDICAL AND HEALTH
lesions (animal),AGRICULTURAL AND VETERINARY
mental health care,MEDICAL AND HEALTH
citizen,STUDIES IN HUMAN SOCIETY
registries,OTHERS(IRRELEVANT)
