Tags,Weight,Staff ID,tagsType
Urinary Tract Infections,18%,Canberra00014,StaffTags
Cognitive Dysfunction,17%,Canberra00014,StaffTags
Communication,17%,Canberra00014,StaffTags
Canaries,16%,Canberra00014,StaffTags
Documentation,16%,Canberra00014,StaffTags
Curriculum,16%,Canberra00014,StaffTags
Public Hospitals,16%,Canberra00014,StaffTags
Elder Abuse,16%,Canberra00014,StaffTags
Nursing Records,16%,Canberra00014,StaffTags
Standardized Nursing Terminology,16%,Canberra00014,StaffTags
Decision Making,15%,Canberra00014,StaffTags
Pneumonia,15%,Canberra00014,StaffTags
Hospital Administrators,14%,Canberra00014,StaffTags
Comorbidity,14%,Canberra00014,StaffTags
Delivery of Health Care,14%,Canberra00014,StaffTags
Hospital Information Systems,14%,Canberra00014,StaffTags
Cross Infection,14%,Canberra00014,StaffTags
Health Information Systems,13%,Canberra00014,StaffTags
Internationality,13%,Canberra00014,StaffTags
Rural Hospitals,13%,Canberra00014,StaffTags
Cheese,13%,Canberra00014,StaffTags
Nursing Students,13%,Canberra00014,StaffTags
Hospital Costs,12%,Canberra00014,StaffTags
Teaching,5%,Canberra00014,StaffTags
Education,12%,Canberra00014,StaffTags
Pressure,12%,Canberra00014,StaffTags
Non-Randomized Controlled Trials,12%,Canberra00014,StaffTags
Patient Care,12%,Canberra00014,StaffTags
Disasters,11%,Canberra00014,StaffTags
Midwifery,11%,Canberra00014,StaffTags
Telemedicine,11%,Canberra00014,StaffTags
Workflow,11%,Canberra00014,StaffTags
Drug-Related Side Effects and Adverse Reactions,11%,Canberra00014,StaffTags
Information Storage and Retrieval,11%,Canberra00014,StaffTags
Pandemics,10%,Canberra00014,StaffTags
Human Influenza,10%,Canberra00014,StaffTags
Health Expenditures,10%,Canberra00014,StaffTags
nursing,19%,Canberra00014,StaffTags
education,9%,Canberra00014,StaffTags
clinician,8%,Canberra00014,StaffTags
communication,5%,Canberra00014,StaffTags
popular culture,92%,Canberra00015,StaffTags
Law,83%,Canberra00015,StaffTags
justice,62%,Canberra00015,StaffTags
lawyer,61%,Canberra00015,StaffTags
toy,61%,Canberra00015,StaffTags
entertainment,49%,Canberra00015,StaffTags
fan,47%,Canberra00015,StaffTags
television,45%,Canberra00015,StaffTags
television series,41%,Canberra00015,StaffTags
merchandising,38%,Canberra00015,StaffTags
exegesis,36%,Canberra00015,StaffTags
narrative,34%,Canberra00015,StaffTags
mythology,31%,Canberra00015,StaffTags
newspaper,30%,Canberra00015,StaffTags
nostalgia,30%,Canberra00015,StaffTags
VIP,28%,Canberra00015,StaffTags
homicide,26%,Canberra00015,StaffTags
frustration,24%,Canberra00015,StaffTags
happiness,23%,Canberra00015,StaffTags
distribution company,20%,Canberra00015,StaffTags
money,20%,Canberra00015,StaffTags
news,18%,Canberra00015,StaffTags
president,18%,Canberra00015,StaffTags
gender,16%,Canberra00015,StaffTags
offense,16%,Canberra00015,StaffTags
marketing,16%,Canberra00015,StaffTags
DVD,16%,Canberra00015,StaffTags
market share,15%,Canberra00015,StaffTags
metropolis,14%,Canberra00015,StaffTags
local radio,13%,Canberra00015,StaffTags
drama,13%,Canberra00015,StaffTags
constitutional state,12%,Canberra00015,StaffTags
environmental protection,12%,Canberra00015,StaffTags
entertainment industry,11%,Canberra00015,StaffTags
love,11%,Canberra00015,StaffTags
conservation,10%,Canberra00015,StaffTags
ideology,9%,Canberra00015,StaffTags
retaliation,9%,Canberra00015,StaffTags
Japan,9%,Canberra00015,StaffTags
research project,9%,Canberra00015,StaffTags
globalization,9%,Canberra00015,StaffTags
discourse,9%,Canberra00015,StaffTags
movies,8%,Canberra00015,StaffTags
cultural change,8%,Canberra00015,StaffTags
literature,8%,Canberra00015,StaffTags
drug,8%,Canberra00015,StaffTags
invention,8%,Canberra00015,StaffTags
Superheroes,100%,Canberra00015,StaffTags
Lawyers,80%,Canberra00015,StaffTags
Barbie,53%,Canberra00015,StaffTags
Popular Culture,48%,Canberra00015,StaffTags
Signification,37%,Canberra00015,StaffTags
Casino,33%,Canberra00015,StaffTags
Interrogation,31%,Canberra00015,StaffTags
Franchise,30%,Canberra00015,StaffTags
Incest,29%,Canberra00015,StaffTags
Doll,29%,Canberra00015,StaffTags
Melbourne,28%,Canberra00015,StaffTags
Coffee,28%,Canberra00015,StaffTags
Happiness,27%,Canberra00015,StaffTags
Visual Media,25%,Canberra00015,StaffTags
Exegesis,24%,Canberra00015,StaffTags
Mythology,23%,Canberra00015,StaffTags
Toys,23%,Canberra00015,StaffTags
Murder,23%,Canberra00015,StaffTags
Entertainment,23%,Canberra00015,StaffTags
Wartime,22%,Canberra00015,StaffTags
Rise,21%,Canberra00015,StaffTags
State of Exception,20%,Canberra00015,StaffTags
Television Series,19%,Canberra00015,StaffTags
Media Representations,16%,Canberra00015,StaffTags
Authority,15%,Canberra00015,StaffTags
Legal System,15%,Canberra00015,StaffTags
Crime,15%,Canberra00015,StaffTags
Antagonist,14%,Canberra00015,StaffTags
Soldiers,12%,Canberra00015,StaffTags
Television Programs,12%,Canberra00015,StaffTags
Dramatization,11%,Canberra00015,StaffTags
Pleasure,11%,Canberra00015,StaffTags
Liminal,11%,Canberra00015,StaffTags
Übermensch,9%,Canberra00015,StaffTags
War on Terror,9%,Canberra00015,StaffTags
Cultural Change,8%,Canberra00015,StaffTags
Superman,8%,Canberra00015,StaffTags
Drama,8%,Canberra00015,StaffTags
Boys,8%,Canberra00015,StaffTags
Second World War,8%,Canberra00015,StaffTags
Sovereign Power,8%,Canberra00015,StaffTags
Window Display,8%,Canberra00015,StaffTags
Creative Director,8%,Canberra00015,StaffTags
Marvels,8%,Canberra00015,StaffTags
Mannequin,7%,Canberra00015,StaffTags
Underworld,7%,Canberra00015,StaffTags
Athletes,100%,Canberra00016,StaffTags
Muscles,66%,Canberra00016,StaffTags
Resistance Training,65%,Canberra00016,StaffTags
Physical Functional Performance,58%,Canberra00016,StaffTags
Sports,52%,Canberra00016,StaffTags
Football,51%,Canberra00016,StaffTags
Biomechanical Phenomena,46%,Canberra00016,StaffTags
Leg,42%,Canberra00016,StaffTags
Knee,39%,Canberra00016,StaffTags
Lower Extremity,38%,Canberra00016,StaffTags
Wounds and Injuries,36%,Canberra00016,StaffTags
Return to Sport,33%,Canberra00016,StaffTags
Anterior Cruciate Ligament,32%,Canberra00016,StaffTags
Quadriceps Muscle,31%,Canberra00016,StaffTags
Running,31%,Canberra00016,StaffTags
Electromyography,31%,Canberra00016,StaffTags
Soccer,31%,Canberra00016,StaffTags
Anterior Cruciate Ligament Reconstruction,30%,Canberra00016,StaffTags
Systematic Reviews,29%,Canberra00016,StaffTags
Anterior Cruciate Ligament Injuries,28%,Canberra00016,StaffTags
Ankle,28%,Canberra00016,StaffTags
Acceleration,25%,Canberra00016,StaffTags
Energy Metabolism,23%,Canberra00016,StaffTags
Lysholm Knee Score,23%,Canberra00016,StaffTags
Gymnastics,21%,Canberra00016,StaffTags
Power (Psychology),21%,Canberra00016,StaffTags
Knee Joint,21%,Canberra00016,StaffTags
Joints,20%,Canberra00016,StaffTags
Wearable Electronic Devices,19%,Canberra00016,StaffTags
Mental Fatigue,19%,Canberra00016,StaffTags
Mastodynia,18%,Canberra00016,StaffTags
Humulus,16%,Canberra00016,StaffTags
Exercise,16%,Canberra00016,StaffTags
Firefighters,16%,Canberra00016,StaffTags
Transfer (Psychology),14%,Canberra00016,StaffTags
Fatigue,14%,Canberra00016,StaffTags
Military Personnel,14%,Canberra00016,StaffTags
Hamstring Muscles,14%,Canberra00016,StaffTags
Reference Values,13%,Canberra00016,StaffTags
Swimming,13%,Canberra00016,StaffTags
Education,13%,Canberra00016,StaffTags
Athletic Performance,12%,Canberra00016,StaffTags
Upper Extremity,12%,Canberra00016,StaffTags
Direction compound,12%,Canberra00016,StaffTags
Observational Studies,11%,Canberra00016,StaffTags
Autografts,11%,Canberra00016,StaffTags
Extremities,11%,Canberra00016,StaffTags
Walking,11%,Canberra00016,StaffTags
Hip,10%,Canberra00016,StaffTags
Ligaments,10%,Canberra00016,StaffTags
Construction Project,87%,Canberra00017,StaffTags
Critical Success Factors,72%,Canberra00017,StaffTags
Information Modeling,66%,Canberra00017,StaffTags
Construction Project Management,47%,Canberra00017,StaffTags
Project Management,46%,Canberra00017,StaffTags
Sustainability,39%,Canberra00017,StaffTags
Sustainable Build Environment,29%,Canberra00017,StaffTags
Sustainable Construction,26%,Canberra00017,StaffTags
Climate Change Adaptation,26%,Canberra00017,StaffTags
Medical Diagnosis,26%,Canberra00017,StaffTags
Scientometrics,25%,Canberra00017,StaffTags
Management Practices,25%,Canberra00017,StaffTags
Developing Countries,25%,Canberra00017,StaffTags
Association Rule Mining,24%,Canberra00017,StaffTags
Construction Industry,23%,Canberra00017,StaffTags
Sustainable Building,23%,Canberra00017,StaffTags
Small and Medium-sized Enterprises (SMEs),22%,Canberra00017,StaffTags
Dams,18%,Canberra00017,StaffTags
Data Analytics,22%,Canberra00017,StaffTags
Fuzzy TOPSIS,21%,Canberra00017,StaffTags
Information Requirements,20%,Canberra00017,StaffTags
Innovation Diffusion,20%,Canberra00017,StaffTags
Corruption,19%,Canberra00017,StaffTags
Diffusion Model,18%,Canberra00017,StaffTags
Harmony,18%,Canberra00017,StaffTags
Paradigm Shift,18%,Canberra00017,StaffTags
Network Analysis,18%,Canberra00017,StaffTags
Artificial Neural Network,18%,Canberra00017,StaffTags
Resilience,18%,Canberra00017,StaffTags
Key Performance Indicators,18%,Canberra00017,StaffTags
Rule-based,18%,Canberra00017,StaffTags
Contextual Factors,17%,Canberra00017,StaffTags
Aircraft,24%,Canberra00017,StaffTags
Integrated Model,17%,Canberra00017,StaffTags
Structural Equation Modeling,15%,Canberra00017,StaffTags
Research Agenda,15%,Canberra00017,StaffTags
Managers,24%,Canberra00017,StaffTags
Viability,15%,Canberra00017,StaffTags
Innovation Diffusion Theory,15%,Canberra00017,StaffTags
Information and Communication Technology,14%,Canberra00017,StaffTags
Costs,12%,Canberra00017,StaffTags
Structured Interview,12%,Canberra00017,StaffTags
Cross-validation,11%,Canberra00017,StaffTags
Triple Bottom Line,11%,Canberra00017,StaffTags
Integrated,11%,Canberra00017,StaffTags
Mixed Methods,11%,Canberra00017,StaffTags
Decision Support Systems,10%,Canberra00017,StaffTags
Partial Least Squares,10%,Canberra00017,StaffTags
Assets,9%,Canberra00017,StaffTags
Sustainable development,100%,Canberra00017,StaffTags
Construction industry,78%,Canberra00017,StaffTags
Project management,64%,Canberra00017,StaffTags
Developing countries,50%,Canberra00017,StaffTags
Facades,38%,Canberra00017,StaffTags
Ashes,34%,Canberra00017,StaffTags
Glare,28%,Canberra00017,StaffTags
Decision support systems,25%,Canberra00017,StaffTags
Industry,25%,Canberra00017,StaffTags
Energy utilization,23%,Canberra00017,StaffTags
Solar radiation,23%,Canberra00017,StaffTags
Concretes,22%,Canberra00017,StaffTags
Carbon footprint,21%,Canberra00017,StaffTags
Cements,21%,Canberra00017,StaffTags
Neural networks,19%,Canberra00017,StaffTags
Silicates,19%,Canberra00017,StaffTags
Personal digital assistants,19%,Canberra00017,StaffTags
Fuel oils,19%,Canberra00017,StaffTags
Calcium,18%,Canberra00017,StaffTags
Association rules,18%,Canberra00017,StaffTags
Artificial intelligence,18%,Canberra00017,StaffTags
Energy efficiency,17%,Canberra00017,StaffTags
Fuzzy rules,17%,Canberra00017,StaffTags
Fuzzy inference,17%,Canberra00017,StaffTags
Sun,17%,Canberra00017,StaffTags
Electric network analysis,17%,Canberra00017,StaffTags
Economics,16%,Canberra00017,StaffTags
Impurities,16%,Canberra00017,StaffTags
Heating,16%,Canberra00017,StaffTags
Radio frequency identification (RFID),15%,Canberra00017,StaffTags
Cooling,15%,Canberra00017,StaffTags
Rough set theory,15%,Canberra00017,StaffTags
Information technology,14%,Canberra00017,StaffTags
Skin,14%,Canberra00017,StaffTags
Decision making,14%,Canberra00017,StaffTags
Productivity,13%,Canberra00017,StaffTags
Cameras,11%,Canberra00017,StaffTags
Physical properties,11%,Canberra00017,StaffTags
Decision tables,11%,Canberra00017,StaffTags
Set theory,10%,Canberra00017,StaffTags
Atmospheric humidity,10%,Canberra00017,StaffTags
Monitoring,9%,Canberra00017,StaffTags
Life cycle,9%,Canberra00017,StaffTags
Communication,8%,Canberra00017,StaffTags
Software packages,8%,Canberra00017,StaffTags
sustainability,28%,Canberra00017,StaffTags
sustainable development,27%,Canberra00017,StaffTags
green building,22%,Canberra00017,StaffTags
ecological footprint,21%,Canberra00017,StaffTags
information and communication technology,21%,Canberra00017,StaffTags
paradigm shift,21%,Canberra00017,StaffTags
project management,20%,Canberra00017,StaffTags
construction industry,20%,Canberra00017,StaffTags
carbon footprint,20%,Canberra00017,StaffTags
greenhouse gas emissions,20%,Canberra00017,StaffTags
environmental health,18%,Canberra00017,StaffTags
cooling,17%,Canberra00017,StaffTags
developing world,17%,Canberra00017,StaffTags
project,16%,Canberra00017,StaffTags
responsibility,15%,Canberra00017,StaffTags
resource,15%,Canberra00017,StaffTags
energy consumption,15%,Canberra00017,StaffTags
environmental impact,13%,Canberra00017,StaffTags
world,12%,Canberra00017,StaffTags
consumption,11%,Canberra00017,StaffTags
health,11%,Canberra00017,StaffTags
analysis,10%,Canberra00017,StaffTags
economics,9%,Canberra00017,StaffTags
city,9%,Canberra00017,StaffTags
carbon,9%,Canberra00017,StaffTags
climate,9%,Canberra00017,StaffTags
loss,8%,Canberra00017,StaffTags
cold,8%,Canberra00017,StaffTags
modeling,8%,Canberra00017,StaffTags
energy,8%,Canberra00017,StaffTags
paper,7%,Canberra00017,StaffTags
solar radiation,7%,Canberra00017,StaffTags
prosperity,7%,Canberra00017,StaffTags
lifestyle,6%,Canberra00017,StaffTags
heating,5%,Canberra00017,StaffTags
management practice,5%,Canberra00017,StaffTags
biosphere,5%,Canberra00017,StaffTags
footprint,5%,Canberra00017,StaffTags
twenty first century,5%,Canberra00017,StaffTags
inhabitant,5%,Canberra00017,StaffTags
tourism,5%,Canberra00017,StaffTags
Memetic Algorithm,100%,Canberra00018,StaffTags
Equality Constraints,50%,Canberra00018,StaffTags
Healthcare,37%,Canberra00018,StaffTags
Benchmark,32%,Canberra00018,StaffTags
Agent Systems,27%,Canberra00018,StaffTags
Evolutionary Algorithms,26%,Canberra00018,StaffTags
Optimization Problem,26%,Canberra00018,StaffTags
Performance,25%,Canberra00018,StaffTags
Evolutionary Optimization,23%,Canberra00018,StaffTags
Summarization,22%,Canberra00018,StaffTags
Constrained Optimization Problem,21%,Canberra00018,StaffTags
Mining,19%,Canberra00018,StaffTags
Local Search,17%,Canberra00018,StaffTags
Injection,17%,Canberra00018,StaffTags
Nonlinear Optimization,16%,Canberra00018,StaffTags
Mathematical Programming,15%,Canberra00018,StaffTags
Attack,15%,Canberra00018,StaffTags
Experimental Results,15%,Canberra00018,StaffTags
False,14%,Canberra00018,StaffTags
Hybrid Evolutionary Algorithm,11%,Canberra00018,StaffTags
Learning Process,10%,Canberra00018,StaffTags
Constraint Solving,10%,Canberra00018,StaffTags
Fitness,8%,Canberra00018,StaffTags
Smart Grid,8%,Canberra00018,StaffTags
Decision problem,7%,Canberra00018,StaffTags
Concepts,7%,Canberra00018,StaffTags
Inequality Constraints,7%,Canberra00018,StaffTags
Learning,6%,Canberra00018,StaffTags
Frequent Pattern,6%,Canberra00018,StaffTags
Nonlinear Problem,6%,Canberra00018,StaffTags
Constraint Handling,6%,Canberra00018,StaffTags
Mathematical Model,5%,Canberra00018,StaffTags
Global Search,5%,Canberra00018,StaffTags
Evolutionary Computation,5%,Canberra00018,StaffTags
Multi-agent Systems,5%,Canberra00018,StaffTags
Constrained optimization,77%,Canberra00018,StaffTags
Evolutionary algorithms,50%,Canberra00018,StaffTags
Smart power grids,23%,Canberra00018,StaffTags
Mathematical programming,17%,Canberra00018,StaffTags
Cyber Physical System,17%,Canberra00018,StaffTags
Data Analytics,17%,Canberra00018,StaffTags
Mathematical transformations,16%,Canberra00018,StaffTags
Health care,15%,Canberra00018,StaffTags
Security of data,15%,Canberra00018,StaffTags
Internet of things,13%,Canberra00018,StaffTags
Failure analysis,13%,Canberra00018,StaffTags
Software engineering,12%,Canberra00018,StaffTags
Textures,12%,Canberra00018,StaffTags
Wireless sensor networks,12%,Canberra00018,StaffTags
Costs,11%,Canberra00018,StaffTags
Communication,11%,Canberra00018,StaffTags
Genetic algorithms,10%,Canberra00018,StaffTags
Internet,10%,Canberra00018,StaffTags
Set theory,9%,Canberra00018,StaffTags
Information use,8%,Canberra00018,StaffTags
Computer networks,7%,Canberra00018,StaffTags
Big data,7%,Canberra00018,StaffTags
Artificial intelligence,6%,Canberra00018,StaffTags
Productivity,6%,Canberra00018,StaffTags
Students,5%,Canberra00018,StaffTags
Decision making,5%,Canberra00018,StaffTags
teacher,100%,Canberra00019,StaffTags
learning,80%,Canberra00019,StaffTags
Teaching,41%,Canberra00019,StaffTags
cognition,48%,Canberra00019,StaffTags
reflexivity,44%,Canberra00019,StaffTags
university teacher,33%,Canberra00019,StaffTags
education,28%,Canberra00019,StaffTags
evaluation,21%,Canberra00019,StaffTags
educational setting,13%,Canberra00019,StaffTags
OECD,11%,Canberra00019,StaffTags
classroom,10%,Canberra00019,StaffTags
student,9%,Canberra00019,StaffTags
Malta,8%,Canberra00019,StaffTags
semester,8%,Canberra00019,StaffTags
educational theory,7%,Canberra00019,StaffTags
Rwanda,7%,Canberra00019,StaffTags
educator,7%,Canberra00019,StaffTags
artificial intelligence,6%,Canberra00019,StaffTags
educational practice,6%,Canberra00019,StaffTags
teacher's role,6%,Canberra00019,StaffTags
communication technology,5%,Canberra00019,StaffTags
Cognition,37%,Canberra00019,StaffTags
Learning,34%,Canberra00019,StaffTags
Ego,20%,Canberra00019,StaffTags
Teacher Training,16%,Canberra00019,StaffTags
Professional Education,13%,Canberra00019,StaffTags
Australian Capital Territory,11%,Canberra00019,StaffTags
Intention,6%,Canberra00019,StaffTags
Students,5%,Canberra00019,StaffTags
offender,100%,Canberra00020,StaffTags
correctional institution,67%,Canberra00020,StaffTags
probation,63%,Canberra00020,StaffTags
Territories,51%,Canberra00020,StaffTags
offense,48%,Canberra00020,StaffTags
imprisonment,44%,Canberra00020,StaffTags
Law,43%,Canberra00020,StaffTags
jurisprudence,42%,Canberra00020,StaffTags
public opinion,37%,Canberra00020,StaffTags
prisoner,36%,Canberra00020,StaffTags
High Court,35%,Canberra00020,StaffTags
law reform,34%,Canberra00020,StaffTags
justice,32%,Canberra00020,StaffTags
jurisdiction,30%,Canberra00020,StaffTags
reform,27%,Canberra00020,StaffTags
Criminal Justice Systems,26%,Canberra00020,StaffTags
Family Violence,25%,Canberra00020,StaffTags
child custody,25%,Canberra00020,StaffTags
legislation,23%,Canberra00020,StaffTags
Women prisoners,23%,Canberra00020,StaffTags
occupational reintegration,20%,Canberra00020,StaffTags
Legislative reform,20%,Canberra00020,StaffTags
time,20%,Canberra00020,StaffTags
Consumer fraud,17%,Canberra00020,StaffTags
sanction,17%,Canberra00020,StaffTags
Criminal Justice,15%,Canberra00020,StaffTags
criminal jurisdiction,15%,Canberra00020,StaffTags
public attitudes,15%,Canberra00020,StaffTags
Juvenile justice,15%,Canberra00020,StaffTags
assisted suicide,13%,Canberra00020,StaffTags
Rape victims,13%,Canberra00020,StaffTags
sexual offense,13%,Canberra00020,StaffTags
confidence,13%,Canberra00020,StaffTags
Judicial officers,13%,Canberra00020,StaffTags
battered woman,13%,Canberra00020,StaffTags
euthanasia,12%,Canberra00020,StaffTags
private law,12%,Canberra00020,StaffTags
rehabilitation,12%,Canberra00020,StaffTags
evaluation,12%,Canberra00020,StaffTags
evidence,12%,Canberra00020,StaffTags
victimization,12%,Canberra00020,StaffTags
homicide,11%,Canberra00020,StaffTags
trauma,11%,Canberra00020,StaffTags
human rights,11%,Canberra00020,StaffTags
gender,11%,Canberra00020,StaffTags
honor,10%,Canberra00020,StaffTags
examination,10%,Canberra00020,StaffTags
management,10%,Canberra00020,StaffTags
criminology,10%,Canberra00020,StaffTags
vulnerability,10%,Canberra00020,StaffTags
Criminals,73%,Canberra00020,StaffTags
Jurisprudence,36%,Canberra00020,StaffTags
Social Justice,35%,Canberra00020,StaffTags
Criminal Law,31%,Canberra00020,StaffTags
Prisons,24%,Canberra00020,StaffTags
Criminology,18%,Canberra00020,StaffTags
Right to Die,17%,Canberra00020,StaffTags
Sex Offenses,17%,Canberra00020,StaffTags
Wolfiporia,16%,Canberra00020,StaffTags
Legislation,16%,Canberra00020,StaffTags
Public Opinion,16%,Canberra00020,StaffTags
Violence,16%,Canberra00020,StaffTags
Assisted Suicide,15%,Canberra00020,StaffTags
Yoga,13%,Canberra00020,StaffTags
Domestic Violence,13%,Canberra00020,StaffTags
Crime Victims,13%,Canberra00020,StaffTags
Western Australia,13%,Canberra00020,StaffTags
Prisoners,13%,Canberra00020,StaffTags
New South Wales,13%,Canberra00020,StaffTags
Euthanasia,12%,Canberra00020,StaffTags
Victoria,12%,Canberra00020,StaffTags
Crime,11%,Canberra00020,StaffTags
Child,11%,Canberra00020,StaffTags
Sitting Position,10%,Canberra00020,StaffTags
Practice Guidelines,9%,Canberra00020,StaffTags
"Euthanasia, Active, Voluntary",9%,Canberra00020,StaffTags
Australian Capital Territory,8%,Canberra00020,StaffTags
Recidivism,8%,Canberra00020,StaffTags
South Australia,6%,Canberra00020,StaffTags
Substance-Related Disorders,6%,Canberra00020,StaffTags
Information Dissemination,6%,Canberra00020,StaffTags
Police,6%,Canberra00020,StaffTags
Compliance,5%,Canberra00020,StaffTags
Respect,5%,Canberra00020,StaffTags
Therapeutics,5%,Canberra00020,StaffTags
Administrative Personnel,5%,Canberra00020,StaffTags
refugee,100%,Canberra00021,StaffTags
business relation,85%,Canberra00021,StaffTags
Jordan,83%,Canberra00021,StaffTags
path dependent,77%,Canberra00021,StaffTags
Lebanon,75%,Canberra00021,StaffTags
political participation,58%,Canberra00021,StaffTags
communications,48%,Canberra00021,StaffTags
governance,37%,Canberra00021,StaffTags
infrastructure,34%,Canberra00021,StaffTags
nation state,33%,Canberra00021,StaffTags
industry,33%,Canberra00021,StaffTags
civil society,32%,Canberra00021,StaffTags
law and order,24%,Canberra00021,StaffTags
neighboring countries,22%,Canberra00021,StaffTags
peace process,22%,Canberra00021,StaffTags
policy approach,22%,Canberra00021,StaffTags
time,20%,Canberra00021,StaffTags
National Policy,18%,Canberra00021,StaffTags
Syria,16%,Canberra00021,StaffTags
habits,16%,Canberra00021,StaffTags
new technology,15%,Canberra00021,StaffTags
communication technology,15%,Canberra00021,StaffTags
Canada,12%,Canberra00021,StaffTags
paradigm,12%,Canberra00021,StaffTags
Safety regulations,12%,Canberra00021,StaffTags
living standard,11%,Canberra00021,StaffTags
costs,10%,Canberra00021,StaffTags
present,10%,Canberra00021,StaffTags
history,10%,Canberra00021,StaffTags
participation,10%,Canberra00021,StaffTags
taxes,10%,Canberra00021,StaffTags
jurisdiction,9%,Canberra00021,StaffTags
Social Environment,9%,Canberra00021,StaffTags
UNO,8%,Canberra00021,StaffTags
Iraq,8%,Canberra00021,StaffTags
economics,8%,Canberra00021,StaffTags
literature,8%,Canberra00021,StaffTags
Turkey,7%,Canberra00021,StaffTags
international human rights law,7%,Canberra00021,StaffTags
EU,6%,Canberra00021,StaffTags
country of origin,6%,Canberra00021,StaffTags
economy,5%,Canberra00021,StaffTags
bureaucracy,5%,Canberra00021,StaffTags
sovereignty,5%,Canberra00021,StaffTags
Ryanodine Receptor Calcium Release Channel,26%,Canberra00022,StaffTags
Calsequestrin,43%,Canberra00022,StaffTags
Sarcoplasmic Reticulum,24%,Canberra00022,StaffTags
triadin,8%,Canberra00022,StaffTags
Skeletal Muscle,23%,Canberra00022,StaffTags
Calcium,10%,Canberra00022,StaffTags
Hereditary Angioedema Type III,9%,Canberra00022,StaffTags
Excitation Contraction Coupling,8%,Canberra00022,StaffTags
Muscular Diseases,8%,Canberra00022,StaffTags
Hereditary Angioedema Types I and II,8%,Canberra00022,StaffTags
Myocardium,8%,Canberra00022,StaffTags
Phosphorylation,7%,Canberra00022,StaffTags
adriamycinol,7%,Canberra00022,StaffTags
Anthracyclines,7%,Canberra00022,StaffTags
Ion Channels,5%,Canberra00022,StaffTags
Proteins,6%,Canberra00022,StaffTags
Hereditary Angioedemas,6%,Canberra00022,StaffTags
Oxidation-Reduction,6%,Canberra00022,StaffTags
Heart,6%,Canberra00022,StaffTags
Muscles,5%,Canberra00022,StaffTags
Heart Failure,5%,Canberra00022,StaffTags
Hot Temperature,5%,Canberra00022,StaffTags
Graves Disease,5%,Canberra00022,StaffTags
lipopolysaccharide-binding protein,5%,Canberra00022,StaffTags
Muscle,10%,Canberra00022,StaffTags
bird,100%,Canberra00023,StaffTags
pollen limitation,73%,Canberra00023,StaffTags
pollinator,53%,Canberra00023,StaffTags
pollination,30%,Canberra00023,StaffTags
drought,31%,Canberra00023,StaffTags
vegetation,37%,Canberra00023,StaffTags
plant reproduction,31%,Canberra00023,StaffTags
drying,15%,Canberra00023,StaffTags
avifauna,32%,Canberra00023,StaffTags
interspecific interaction,31%,Canberra00023,StaffTags
species richness,28%,Canberra00023,StaffTags
diversity index,28%,Canberra00023,StaffTags
gradient analysis,27%,Canberra00023,StaffTags
climate,36%,Canberra00023,StaffTags
flower,27%,Canberra00023,StaffTags
pollen,45%,Canberra00023,StaffTags
woodland,25%,Canberra00023,StaffTags
land use change,24%,Canberra00023,StaffTags
life history trait,24%,Canberra00023,StaffTags
ant,23%,Canberra00023,StaffTags
carbon storage,21%,Canberra00023,StaffTags
flowering,14%,Canberra00023,StaffTags
biodiversity,40%,Canberra00023,StaffTags
fragmentation,19%,Canberra00023,StaffTags
climate change,29%,Canberra00023,StaffTags
vertebrate,17%,Canberra00023,StaffTags
ecology,17%,Canberra00023,StaffTags
distribution,17%,Canberra00023,StaffTags
vulnerability,16%,Canberra00023,StaffTags
fish,16%,Canberra00023,StaffTags
dieback,17%,Canberra00023,StaffTags
fauna,16%,Canberra00023,StaffTags
transect,14%,Canberra00023,StaffTags
resource,14%,Canberra00023,StaffTags
productivity,13%,Canberra00023,StaffTags
land use,21%,Canberra00023,StaffTags
extinction,12%,Canberra00023,StaffTags
indicator,11%,Canberra00023,StaffTags
matrix,11%,Canberra00023,StaffTags
carbon sequestration,23%,Canberra00023,StaffTags
phylogenetics,10%,Canberra00023,StaffTags
vegetation structure,12%,Canberra00023,StaffTags
effect,9%,Canberra00023,StaffTags
niche breadth,9%,Canberra00023,StaffTags
seed dispersal,9%,Canberra00023,StaffTags
ecosystem,8%,Canberra00023,StaffTags
plant species,8%,Canberra00023,StaffTags
software,8%,Canberra00023,StaffTags
rarity,7%,Canberra00023,StaffTags
birds,66%,Canberra00023,StaffTags
pollinators,39%,Canberra00023,StaffTags
woodlands,35%,Canberra00023,StaffTags
ectothermy,24%,Canberra00023,StaffTags
meta-analysis,22%,Canberra00023,StaffTags
flowers,22%,Canberra00023,StaffTags
introduced plants,22%,Canberra00023,StaffTags
Arctic region,20%,Canberra00023,StaffTags
gibberellins,20%,Canberra00023,StaffTags
heat tolerance,19%,Canberra00023,StaffTags
hypocotyls,19%,Canberra00023,StaffTags
ecosystems,19%,Canberra00023,StaffTags
phylogeny,18%,Canberra00023,StaffTags
abscisic acid,17%,Canberra00023,StaffTags
auxins,17%,Canberra00023,StaffTags
species recruitment,17%,Canberra00023,StaffTags
Formicidae,17%,Canberra00023,StaffTags
life history,15%,Canberra00023,StaffTags
Victoria (Australia),15%,Canberra00023,StaffTags
vertebrates,14%,Canberra00023,StaffTags
population characteristics,13%,Canberra00023,StaffTags
functional diversity,13%,Canberra00023,StaffTags
dead wood,11%,Canberra00023,StaffTags
growth models,10%,Canberra00023,StaffTags
