,ATM ID,Agency,Category,Close Date & Time,Description,Title,_id,ID,isRelated
9513,RFT 037-2008,Australian Taxation Office,Engineering and Research and Technology Based Services,25-Jul-08 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within the Public Key Infrastructure Team in order to perform ICT Services.  The Tax Office is seeking approximately one personnel.",PKI Developer,6159c38e9107b6df81b15bcb,81000000.0,1.0
9561,RFT 1802008,Australian Federal Police,Temporary research and development services,01-Aug-08 2:00 pm,This RFT seeks to establish a panel of specialists to assist the AFP in the fields of laboratory analytical services and/or scientific and/or technical advice. Tenderers may bid for any or all of the fields of activity consistent with their preference and expertise as expressed in their tender responses. Successful Tenderers will be admitted to the panel for an initial period of three years with options to extend the agreements for two further one year periods.,Panel of Providers to provide Specialist Scientific Services,6159c38e9107b6df81b15bfb,80111621.0,1.0
9650,RFT 039-2008,Australian Taxation Office,Engineering and Research and Technology Based Services,18-Aug-08 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Enterprise Architecture Branch in order to perform ICT Services.  The Tax Office is seeking approximately several personnel.","Mainframe Developer (Cobol, Telon, CoolGen)",6159c38e9107b6df81b15c54,81000000.0,1.0
9821,RFT 045-2008,Australian Taxation Office,Engineering and Research and Technology Based Services,11-Sep-08 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Integrated Solution Design in order to perform ICT Services.  The Tax Office is seeking approximately 2 personnel.",Senior Solution Designer,6159c38e9107b6df81b15cff,81000000.0,1.0
9934,2008/1088255,Department of Defence - DSRG,Engineering and Research and Technology Based Services,29-Sep-08 5:00 pm,"Command, Control, Communications and Intelligence Division (C3ID), Defence Science and Technology Organisation (DSTO) at Edinburgh, South Australia, for the provision of Software Programming Support Services to develop Critical Information Infrastructure Protection (CIIP) software modules.   These modules will be used to monitor network activity on Supervisory Control and Data Acquisition (SCADA) systems.",Provision of Software Programming Support Services to develop Critical Information Infrastructure Protection,6159c38e9107b6df81b15d70,81000000.0,1.0
10049,RFT 050-2008,Australian Taxation Office,Engineering and Research and Technology Based Services,13-Oct-08 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Enterprise Applications Branch within the ICT Business Line in order to perform ICT Services.  The Tax Office is seeking approximately one personnel",Senior Mainframe Developer CoolGEN Telon,6159c38e9107b6df81b15de3,81000000.0,1.0
10085,RFT 033-2008 v2,Australian Taxation Office,Engineering and Research and Technology Based Services,16-Oct-08 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Business Solutions in order to perform ICT Services.  The Tax Office is seeking approximately 1-3 personnel.",Senior Solution Designer (re-release),6159c38e9107b6df81b15e07,81000000.0,1.0
10160,2008-1105696,Department of Defence - DSRG,Engineering and Research and Technology Based Services,28-Oct-08 5:00 pm,"Radar Systems Group requires the temporary services of a technical officer with substantial experience in logistical and technical support for sophisticated remote field trials and complex experiments, as well as a solid understanding of the hardware used in HF radio and radar applications.   This person is to develop an equipment logging system to assist in the tracking and control of equipment used in field trials and around the laboratories.",Provision of a Technical Officer to Support Radar Systems Group,6159c38e9107b6df81b15e52,81000000.0,1.0
10402,RFT 056-2008,Australian Taxation Office,Engineering and Research and Technology Based Services,24-Nov-08 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Environment Management Projects team in the ICT Business Line on order to perform ICT Services.  The Tax Office is seeking approximately one personnel.",Project Manager,6159c38e9107b6df81b15f44,81000000.0,1.0
10555,AWD 001/08,Defence Materiel Organisation,Engineering and Research and Technology Based Services,15-Dec-08 12:00 pm,The Air Warfare Destroyer Program intends to set up a Standing Offer Panel for the provision of Independent Program Services ,Independent Program Assurance Services,6159c38e9107b6df81b15fdd,81000000.0,1.0
10566,RFT 057-2008,Australian Taxation Office,Engineering and Research and Technology Based Services,15-Dec-08 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as The Change Program in order to perform ICT Services.  The Tax Office is seeking approximately one personnel.",Senior Data Conversion Analyst,6159c38e9107b6df81b15fe8,81000000.0,1.0
10585,113/0809,Department of Health,Engineering and Research and Technology Based Services,17-Dec-08 2:00 pm,"The Department of Health and Ageing is seeking tenders for a range of services from professional consultants for office fit-out and design projects for its leased premises.These services include architectural, cost planning, project management, building consultancy services and environmental management.",Establishment of a property services panel for consultancy services for fit-outs,6159c38e9107b6df81b15ffb,81000000.0,1.0
10586,114/0809,Department of Health,Engineering and Research and Technology Based Services,17-Dec-08 2:00 pm,"The Department of Health and Ageing is seeking tenders from capable and experienced individuals or organisations to supply a range of construction, refurbishment and fit-out services.",Establishment of a Property Services Panel for Construction Services for Office Fit-outs,6159c38e9107b6df81b15ffc,81000000.0,1.0
10638,RFT 059-2008,Australian Taxation Office,Engineering and Research and Technology Based Services,12-Jan-09 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT Strategy & Architecture in order to perform ICT Services.  The Tax Office is seeking approximately two (2) personnel.",Enterprise Architect,6159c38e9107b6df81b16030,81000000.0,1.0
10711,001-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,19-Jan-09 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Integrated Solution Design (ISD) team, in ATO Business Solutions in order to perform ICT Services.  The Tax Office is seeking approximately 2 personnel.",Senior Solution Designer,6159c38e9107b6df81b16079,81000000.0,1.0
10756,RFT 002-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,27-Jan-09 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Core Legacy Applications within ICT in order to perform ICT Services.  The Tax Office is seeking approximately one personnel.",Senior Business Analyst,6159c38e9107b6df81b160a6,81000000.0,1.0
10860,2008/1153811,Department of Defence - DSRG,Engineering and Research and Technology Based Services,12-Feb-09 5:00 pm,Provide the services for Industry Support for Project and Engineering Services for Maritime Operations Division.,Industry Support for Project and Engineering Services for Maritime Operations Division,6159c38e9107b6df81b1610e,81000000.0,1.0
10870,RFT 20/50/06,Defence Materiel Organisation,Engineering and Research and Technology Based Services,16-Feb-09 12:00 pm,STS YOUNG ENDEAVOUR is the national youth sail training ship and conducts a year-round youth development program on behalf of the Young Endeavour Youth Scheme (YEYS).  She will undergo the production phase of the scheduled External Maintenance Availability (EMA) in March 2009.,Request for Tender for External Maintenance Availability (EMA) for STS YOUNG ENDEAVOUR March 2009,6159c38e9107b6df81b16118,81000000.0,1.0
10883,RFT 03-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,16-Feb-09 2:00 pm,"The Commonwealth, represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as the Office of the Chief Knowledge Officer in order to perform ICT Services.  The Tax Office is seeking approximately one (1) personnel.",Business Analyst - ICT Services,6159c38e9107b6df81b16125,81000000.0,1.0
10917,RFT 004 - 2009,Australian Taxation Office,Engineering and Research and Technology Based Services,23-Feb-09 2:00 pm,The Tax Office invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as the ICT Sourcing Program (ICTSP) to perform ICT Services.  The Tax Office is seeking to fill 3 Bundle Transition Manager roles within the ICTSP.,Bundle Transition Manager,6159c38e9107b6df81b16147,81000000.0,1.0
11003,MSHP01/09,Department of Veterans' Affairs,Medical science and research,10-Mar-09 12:00 pm,"The Department of Veterans' Affairs (DVA) is seeking tenders for research services relating to Social Isolation within the Veteran Community.  The research will investigate the effects of social isolation within the veteran community, including whether military service is a predictor for social isolation, particularly for those under the age of 45.",RESEARCH INTO SOCIAL ISOLATION IN THE VETERAN COMMUNITY,6159c38f9107b6df81b1619d,85131700.0,1.0
11052,RFT 005-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,17-Mar-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as the ICT Applications – COTS Products to perform ICT Services. The Tax Office is seeking to fill 2 Web Solutions Technical Developer roles within this team.",Web Solutions Technical Developer,6159c38f9107b6df81b161ce,81000000.0,1.0
11053,RFT 006-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,17-Mar-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as the Information and Communications Technology (ICT)/Enterprise Applications (EA) to perform ICT Services as Mainframe Developers.The Tax Office is seeking approximately two (2) personnel to perform these services.  ",Mainframe Developer - Cool:GEN,6159c38f9107b6df81b161cf,81000000.0,1.0
11078,RFT 007-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,20-Mar-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT Developer Products to perform ICT Services. The Tax Office is seeking to fill two (2) CA GEN Support & Architecture Consultant roles within this team.",CA GEN Support & Architecture Consultant,6159c38f9107b6df81b161e8,81000000.0,1.0
11106,RFT 008-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,26-Mar-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a Business Line known as the Enterprise Application to perform ICT Services.",Midrange - Technical Specialist (Packaging),6159c38f9107b6df81b16204,81000000.0,1.0
11145,RFT 009-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,02-Apr-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a Business Line known as Enterprise Applications to perform ICT Services.",Mainframe: Technical Specialist,6159c38f9107b6df81b1622b,81000000.0,1.0
11174,RFT 2009-1023422,Department of Defence - DSRG,Engineering and Research and Technology Based Services,07-Apr-09 4:30 pm,DSTO wishes to engage a suitably qualified contractor to assist in the assessment of gun propellants for the Mulwala Redevelopment Project (MRP). ,Provision of Technical Advice with Respect to Assessment of Gun Propellants,6159c38f9107b6df81b16248,81000000.0,1.0
11228,0809-1027,Department of the Environment Water Heritage and the Arts,Engineering and Research and Technology Based Services,16-Apr-09 4:00 pm,"The Department of the Environment, Water, Heritage and the Arts invites tenders for the provision of expert and specialised services for the delivery of the Heating, Ventilation and Cooling High Efficiency Systems Strategy – Cool Efficiency Program projects.","Provision of expert and specialised services related to the delivery of Heating, Ventilation and Cooling High Efficiency Systems Strategy - Cool Efficiency Program under a Panel Arrangement",6159c38f9107b6df81b1627e,81000000.0,1.0
11336,011-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,05-May-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of a suitably qualified person (Specified Personnel) to work at the Tax Office's premises (Canberra) within a team known as ICT to perform ICT Services. The Tax Office is seeking the services of one specified person to perform the duties set out in the statement of requirement.",Midrange Developer - Web,6159c38f9107b6df81b162ea,81000000.0,1.0
11337,RFT 0809-0851,Department of the Environment Water Heritage and the Arts,Engineering and Research and Technology Based Services,05-May-09 4:00 pm,"The Department of the Environment, Water, Heritage and the Arts requires a Service Provider to develop a water information website which consolidates water information from organisations and government departments from around Australia into a single access point.  This information will assist  teachers and schools to develop school curriculum resources for primary and secondary school students.",Development of a Water Information Web Portal for Teachers and Students,6159c38f9107b6df81b162eb,81000000.0,1.0
11344,RFT 012-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,07-May-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT to perform ICT Services.  This requirement is for multiple positions as .Net Developers based in the Tax Offices Canberra and/or Brisbane locations.",.Net Developer,6159c38f9107b6df81b162f2,81000000.0,1.0
11438,017-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,27-May-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT to perform ICT Services.  The Tax Office has a requirement for Specified Personnel to be engaged as Business Analysts. These roles are in addition to previously advertised roles.",Business Analyst,6159c38f9107b6df81b16350,81000000.0,1.0
11444,RFT 014-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,28-May-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Client Account Services to perform the detailed IT Services.",Data Analyst,6159c38f9107b6df81b16356,81000000.0,1.0
11445,RFT 015-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,28-May-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Client Account Services to perform the detailed IT Services.",Business Analyst,6159c38f9107b6df81b16357,81000000.0,1.0
11446,RFT 016-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,28-May-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of two (2) suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT Sourcing Program (ICTSP) Co – management and Delivery Framework to perform ICT Services.",Process Engineer,6159c38f9107b6df81b16358,81000000.0,1.0
11461,NMAT0809/07,National Museum of Australia,Engineering and Research and Technology Based Services,01-Jun-09 3:00 pm,The National Museum of Australia is seeking tenders to provide Information and Communicatin Technology Infrastructure Architecture Services,ICT Infrastructure Architecture Services,6159c38f9107b6df81b16367,81000000.0,1.0
11467,RFT 019-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,02-Jun-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Enterprise Applications Management to perform ICT Services.  ",Siebel Analyst/Developer,6159c38f9107b6df81b1636d,81000000.0,1.0
11470,AFMA R2009/1,Australian Fisheries Management Authority,Fishery research or experimentation services,02-Jun-09 5:00 pm,ComFRAB Research Opportunites 2009 for projects commencing after 1 July 2010,Research proposals 2009: Managing historical fisheries research data products,6159c38f9107b6df81b16370,70101602.0,1.0
11484,RFT 020-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,04-Jun-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Enterprise Applications Management to perform ICT Services.",Senior Design Consultant / System Architect,6159c38f9107b6df81b1637e,81000000.0,1.0
11507,RFT 024-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,09-Jun-09 5:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT to perform ICT Services.  The Tax Office's Change Program has a requirement for a number of Senior Data Conversion Analysts in its Canberra Offices. The successful applicants will be required to participate in related system activities of a complex nature.",Senior Data Conversion Analyst,6159c38f9107b6df81b16395,81000000.0,1.0
11516,RFT 021-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,11-Jun-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Enterprise Testing- Application Performance Tuning to perform ICT Services.The Tax Office has an ongoing requirement for highly skilled technical specialists in roles that are proven to be highly beneficial to the organisation in terms of quality Production applications.  ",Tuning_Technical Specialist,6159c38f9107b6df81b1639e,81000000.0,1.0
11524,RFQ 6,Australian Taxation Office,Engineering and Research and Technology Based Services,12-Jun-09 2:00 pm,"The ATO is seeking an experienced SAP professional with a high level of understanding of the SAP environment, and be able to assess emerging business needs and the ability of the SAP environment to appropriately support them",07.057 RFQ 6 - SAP Architect/Designer,6159c38f9107b6df81b163a6,81000000.0,1.0
11525,RFT 025-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,12-Jun-09 5:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as IT Outsourcing Management (ITOM) to perform ICT Services.  The Project Design Assuror will be required to support the EDS Contract Implementation team in current and new initiatives.The advertised role is for the re-newel of an existing incumbent position which will be filled via this competitive open tender process.",Product Design Assuror,6159c38f9107b6df81b163a7,81000000.0,1.0
11552,RFT 2009-1051860,Department of Defence - DSRG,Engineering and Research and Technology Based Services,16-Jun-09 4:30 pm,Fring Officer to undertake Experimental Firing of Energetic Materials & Explosives Ordinance. ,Firing Officer,6159c38f9107b6df81b163c2,81000000.0,1.0
11575,RFT 029-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,19-Jun-09 5:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within the Client Liasson and Service Support Branch to perform ICT Services.  The Specified Personnel will assist with the development and support of ETL processing of mainframe (DB2), midrange (SQL Server) and business defined data sets for legacy and the new Enterprise Data Warehouse.These new contract positions are located in the ICT Data Warehouse (DWH) portfolio in the Canberra Office and require a Highly Protected security clearance, or the ability to acquire this clearance.",Teradata Developer & Support Specialists,6159c38f9107b6df81b163d9,81000000.0,1.0
11584,EOI FIN09/AGI010,Department of Finance,Engineering and Research and Technology Based Services,22-Jun-09 2:00 pm,Establish a Panel of Providers for Data Centre Facilities to the Australian Government,Expression of Interest to Join a Panel for the Provision of Immediate and Interim Data Centre Facilities,6159c38f9107b6df81b163e2,81000000.0,1.0
11590,AFMAR002,Australian Fisheries Management Authority,Fishery research or experimentation services,22-Jun-09 5:00 pm,The provision of fish ageing and length frequency services in the Southern and Eastern Scalefish and Shark Fishery (SESSF) from 1 July 2009 to 30 June 2014,Provision of fish ageing and length frequency services in the SESSF,6159c38f9107b6df81b163e8,70101602.0,1.0
11601,RFT 028-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,23-Jun-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's Canberra premises within a team known as ICT-Enterprise Applications to perform ICT Services.Specified Personnel with an extremely high level of experience and expertise with both mainframe and the ATO’s implementation of the supporting set of products are required to provide detailed technical support to the ATO Mainframe developer base for existing ATO applications and the Change Program.",Main Frame Technical Specialists,6159c38f9107b6df81b163f3,81000000.0,1.0
11610,RFT 027-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,25-Jun-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Enterprise Applications to perform ICT Services.  The Standard Business Reporting (SBR) Program in the Information and Communications Technology (ICT) Business Line, is seeking to engage a number of Systems Testers.These new roles are based in Canberra and require a Highly Protected security clearance, or the ability to acquire this clearance.",Systems Testers,6159c38f9107b6df81b163fc,81000000.0,1.0
11634,RFT 030-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,30-Jun-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as the ICT Sourcing Program to perform ICT Services.  The Specified Personnel will fill a set of roles related to Strategy and Architecture work. In all roles the Specified Personnel will be responsible for defining the structure, services and information provided by each component of the enterprise architecture, as well as mentoring personnel in the Architect role. ",Enterprise Archictectural Advisor,6159c38f9107b6df81b16414,81000000.0,1.0
11793,RFT 031-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,28-Jul-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Information and Communications Technology line to perform ICT Services.  The Tax Office requires the services of a Senior Midrange Developer to maintain and enhance the Superannuation .net and VB systemsThe Specified Personnel will take on a critical role in delivering new functionality for the SuperSeeker and Portability Form project and mentoring other permanent staff in delivering enhancements to CERCOS and DASP.This role is based in Canberra and requires a Highly Protected security clearance, or the ability to acquire this clearance.",Senior Midrange Developer.Net,6159c38f9107b6df81b164b3,81000000.0,1.0
11836,RFT 032-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,04-Aug-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT to perform ICT Services.  The CAL (Centralised Audit Logging) project is a key deliverable in the IT program of work.The CAL project has been in existence for some two years or more and is finally arriving at the stage where construction and implementation can occur. CAL uses managed file transfer to move audit log data files to a central repository for investigators and provides user search and investigatory facilities.The Tax Office requires the services of a Centralised Audit Logging Test Manager with the relevant skills to perform the outlined services..  ",Test Manager,6159c38f9107b6df81b164de,81000000.0,1.0
11890,RFT 033-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,11-Aug-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT to perform ICT Services.ICT is responsible for developing, implementing and maintaining various systems to support the business objectives of the ATO. This includes legislative generated change to legacy IT systems. The legacy systems supported include a diverse range of large mainframe applications. The positions are in the team engaged in the development and/or support of functionality for existing applications. ",Mainframe Developers / Technical Specialists,6159c38f9107b6df81b16514,81000000.0,1.0
11909,RFT 036-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,13-Aug-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Core Business Applications to perform ICT Services.    The Electronic Commerce Interface (ECI) team within Enterprise Applications are looking for Java Technical Specialists to enhance the Electronic Commerce Interface system. The ECI application is used by the Tax Office to electronically send and receive taxpayer related and correspondence data to and from external clients in a secure manner using PKI. These positions are based in our National Office and require a Highly Protected security clearance, or the ability to acquire this clearance. ",Java Technical Specialists,6159c38f9107b6df81b16527,81000000.0,1.0
11933,RFT 034-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,18-Aug-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises in the Tax Time 2010 Project team of the Enterprise Solutions and Technology Business Line to perform ICT Services.  The Tax Time 2010 project in Enterprise Solutions and Technology business line has a requirement for two senior Universe analyst/programmer contractors to develop and support its mid-range applications.These positions are based in our National Office and require a Highly Protected security clearance, or the ability to acquire this clearance",Universe Analysy/Programmers,6159c38f9107b6df81b1653f,81000000.0,1.0
11947,RFT 035-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,20-Aug-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT to perform ICT Services.   The Tax Time 2010 Project Team in the Enterprise Solutions and Technology business line has a requirement for two Senior Microsoft Programmers to develop and support its mid-range applications.These positions are based in our National Office and require a Highly Protected security clearance, or the ability to acquire this clearance.",Senior Microsoft Programmers,6159c38f9107b6df81b1654d,81000000.0,1.0
11963,RFT 037-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,24-Aug-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as the ICT Sourcing Program to perform ICT Services. The Tax Office has commenced an ICT Sourcing Program (ICTSP) to establish replacement contracts for IT services.The ICT Sourcing Program has a requirement for one (1) Project Manager who will be responsible for planning, executing and finalising various projects within the Managed Network Services transition team, specifically managing telephony projects including telephony IP networks, speech recognition, CTI, PABX, voicemail and contact centres.These positions are based in our National Office and require an In-Confidence security clearance, or the ability to acquire this clearance. ",ICT Telephony Project Manager,6159c38f9107b6df81b1655d,81000000.0,1.0
11974,DAFF 169/09,Department of Agriculture,Engineering and Research and Technology Based Services,25-Aug-09 2:00 pm,Request for tender for the provision of laboratory analytical services for the National Residue Survey,RFT for the provision of laboratory analytical services for the National Residue Survey,6159c38f9107b6df81b16568,81000000.0,1.0
11989,RFT 039-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,26-Aug-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as ICT to perform ICT Services.  The Enterprise Applications (EA) – Program Management Office team within ATO-IOCT provides support for and delivers applications for the ATO.This Team requires the services of a Quality Improvement Officer who will be responsible for implementing and delivering continuous improvement strategies throughout Enterprise Applications.This existing position is located in our National Office in Canberra and requires a Highly Protected security clearance. ",Quality Improvement Officer,6159c38f9107b6df81b16577,81000000.0,1.0
12001,RFT 038-2009,Australian Taxation Office,Engineering and Research and Technology Based Services,27-Aug-09 2:00 pm,"The Commonwealth represented by and acting through the Australian Taxation Office (Tax Office), invites Tenders for the provision of suitably qualified personnel (Specified Personnel) to work at the Tax Office's premises within a team known as Applications and Information Architecture to perform ICT Services.The Applications and Information Architecture Team forms part of Strategy, Planning & Assurance (SP&A) and is focussed on the Enterprise and Solution Architecture aspects relevant to the Tax Office’s work program.The Program has a requirement for two (2) Enterprise Architects (Specified Personnel) to work closely with a wide range of Tax Office business and IT staff to advise on modelling at our National Office in Canberra.",Enterprise Architects,6159c38f9107b6df81b16583,81000000.0,1.0
12031,DAFF 170/09,Department of Agriculture,Engineering and Research and Technology Based Services,02-Sep-09 2:00 pm,Request for tender for the provision of analytical testing for the National Residue Survey - herbicides in grains.,RFT for provision of analytical testing for the National Residue Survey - herbicides in grains,6159c38f9107b6df81b165a1,81000000.0,1.0
12045,RFT SEA1000-2009-011,Defence Materiel Organisation,Engineering and Research and Technology Based Services,04-Sep-09 12:00 pm,"Project SEA 1000 covers the proposed acquisition of the Royal Australian Navy’s Future Submarine, to replace the Collins Class submarines as they are withdrawn from service from 2025.  Preliminary work is aimed at supporting future project submissions to Government.",Domestic Submarine Design Capability Review,6159c38f9107b6df81b165af,81000000.0,1.0
