category,title,desc,id,text,is_on
Management advisory services,Probity Adviser Services,Establishment of a Probity Adviser Panel of suitably qualified and experienced organisations and individuals ,Tenders6162aa1fe1b7f5c73e6fe221,Probity Adviser Services.Establishment of a Probity Adviser Panel of suitably qualified and experienced organisations and individuals ,0
Specialised educational services,Redevelopment of curriculum components for the Institute of Aviation Medicine (AVMED) training courses,Redevelopment of curriculum components for the Institute of Aviation Medicine (AVMED) training courses for Australian Defence Force aircrew and medical personnel.,Tenders6162aa1fe1b7f5c73e6fe222,Redevelopment of curriculum components for the Institute of Aviation Medicine (AVMED) training courses.Redevelopment of curriculum components for the Institute of Aviation Medicine (AVMED) training courses for Australian Defence Force aircrew and medical personnel.,0
Education and Training Services,Industry Based Communications Training and Education,Request for Proposal for the  commercial delivery of Industry Based Communications Training and Education to the Defence Force School of Signals,Tenders6162aa1fe1b7f5c73e6fe223,Industry Based Communications Training and Education.Request for Proposal for the  commercial delivery of Industry Based Communications Training and Education to the Defence Force School of Signals,0
Management advisory services,RFT for Provision of a Joint Private Sector Australia-Republic of Korea FTA Study,"The Commonwealth of Australia, as represented by the Department of Foreign Affairs & Trade (DFAT), invites tenders from suitably experienced organisations to provide a Joint Private Sector Australia-Republic of Korea FTA Study.",Tenders6162aa1fe1b7f5c73e6fe224,"RFT for Provision of a Joint Private Sector Australia-Republic of Korea FTA Study.The Commonwealth of Australia, as represented by the Department of Foreign Affairs & Trade (DFAT), invites tenders from suitably experienced organisations to provide a Joint Private Sector Australia-Republic of Korea FTA Study.",0
Education and Training Services,Development And Delivery of The Logistics Officer Executive Course (LOEC).,Development And Delivery of The Logistics Officer Executive Course (LOEC).,Tenders6162aa1fe1b7f5c73e6fe225,Development And Delivery of The Logistics Officer Executive Course (LOEC)..Development And Delivery of The Logistics Officer Executive Course (LOEC).,0
Healthcare Services,Emerging Infectious Diseases Coordinator,AusAID is supporting the Government of Indonesia in pandemic influenza and emerging infectious diseases prevention and preparedness. An Emerging Infectious Diseases Coordinator is sought to coordinate the activities of this program.,Tenders6162aa1fe1b7f5c73e6fe226,Emerging Infectious Diseases Coordinator.AusAID is supporting the Government of Indonesia in pandemic influenza and emerging infectious diseases prevention and preparedness. An Emerging Infectious Diseases Coordinator is sought to coordinate the activities of this program.,0
Healthcare Services,VVCS Clinical Supervision Services,The Vietnam Veterans Counselling Services (VVCS) is seeking to form a panel of appropriately qualified professionals to provide clinical supervision to VVCS counsellors in the proximity of 15 VVCS centres.  ,Tenders6162aa1fe1b7f5c73e6fe227,VVCS Clinical Supervision Services.The Vietnam Veterans Counselling Services (VVCS) is seeking to form a panel of appropriately qualified professionals to provide clinical supervision to VVCS counsellors in the proximity of 15 VVCS centres.  ,0
Management advisory services,Sea-1439 Phase 5B2B Combat System Options Development,"As part of SEA-1439 Phase 5B2B; being the Continuous Improvement Program (CIP) of the Colins class submarines, a number of sub projects exist. One of these projects is the Combat System Options Development (CSOD).",Tenders6162aa1fe1b7f5c73e6fe228,"Sea-1439 Phase 5B2B Combat System Options Development.As part of SEA-1439 Phase 5B2B; being the Continuous Improvement Program (CIP) of the Colins class submarines, a number of sub projects exist. One of these projects is the Combat System Options Development (CSOD).",0
Specialised educational services,A study into the assessment and reporting of employability skills of senior secondary students,This request for tender is for a study into the assessment and reporting of employability skills of senior secondary students. The study will consider a range of existing and new methods for assessing and reporting on employability skills and conduct an,Tenders6162aa1fe1b7f5c73e6fe229,A study into the assessment and reporting of employability skills of senior secondary students.This request for tender is for a study into the assessment and reporting of employability skills of senior secondary students. The study will consider a range of existing and new methods for assessing and reporting on employability skills and conduct an,0
Engineering and Research and Technology Based Services,Systems Integrator for Access Card Program,The Department of Human Services is seeking Tenderers for  the delivery of certain system integration elements of the Access Card Systems and related services.,Tenders6162aa1fe1b7f5c73e6fe22a,Systems Integrator for Access Card Program.The Department of Human Services is seeking Tenderers for  the delivery of certain system integration elements of the Access Card Systems and related services.,0
Specialised educational services,Consultancy for the refinement of the Learning and Teaching Performance Fund adjustment process,Consultancy for the refinement of the Learning and Teaching Performance Fund adjustment process,Tenders6162aa1fe1b7f5c73e6fe22b,Consultancy for the refinement of the Learning and Teaching Performance Fund adjustment process.Consultancy for the refinement of the Learning and Teaching Performance Fund adjustment process,0
Specialised educational services,Media Training Standing Offer,Provision of media training services for ACMA managers and staff as required from time to time.,Tenders6162aa1fe1b7f5c73e6fe22c,Media Training Standing Offer.Provision of media training services for ACMA managers and staff as required from time to time.,0
Management advisory services,Career Advisory Services Panel,Establishment of a panel arrangement for the provision of Career Advisory Services.,Tenders6162aa1fe1b7f5c73e6fe22d,Career Advisory Services Panel.Establishment of a panel arrangement for the provision of Career Advisory Services.,0
Engineering and Research and Technology Based Services,FUTURE OF THE INTERNET (FOTI) PROJECT,"This consultancy requires research to inform communication policy by exploring and reporting on how the Internet?s development might influence the prosperity and wellbeing of Australians, and by identifying the factors that might assist or impede realisation of the potential economic benefits from that development. ",Tenders6162aa1fe1b7f5c73e6fe22e,"FUTURE OF THE INTERNET (FOTI) PROJECT.This consultancy requires research to inform communication policy by exploring and reporting on how the Internet?s development might influence the prosperity and wellbeing of Australians, and by identifying the factors that might assist or impede realisation of the potential economic benefits from that development. ",0
Engineering and Research and Technology Based Services,FOTI- RELIABILITY OF THE INTERNET,"This consultancy requires research to inform Information and Communications Technology policy by exploring and reporting on the vulnerability of critical Internet infrastructure to external threats, and the potential consequences of infrastructure failure. Of particular significance is how Internet reliability impacts on Internet development and how that might influence the prosperity and wellbeing of Australians.",Tenders6162aa1fe1b7f5c73e6fe22f,"FOTI- RELIABILITY OF THE INTERNET.This consultancy requires research to inform Information and Communications Technology policy by exploring and reporting on the vulnerability of critical Internet infrastructure to external threats, and the potential consequences of infrastructure failure. Of particular significance is how Internet reliability impacts on Internet development and how that might influence the prosperity and wellbeing of Australians.",0
Management advisory services,EOI - Office of Airspace Regulation - Cost benefits analysis methodology,The objective is to short list potential tenderers for a second round Request for Tender (RFT). The EOI is to source the most suitable tenderers for a consultancy to develop a standard cost benefit analysis methodology for the Office of Airspace Regulation (OAR).,Tenders6162aa1fe1b7f5c73e6fe230,EOI - Office of Airspace Regulation - Cost benefits analysis methodology.The objective is to short list potential tenderers for a second round Request for Tender (RFT). The EOI is to source the most suitable tenderers for a consultancy to develop a standard cost benefit analysis methodology for the Office of Airspace Regulation (OAR).,0
Engineering and Research and Technology Based Services,SME Trust in the Online Environment,"The Department requires a Consultant to organise, conduct and report on a set of focus groups comprised of SME representatives with a broad knowledge of their businesses online activities and procedures.",Tenders6162aa1fe1b7f5c73e6fe231,"SME Trust in the Online Environment.The Department requires a Consultant to organise, conduct and report on a set of focus groups comprised of SME representatives with a broad knowledge of their businesses online activities and procedures.",0
Specialised educational services,Study into the successful transition of Indigenous children into schools,The objectives of the research will be to identify key characteristics and strategies that build school readiness for Indigenous children.,Tenders6162aa1fe1b7f5c73e6fe232,Study into the successful transition of Indigenous children into schools.The objectives of the research will be to identify key characteristics and strategies that build school readiness for Indigenous children.,0
Management advisory services,JP2099 CERT Project,JP2099 CERTE is seeking the services of a company to undertake an assessment of the expected take-up of the CERTE service once delivered.,Tenders6162aa1fe1b7f5c73e6fe233,JP2099 CERT Project.JP2099 CERTE is seeking the services of a company to undertake an assessment of the expected take-up of the CERTE service once delivered.,0
Engineering and Research and Technology Based Services,Planning and designing a containment facility - Kakadu National Park,"The Director of National Parks invites Tenders to design a containment facility, and undertake related planning work, to manage former uranium mining and milling operations in Kakadu National Park.",Tenders6162aa1fe1b7f5c73e6fe234,"Planning and designing a containment facility - Kakadu National Park.The Director of National Parks invites Tenders to design a containment facility, and undertake related planning work, to manage former uranium mining and milling operations in Kakadu National Park.",0
Management advisory services,Alignment Project,"Information System Division (ISD), Common Services Identity Management and Messaging (CS-IMM) Program is seeking the services of a Business Process Analyst to review, analyse and create detailed documentation of business systems and processes, user needs,",Tenders6162aa1fe1b7f5c73e6fe235,"Alignment Project.Information System Division (ISD), Common Services Identity Management and Messaging (CS-IMM) Program is seeking the services of a Business Process Analyst to review, analyse and create detailed documentation of business systems and processes, user needs,",0
Engineering and Research and Technology Based Services,Access Card Issuance and Management,The Department of Human Services is seeking a Tenderer for the Access Card Issuance and Management module of the Access Card Program,Tenders6162aa1fe1b7f5c73e6fe236,Access Card Issuance and Management.The Department of Human Services is seeking a Tenderer for the Access Card Issuance and Management module of the Access Card Program,0
Specialised educational services,Commercial Delivery of Advanced Medical Training for Army Logistics Training Centre,"Instructional delivery of Advanced Medical Assistant Course, Military Advanced Resuscitaiton Course and Patrol Advanced First Aid Course training for the Australian Army.",Tenders6162aa1fe1b7f5c73e6fe237,"Commercial Delivery of Advanced Medical Training for Army Logistics Training Centre.Instructional delivery of Advanced Medical Assistant Course, Military Advanced Resuscitaiton Course and Patrol Advanced First Aid Course training for the Australian Army.",0
Education and Training Services,Structured Training and Employment Projects Employment and Related Services (STEP ERS) Panel,"The Department of Employment and Workplace Relations (the Department) is seeking to expand the panel of organisations (the Panel) to deliver Structured Training and Employment Projects Employment and Related Services (STEP ERS) to Employers in labour market regions throughout Australia (the Services).     In 2006 the Australian Government Department of Employment and Workplace Relations approached the market (RFT 2006/22) to establish the Panel.  Approximately 60 organisations were selected to join the Panel to deliver Services across Australia.  Demand for delivery of STEP ERS by brokers is expected to expand, particularly with the cessation of Community Development Employment Projects (CDEP) services in urban and major regional areas from 1 July 2007.  The Department is approaching the market to provide organisations interested in being engaged as a member of the existing Panel with an opportunity to become members of that Panel.      Current Panel members may decide to re-tender:  . the LMRs where it provides services;   . to target particular industry sectors;   . to target particular clients? industry sectors; or  . to increase the number of services it wishes to deliver.     The Panel will provide sustainable employment for Indigenous Australians by providing Employers with one or more of the following Services:  . pre-employment support services that may include the provision of training and the development and implementation of recruitment strategies;   . employment placement services to assist them place and retain Indigenous Australians in their workplaces; and   . mentoring services to help them retain their Indigenous Australian employees    The Services aim to provide sustainable employment for Indigenous Australians throughout Australia, particularly in the private sector and to equip Employers with the skills, knowledge and expertise necessary to continue to provide sustainable employment opportunities for Indigenous Australians in their organisations without the need for ongoing assistance from a Panel Member.  ",Tenders6162aa1fe1b7f5c73e6fe238,"Structured Training and Employment Projects Employment and Related Services (STEP ERS) Panel.The Department of Employment and Workplace Relations (the Department) is seeking to expand the panel of organisations (the Panel) to deliver Structured Training and Employment Projects Employment and Related Services (STEP ERS) to Employers in labour market regions throughout Australia (the Services).     In 2006 the Australian Government Department of Employment and Workplace Relations approached the market (RFT 2006/22) to establish the Panel.  Approximately 60 organisations were selected to join the Panel to deliver Services across Australia.  Demand for delivery of STEP ERS by brokers is expected to expand, particularly with the cessation of Community Development Employment Projects (CDEP) services in urban and major regional areas from 1 July 2007.  The Department is approaching the market to provide organisations interested in being engaged as a member of the existing Panel with an opportunity to become members of that Panel.      Current Panel members may decide to re-tender:  . the LMRs where it provides services;   . to target particular industry sectors;   . to target particular clients? industry sectors; or  . to increase the number of services it wishes to deliver.     The Panel will provide sustainable employment for Indigenous Australians by providing Employers with one or more of the following Services:  . pre-employment support services that may include the provision of training and the development and implementation of recruitment strategies;   . employment placement services to assist them place and retain Indigenous Australians in their workplaces; and   . mentoring services to help them retain their Indigenous Australian employees    The Services aim to provide sustainable employment for Indigenous Australians throughout Australia, particularly in the private sector and to equip Employers with the skills, knowledge and expertise necessary to continue to provide sustainable employment opportunities for Indigenous Australians in their organisations without the need for ongoing assistance from a Panel Member.  ",0
Education and Training Services,Request for tender for the provision of evaluation services for the Novice Driver Programme Trial.,"The Department of Transport and Regional Services wishes to engage experts to develop and implement a detailed evaluation plan for the Novice Driver Programme Trial being conducted in NSW and Victoria. The work will include data collection and analysis, pilot testing, providing advice on data and methodological issues and issues relating to the management of incentives for Trial participants, and preparation of evaluation reports.  ",Tenders6162aa1fe1b7f5c73e6fe239,"Request for tender for the provision of evaluation services for the Novice Driver Programme Trial..The Department of Transport and Regional Services wishes to engage experts to develop and implement a detailed evaluation plan for the Novice Driver Programme Trial being conducted in NSW and Victoria. The work will include data collection and analysis, pilot testing, providing advice on data and methodological issues and issues relating to the management of incentives for Trial participants, and preparation of evaluation reports.  ",0
Management advisory services,Requirement for Assessment of the Technical Options and related Cost:Benefits Analysis of GNSS Augmentation Systems to provide for APV in Australia,The Civil Aviation Safety Authority (CASA) invites qualified parties (Tenderers) to submit tenders for the development and provision of a Cost:Benefits Analysis into the technology options/systems available to Australia for the provision of GNSS APV.,Tenders6162aa1fe1b7f5c73e6fe23a,Requirement for Assessment of the Technical Options and related Cost:Benefits Analysis of GNSS Augmentation Systems to provide for APV in Australia.The Civil Aviation Safety Authority (CASA) invites qualified parties (Tenderers) to submit tenders for the development and provision of a Cost:Benefits Analysis into the technology options/systems available to Australia for the provision of GNSS APV.,0
Management advisory services,Veterans` Satisfaction Survey,"From 2007, Department of Veterans` Affairs(DVA) will conduct two client satisfaction surveys each year.  One survey will include sampling from the entire client population.  The second survey will be limited to DVA clients aged 45 years and younger.  Each survey will include a quantitative phase followed by a qualitative phase.  ",Tenders6162aa1fe1b7f5c73e6fe23b,"Veterans` Satisfaction Survey.From 2007, Department of Veterans` Affairs(DVA) will conduct two client satisfaction surveys each year.  One survey will include sampling from the entire client population.  The second survey will be limited to DVA clients aged 45 years and younger.  Each survey will include a quantitative phase followed by a qualitative phase.  ",0
Specialised educational services,Longitudinal Study of Australian Youth Analytical Programme,Management and research services in regard to certain aspects of the Longitudinal Surveys of Australian Youth Programme,Tenders6162aa1fe1b7f5c73e6fe23c,Longitudinal Study of Australian Youth Analytical Programme.Management and research services in regard to certain aspects of the Longitudinal Surveys of Australian Youth Programme,0
Specialised educational services,Provision of offshore skills assessment services for potential skilled migrants to Australia.,"Trades Recognition Australia (TRA), within the Department of Employment and Workplace Relations (the Department), is seeking tenders from Australian Registered Training Organisations (RTOs) with the relevant scope of registration to deliver skills assessment services in the United Kingdom, Sri Lanka, South Africa, India and the Philippines for potential skilled migrants seeking skills recognition as motor mechanics; general plumbers; refrigeration and air conditioning mechanics; general electricians; cable jointers; electrical powerline tradespersons; bricklayers; and carpenters and joiners.    The successful Tenderer(s) must be able to provide a fair, practical, relevant, accurate, time efficient and affordable assessment service for potential skilled migrants.    Successful Tenderers will be required to enter into a Deed for the Provision of Offshore Skills Assessment Services (the Deed) with the Commonwealth. The Deed will have an initial term of three years commencing on 1 July 2007, with the possibility of an extension to five years.  ",Tenders6162aa1fe1b7f5c73e6fe23d,"Provision of offshore skills assessment services for potential skilled migrants to Australia..Trades Recognition Australia (TRA), within the Department of Employment and Workplace Relations (the Department), is seeking tenders from Australian Registered Training Organisations (RTOs) with the relevant scope of registration to deliver skills assessment services in the United Kingdom, Sri Lanka, South Africa, India and the Philippines for potential skilled migrants seeking skills recognition as motor mechanics; general plumbers; refrigeration and air conditioning mechanics; general electricians; cable jointers; electrical powerline tradespersons; bricklayers; and carpenters and joiners.    The successful Tenderer(s) must be able to provide a fair, practical, relevant, accurate, time efficient and affordable assessment service for potential skilled migrants.    Successful Tenderers will be required to enter into a Deed for the Provision of Offshore Skills Assessment Services (the Deed) with the Commonwealth. The Deed will have an initial term of three years commencing on 1 July 2007, with the possibility of an extension to five years.  ",0
Healthcare Services,NATIONAL SERVICE PROVIDER FOR EMPLOYEE SUPPORT SERVICES (EMPLOYEE ASSISTANCE PROGRAM (EAP) and STAFF SURVEY) FOR STAFF OF MEMBERS OF PARLIAMENT,Provision of Employee Support Services to persons employed under the Members of Parliament (Staff) Act 1984 (MOP(S) Act) and their immediate families,Tenders6162aa1fe1b7f5c73e6fe23e,NATIONAL SERVICE PROVIDER FOR EMPLOYEE SUPPORT SERVICES (EMPLOYEE ASSISTANCE PROGRAM (EAP) and STAFF SURVEY) FOR STAFF OF MEMBERS OF PARLIAMENT.Provision of Employee Support Services to persons employed under the Members of Parliament (Staff) Act 1984 (MOP(S) Act) and their immediate families,0
Environmental Services,"East Marine Region - Description of the Broad Ecological, Economic and Social Characteristics for the Development of a Marine Bioregional Plan - Stage 1 Regional Profile","The Department of the Environment and Water Resources invites Tenders to review and summarise the best available information that describe the broad ecological, social and economic characteristics of the East Marine Region (Commonwealth waters).",Tenders6162aa1fe1b7f5c73e6fe23f,"East Marine Region - Description of the Broad Ecological, Economic and Social Characteristics for the Development of a Marine Bioregional Plan - Stage 1 Regional Profile.The Department of the Environment and Water Resources invites Tenders to review and summarise the best available information that describe the broad ecological, social and economic characteristics of the East Marine Region (Commonwealth waters).",0
Management advisory services,Joint Lead Manager to the sale of Medibank Private Limited,Tenders are sought from suitably qualified firms to act as Joint Lead Managers to the sale of Medibank Private Limited,Tenders6162aa1fe1b7f5c73e6fe240,Joint Lead Manager to the sale of Medibank Private Limited.Tenders are sought from suitably qualified firms to act as Joint Lead Managers to the sale of Medibank Private Limited,0
Specialised educational services,National Mapping of Teacher Professional Learning,The report will identify and synthesize similar studies undertaken by education authorities and other organisations in the last three years; review relevant material on teacher professional learning and outline the nature and scope of professional learnin,Tenders6162aa1fe1b7f5c73e6fe241,National Mapping of Teacher Professional Learning.The report will identify and synthesize similar studies undertaken by education authorities and other organisations in the last three years; review relevant material on teacher professional learning and outline the nature and scope of professional learnin,0
Engineering and Research and Technology Based Services,TELEWORK AWARENESS INITIATIVE,"The Department of Communications, Information Technology and the Arts (the Department) invites suitably qualified organisations/Service Providers to submit a proposal for designing and delivering a Telework Awareness Initiative (the initiative) in the Australian business and working environment",Tenders6162aa1fe1b7f5c73e6fe242,"TELEWORK AWARENESS INITIATIVE.The Department of Communications, Information Technology and the Arts (the Department) invites suitably qualified organisations/Service Providers to submit a proposal for designing and delivering a Telework Awareness Initiative (the initiative) in the Australian business and working environment",0
Economics,Request for tender for the provision of consultancy services to develop a fixed network services cost model,The purpose of the RFT is to identify and engage a suitable Consultant with specialist skills in economic modelling within the telecommunications industry. ,Tenders6162aa1fe1b7f5c73e6fe243,Request for tender for the provision of consultancy services to develop a fixed network services cost model.The purpose of the RFT is to identify and engage a suitable Consultant with specialist skills in economic modelling within the telecommunications industry. ,0
Engineering and Research and Technology Based Services,CULTURAL AND CREATIVE SECTORýS TECHNICAL CAPABILITY IN THE DIGITAL ENVIRONMENT,"The Department of Communications, Information Technology and the Arts invites your organisation to submit a proposal to undertake a study and provide a written report analysing the cultural and creative sectorýs technical capability in the digital environment.    On behalf of Cultural Ministers Council (CMC), the Department has convened a ýRoundtableý of officials from the Australian Government, all Australian States and Territories as well as New Zealand to undertake a mapping exercise identifying opportunities to strengthen the prospects for the creative sector in the digital environment. The Department is providing secretariat support to the Roundtable and is currently gathering information from a variety of sources, for a policy based mapping exercise. More information is at www.culture.gov.au/cmcroundtable/.    A technical capability study is sought to help inform the broader CMC Roundtable mapping exercise which the Department is currently undertaking. The study is to cover the full range of major government arts based agencies including performing arts, film, collection and training organisations as well as relevant peak bodies.  ",Tenders6162aa1fe1b7f5c73e6fe244,"CULTURAL AND CREATIVE SECTORýS TECHNICAL CAPABILITY IN THE DIGITAL ENVIRONMENT.The Department of Communications, Information Technology and the Arts invites your organisation to submit a proposal to undertake a study and provide a written report analysing the cultural and creative sectorýs technical capability in the digital environment.    On behalf of Cultural Ministers Council (CMC), the Department has convened a ýRoundtableý of officials from the Australian Government, all Australian States and Territories as well as New Zealand to undertake a mapping exercise identifying opportunities to strengthen the prospects for the creative sector in the digital environment. The Department is providing secretariat support to the Roundtable and is currently gathering information from a variety of sources, for a policy based mapping exercise. More information is at www.culture.gov.au/cmcroundtable/.    A technical capability study is sought to help inform the broader CMC Roundtable mapping exercise which the Department is currently undertaking. The study is to cover the full range of major government arts based agencies including performing arts, film, collection and training organisations as well as relevant peak bodies.  ",0
Engineering and Research and Technology Based Services,AUSTRALIAN DIGITAL CONTENT INDUSTRY INVESTMENT REPORT,"The Department of Communications, Information Technology and the Arts invites Tenderers to research and provide a comprehensive written report into the investment environment in the Australian digital content industry.    The report will be made available to participants in a planned Investment Scoping Forum, as a reference for investigating ways to boost commercial investment in Australiaýs digital content industry.  The report will also be made available as a resource to the digital content industry.  ",Tenders6162aa1fe1b7f5c73e6fe245,"AUSTRALIAN DIGITAL CONTENT INDUSTRY INVESTMENT REPORT.The Department of Communications, Information Technology and the Arts invites Tenderers to research and provide a comprehensive written report into the investment environment in the Australian digital content industry.    The report will be made available to participants in a planned Investment Scoping Forum, as a reference for investigating ways to boost commercial investment in Australiaýs digital content industry.  The report will also be made available as a resource to the digital content industry.  ",0
Education and Training Services,"National Action Plan to build Social Cohesion, Harmony and Security Community Employment Coordinators (NAP CEC)","The Commonwealth of Australia (the Commonwealth), as represented by the Department of Employment and Workplace Relations (the Department) is seeking proposals from organisations to undertake the employment pilot project outlined in this Statement of Requirement in Schedule 1 of the NAP CEC Services RFT.  The NAP CEC Services are to be established through this fixed price ?Request for Tender for the provision of NAP CEC Services in relation to the National Action Plan to build Social Cohesion, Harmony and Security Community Employment Coordinators (NAP CEC)? (RFT). ",Tenders6162aa1fe1b7f5c73e6fe246,"National Action Plan to build Social Cohesion, Harmony and Security Community Employment Coordinators (NAP CEC).The Commonwealth of Australia (the Commonwealth), as represented by the Department of Employment and Workplace Relations (the Department) is seeking proposals from organisations to undertake the employment pilot project outlined in this Statement of Requirement in Schedule 1 of the NAP CEC Services RFT.  The NAP CEC Services are to be established through this fixed price ?Request for Tender for the provision of NAP CEC Services in relation to the National Action Plan to build Social Cohesion, Harmony and Security Community Employment Coordinators (NAP CEC)? (RFT). ",0
Management advisory services,Business Systems Requirements Consultancy,Requirements centre on identifying and documenting what is required of the business systems to RAM?S support business processes and outcomes.,Tenders6162aa1fe1b7f5c73e6fe247,Business Systems Requirements Consultancy.Requirements centre on identifying and documenting what is required of the business systems to RAM?S support business processes and outcomes.,0
Earth science services,Provision of Service to Develop Ground Motion Models for Australian Earthquakes,"Geoscience Australia requires a service to develop ground motion models for Australian earthquakes, suitable for use in earthquake hazard applications.",Tenders6162aa1fe1b7f5c73e6fe248,"Provision of Service to Develop Ground Motion Models for Australian Earthquakes.Geoscience Australia requires a service to develop ground motion models for Australian earthquakes, suitable for use in earthquake hazard applications.",0
Specialised educational services,Indigenous Youth Mobility Programme Training and Employment Services - RFT Dubbo 2007-09,An RFT process will identify a suitable organisation to provide IYMP Training and Employment Services at Dubbo.,Tenders6162aa1fe1b7f5c73e6fe249,Indigenous Youth Mobility Programme Training and Employment Services - RFT Dubbo 2007-09.An RFT process will identify a suitable organisation to provide IYMP Training and Employment Services at Dubbo.,0
Education and Training Services,Evaluation of Best Practice Employment Assistance to People with Mental Illness.,"This Request for Tender (RFT) is to engage a consultant to develop an overarching framework/plan to guide an evaluation of best practice employment assistance for people with mental illness.  The evaluation effort will be for 3 years, commencing in 2007 until June 2010 (or such dates as advised by the Department). By mid 2010, the Evaluation of Best Practice will have identified, evaluated and documented models of employment assistance for people with mental illness in order to inform future policy and programme decisions for employment assistance. This project is part of the Australian Government?s contribution to Council of Australian Governments? (COAG?s) National Action Plan on Mental Health.",Tenders6162aa1fe1b7f5c73e6fe24a,"Evaluation of Best Practice Employment Assistance to People with Mental Illness..This Request for Tender (RFT) is to engage a consultant to develop an overarching framework/plan to guide an evaluation of best practice employment assistance for people with mental illness.  The evaluation effort will be for 3 years, commencing in 2007 until June 2010 (or such dates as advised by the Department). By mid 2010, the Evaluation of Best Practice will have identified, evaluated and documented models of employment assistance for people with mental illness in order to inform future policy and programme decisions for employment assistance. This project is part of the Australian Government?s contribution to Council of Australian Governments? (COAG?s) National Action Plan on Mental Health.",0
Management advisory services,Aviation Risk Assessment Consultancy Panel,The Civil Aviation Safety Authority (CASA) is seeking to establish a panel of expert consultants to conduct risk assessments in support of the analysis process for certain airspace changes. ,Tenders6162aa1fe1b7f5c73e6fe24b,Aviation Risk Assessment Consultancy Panel.The Civil Aviation Safety Authority (CASA) is seeking to establish a panel of expert consultants to conduct risk assessments in support of the analysis process for certain airspace changes. ,0
Management advisory services,Corporate Advisory Support Services Panel,AusAID is seeking proposals from interested parties to provide services for its Corporate Advisory Support Services Panel. The Panel will provide strategic advice directly to the Director General and AusAID senior management and liaise with senior domestic and international partners.,Tenders6162aa1fe1b7f5c73e6fe24c,Corporate Advisory Support Services Panel.AusAID is seeking proposals from interested parties to provide services for its Corporate Advisory Support Services Panel. The Panel will provide strategic advice directly to the Director General and AusAID senior management and liaise with senior domestic and international partners.,0
Healthcare Services,"International Senior Health Adviser Position, Beijing, China","AusAID is seeking to contract a high calibre International Senior Health Adviser (ISHA), with extensive experience in health programming in development settings at a senior management and/or advisory level.",Tenders6162aa1fe1b7f5c73e6fe24d,"International Senior Health Adviser Position, Beijing, China.AusAID is seeking to contract a high calibre International Senior Health Adviser (ISHA), with extensive experience in health programming in development settings at a senior management and/or advisory level.",0
Education and Training Services,"Request for tender for the provision of services to deliver the ""Enchancing Opportunities"" initiative targeting youth and women.","Request for tender for the provision of services to deliver the ""Enhancing Opportunities"" initiative targeting youth and women.",Tenders6162aa1fe1b7f5c73e6fe24e,"Request for tender for the provision of services to deliver the ""Enchancing Opportunities"" initiative targeting youth and women..Request for tender for the provision of services to deliver the ""Enhancing Opportunities"" initiative targeting youth and women.",0
Management advisory services,Provision of executive officer services to the Southern Bluefin Tuna Management Advisory Committee,Provision of executive officer services to the Southern Bluefin Tuna Management Advisory Committee,Tenders6162aa1fe1b7f5c73e6fe24f,Provision of executive officer services to the Southern Bluefin Tuna Management Advisory Committee.Provision of executive officer services to the Southern Bluefin Tuna Management Advisory Committee,0
Environmental Services,Review content of Airports (Environment Protection) Regulations 1997.,"Provision of a report, consisting of an in-depth review, assessment, findings and recommendations, on the content of the Airports (Environment Protection) Regulations 1997.",Tenders6162aa1fe1b7f5c73e6fe250,"Review content of Airports (Environment Protection) Regulations 1997..Provision of a report, consisting of an in-depth review, assessment, findings and recommendations, on the content of the Airports (Environment Protection) Regulations 1997.",0
Environmental Services,Review the Great Artesian Basin Sustainability Initiative,The Department of the Environment and Water Resources invites Tenders for a review of Phase 2 of the Great Artesian Basin Sustainability Initiative,Tenders6162aa1fe1b7f5c73e6fe251,Review the Great Artesian Basin Sustainability Initiative.The Department of the Environment and Water Resources invites Tenders for a review of Phase 2 of the Great Artesian Basin Sustainability Initiative,0
Specialised educational services,Investigation into the feasibility of extending Primary Connections to preschool,See below,Tenders6162aa1fe1b7f5c73e6fe252,Investigation into the feasibility of extending Primary Connections to preschool.See below,0
Specialised educational services,Principal Autonomy Research Project,"The Department of Education, Science and Training is inviting tenders for a research project to document and analyse the extent of school leader autonomy and its impact on student learning across jurisdictions and sectors in Australia.  ",Tenders6162aa1fe1b7f5c73e6fe253,"Principal Autonomy Research Project.The Department of Education, Science and Training is inviting tenders for a research project to document and analyse the extent of school leader autonomy and its impact on student learning across jurisdictions and sectors in Australia.  ",0
Healthcare Services,The Kiribati Australia Nursing Initiative,The Kiribati-Australia Nursing Initiative is a scholarship program for I-Kiribati youth to gain nursing qualifications in Australia.  The initiative will support students through an education pathway that results in a Bachelor of Nursing.  Tenders are invited from tertiary education institutions to deliver this pilot program.,Tenders6162aa1fe1b7f5c73e6fe254,The Kiribati Australia Nursing Initiative.The Kiribati-Australia Nursing Initiative is a scholarship program for I-Kiribati youth to gain nursing qualifications in Australia.  The initiative will support students through an education pathway that results in a Bachelor of Nursing.  Tenders are invited from tertiary education institutions to deliver this pilot program.,0
Specialised educational services,Scoping Study for a National Network of Career Development Centres,The scoping study would provide an objective analysis of a number of models to recommend a best practice approach and framework for the implementation of a network of career development centres.,Tenders6162aa1fe1b7f5c73e6fe255,Scoping Study for a National Network of Career Development Centres.The scoping study would provide an objective analysis of a number of models to recommend a best practice approach and framework for the implementation of a network of career development centres.,0
