,BioText,label1,Interests,label2
168,"Marco Ernst studied in Braunschweig and Hannover, Germany
and received the Physics Diplom degree with
distinction from the Leibniz Universität Hannover
in 2008. In 2009, he joined the Si thin-film technology
group at the Institute for Solar Energy Research
Hamelin (ISFH), Germany as a PhD researcher
and received a PhD (Dr. rer. nat.) for his research
on   from the Leibniz Universität Hannover in 2013.
Currently, Dr Ernst is a research fellow and lecturer
at the Australian National University. He
has   in peer-reviewed journals and international
conferences, delivered over 10 international talks
and seminars, and is member of the Institute of Electrical
and Electronics Engineers (IEEE) and German
Physical Society (DPG). He received the College
of Engineering and Computer Science (CECS)   in
2018. As part of his entrepreneurial activities, Dr
Ernst co-founded Sinaki GmbH, which develops and
distributes on- and offgrid solar energy to developing
countries including Sierra Leone and Indonesia.
He developed the free mobile iPhone app   to raise
awareness of exposure to ionizing radiation,
which has been downloaded over 5000 times and highlighted
in many international media releases. The
main goal of his research is to exploit the full potential
of solar cells up to the module level. With
this goal in mind, Dr Ernst is working on technological
developments in the field of laser processing
of high-efficiency solar cells and realistic
modelling of solar cells through to the module. His
research promotes and advances the field of   and
  solar cells through the development of fabrication
technology and novel characterisation techniques.
To translate technological advances into more
efficient modules, Dr Ernst is developing   approaches
considering optical, electrical, thermal and
environmental factors. His research enables the development
and exploitation of the full potential
of novel structures that increase the energy yield
for cheaper and more accessible solar energy. He
developed the free computer program  , which can be
used to generate realistic light sources for raytracing
applications.",,,
173,"2012: Ph.D. in Thermal Engineering, Xi’an Jiaotong
University, China 2006: B.E. in Chemical Process Equipment,
Xi’an Jiaotong University, China",,"Computational Fluid Dynamics, Heat transfer characteristics
of solar receivers",
175,"cuses on designing scalable and efficient algorithms
for solving wide range of fundamental problems in
graph theory and machine learning.",,My research interests generally include:,
178,"Reza is a Research Fellow at Zero-Carbon Energy for
the Asia-Pacific Grand Challenge. He joined the ANU
College of Engineering and Computer Science in
January 2020. He spent the previous 6 years as a Research
Analyst and Adjunct lecturer at the University
of Iceland, focusing on trajectories towards
a sustainable energy systems. His main research interests
are energy systems modeling, analysis of energy
policies towards decarbonization and Multi-criteria
decision analysis for energy planning. He
received his PhD in Sustainable Energy systems from
University of Porto, MIT-Portugal program. He has
an MSc in Energy Systems Engineering from Sharif
University of Technology in Tehran, Iran and a BSc
in Mechanical Engineering from University of Tehran,
Tehran, Iran. ",,"Energy Systems Modeling, Energy Policy, Scenario Analysis,
Multi-Criteria Decision Analysis",
185,"I am a research scientist on Natural Language Processing
and Computational Linguistics in   at   in Australia
and an Honorary Lecturer in the   at the
 . I work in the areas of Information Extraction and
Machine Learning for language technology applications.",,"Natural Language Processing and Computational Linguistics,
Machine Learning. I'm currently working in
the areas of Open Information Extraction, NLP for
Mental Health and Semantic Parsing.",
186,"I'm a current PhD student and lecturer in computer
science at ANU. My research focus is on entity resolution,
and in particular on ways of making collective
entity resolution techniques more useful for
real-world applications. My work centres on improving
scalability, evaluating entity resolution and
generating training data for collective entity resolution.
I have been involved in teaching a variety
of courses at ANU. I am currently convening COMP1730
Programming for Scientists, and I have also
been involved in teaching undergraduate programming,
algorithms and data mining courses. I have also
taught the equivalent courses at the masters level
and as part of the MADA program.",,,
187,,,"I do   aimed at helping people develop   and   software
 . After a career as a practicing engineer, I
now design  . I take an inter-disciplinary approach
to my research and work closely with users in industry
and scientific communities. Right now, I am
working with ecologists in Australia and France
to build a  . Recently, I have begun investigating
and questioning, at a fundamental level, how software
engineering education and research relates to
real-world software development practices. These
teaching activities are aimed squarely at .   ",
188,,,"Characterisation of Silicon Solar Cells:   - Measurement
and understanding of solar cell IV curves  
- Measurement and understanding losses in silicon
solar cells   Simulation and Modelling of Silicon
solar cells:   - 2D and 3D simulation of silicon solar
cells   - Modeling of highly doped silicon region
  - Solar cell loss analysis   Solar Cell fabrication:
  - Design, optimisation and fabrication
of back contact solar cells   - Advanced solar cell
designs   - Design optimisation of silicon solar
cells   ",
189,"2004-2009 Bachelor in Mechanical Engineering (Universidad
del Norte - Barranquilla - Colombia) 2012-2015
Master in Mechanical Engineering (Universidad
del Norte - Barranquilla - Colombia)",,,
208,,,"We have a Mind Attention Interface lab, which has Eye
Gaze and EEG equipment, and is run in the Wedge
Virtual Reality studio. I am particularly interested
in interesting uses of the eye gaze equipment,
as well as validation using the EEG equipment. I
am interested in topics such as image processing for
face recognition, HCI research tool to collect
facial images, biologically plausible architectures
for face recognition, building and modifying computer
models of real faces. No previous work on face
recognition is necessary. I develop automated systems
for info. extraction, from text, eye gaze and
physiological human data, for synthesis into humanly
useful info. resources, mostly using neural
networks and fuzzy logic. This is information and
human centred computing. ",
209,"I am a lecturer and researcher of computer science
at the College of Engineering & Computer Science (CECS)
at the ANU. Before joining the ANU in October
2018 I completed my PhD in computer science at the
University of Freiburg in Germany, supervised by
 . During my PhD I was part of the   project, where
our group developed the localisation, navigation
and path planning for a fleet of robots. The project
was a collaboration between many industrial
partners (with the Robert Bosch GmbH and quattro GmbH
as end users), the Karlsruhe Institute of Technology
(KIT) and the Foundations of AI group of the
University of Freiburg. A second industrial collaboration
project during my PhD was concerned with
intralogistics and multi-agent path-finding. At ANU
I am part of the DONUT project, in collaboration
with the Airbus Central Research and Technology
group. The project focuses on Besides project work
I also supervise students, organized workshops between
different universities, and I am a program committee
member of the AAAI Conference on Artificial
Intelligence (AAAI), theInternational Conference
on Automated Planning and Scheduling (ICAPS), and
the International Joint Conference on Artificial
Intelligence (IJCAI). Note that the   in Geißer is
a german letter (not a b) and you can also write
Geisser instead.",,"My research interests span the areas of deterministic
and probabilistic planning and scheduling, as well
as multi-agent path planning, which is both strongly
connected to combinatorial and heuristic search.
  was concerned with planning problems where
the cost of an action is not constant, but depends
on the state where the action is applied. While
considering state-dependent action costs is rather
unusual in the field of classical planning, it is
common in probabilistic planning, for example when
calculating rewards in Markov Decision Processes
(MDPs). A key data structure for these type of problems
are decision diagrams, which play a major role
in many areas of AI, such as model checking and
verification, but also more recently in Operations
Research. Together with   I developed the decision
diagram library  , which allows to construct decision
diagrams over different types of carrier sets.
I am core developer of the probabilistic planning
system  , and the algorithms we use in the planner
are also applied on some of the industrial problems
we face in our collaboration projects. A central
theme of my work is a strong emphasis on a
sound theoretical background, which serves as the
foundation for scalable, feasible and maintainable
systems.",
210,"I am apostdoctoral associateat the Research School
of Computer Science, Australian National University,
working with Dr. Kerry Taylor and Dr. Armin Haller.I
research in the areas of semantic web and machine
learning with a focus onKnowledge Graph Engineering.Ireceived
B.Sc. degree in Software Engineering
from Iran University of Science and Technology,
M.Sc. degree in Artificial Intelligence Engineering
from Sharif University of Technology, Tehran,
Iran, and the Ph.D. degree in Computer Science from
The Griffith University, Queensland, Australia,
in 2019. During my Ph.D., I have been working withDr.
Kewen Wang and Dr. Zhe Wang. During my Bachelor
and Master studies, my research area was focused
on Knowledge Representation, AI planning, and Machine
Learning. For the Ph.D., I extended my research
to Rule Learning from Knowledge Graphs and my
current research at ANU as a Postdoc., fits in the
area of Knowledge Graph Engineering, AI-based Document
Managing and Relational Learning. These fields
have attracted much attention in the past few years
due to the recent advancement in information
extraction and vast data repositories construction
in the Knowledge Graph format, such as Freebase and
YAGO. Over the last few years, I served the community
as a peer reviewer for IJCAI, ECAI, CIKM, WWW,
ESWC, and Australian AI.",,"Knowledge Graph, Semantic Web, Machine Learning, Knowledge
Representation, Artificial Intelligence",
214,"I obtained my PhD from the Computer Laboratory of the
University of Cambridge in 1992. Before that I
completed my BSc (hons) and MSc at the Unviversity
of Melbourne.",,"My main interests are in Gentzen systems for various
logics, particularly modal logics and temporal logics.
Currently I am working on the intricacies of
Display Logic and how to obtain Gentzen systems
for hybrid logics like intuitionistic modal logic.
With Jeremy Dawson, I am working on formalising proofs
of weak and strong normalisation for various
calculi in the logical framework Isabelle. With Vaughan
Coulthard, Jen Davoren and Thomas Moor I am
working on inventing bi-modal tense logics with applications
in hybrid systems. I am also interested
in software engineering and security aspects of
Java applications, particularly for JavaCards.",
215,,,"I have broad interests in computer and robotic vision,
machine learning, structured models, and optimization.
My main research focus is on the application
of machine learning techniques to geometric and
semantic scene understanding in images and video.
I am also interested in seeing research get used;
I collaborate with industry and have previously
been involved in founding start-up companies. I am
always looking for motivated students who are interested
in doing research with me. I encourage ANU
students to contact me about undergraduate or PhD
research projects. Students outside of ANU who are
interested in doing a PhD with me should visit my
  and read the ANU application procedures before
contacting me.",
216,"Tim Graham is Postdoctoral Research Fellow at the Australian
National University, Australia, with a joint
appointment in sociology and computer science.
Broadly, his research combines social theory and
computationally-intensive approaches to analysing,
understanding, and predicting social phenomena.
He has recently studied the shape and nature of government
on the web through analysis of large-scale
hyperlink networks. His recent research examines:
how socialbots influence public discourse on Twitter;
the structure and dynamics of the anti-vaccination
movement online; machine learning for predicting
violent crime; and developing new theoretically-attuned
methods for social network analysis.",,,
218,"Since October 2017 I am a Senior Lecturer convening
the TechLauncher program at the Australian National
University. From June 2015 I was a founder at HIVERY,
and in 2017 also a Catalyst in Residence at
the Michael Crouch Innovation Centre at the Univeristy
of New South Wales. Working with industry, I
developed data-driven systems that optimize by creating
retail-AI technologies which coupled industrial
optimisation with machine learning. From August
of 2011 I was at the NICTA (then Data61) Canberra
lab and part of CECS at ANU in Canberra. I was
working at the intersection of Artificial Intelligence
and Operations Research on solutions to fleet
logistics problems. Before that I was a research
fellow with the Intelligent Robotics Lab at the University
of Birmingham 2008-2011; There I worked on
a project investigating cognitive robots that can
self-understand and self-extend. I was a researcher
with the NICTA lab in Brisbane 2006-2008; There,
I worked on fundamental research in AI Search,
and simulation studies of city wide evacuation planning.
I am the primary author of NMRDPP, runner up
in the probabilistic track of the 2004 International
Planning Competition. Co-author of ayPlanAgain,
runner up in the multi-core track of the 2011 International
Planning Competition. Co-author of best
paper at the 2010 Pacific Rim International Conference
on Artificial Intelligence. Co-author of gNovelty+,
winner of the ""Random"" category at the 2007
International SAT competition.",,"I am a computer scientist who works in a sub-field
of Artificial Intelligence called Automated Planning.
Although my interests extend to other subjects
in Machine Learning and Automated Reasoning, my expertise
lies mostly within planning. My goal is to
study and develop planning technology that will
allow machines (i.e., robots and computers) to reason
about deliberations in their world, and to reason
about how to extend their own model of the world
intelligently. Specialties: decision-theoretic
planning, non-Markovian rewards, probabilistic planning,
relational reinforcement learning, SAT-based
deterministic/classical and probabilistic planning.",
225,"I am now interested in theoretical study in decision
making based on approximate Bayesian inference,
with the aim of applying the developed algorithms
to practical problems involved in recommendations
systems. He holds a Master's degree in Pattern Recognition
and Intelligent System from the University
of Science and Technology of China (July 2007),
and a Bachelor's Degree in Computer Science and Technology
(July 2004).",,"Statistical machine learning, pattern recognition,
and time series analysis.",
226,"2019Master of Engineering in Photonics, The Australian
National University, Australia 2017Bachelor of
Engineering in Opto-electronics, South China University
of Technology, China",,,
234,,,"Electronic Voting Zero-knowledge proofs Machine aided
analysis and verification Secure computation  (Students
enquiring about research projects and supervision
are requested to detail how their interests
and background relate to my research interests.)",
237,"2015-2019: Ph.D., Solar Energy 2013-2015: Lecturer,
teaching heat transfer, thermodynamics, and fluid
mechanics 2011-2013: M.Sc., Chemical Engineering,
Sorption-Enhanced Fischer-Tropsch Synthesis Reactor
2006-2010: B.Sc., Chemical Engineering, Latent
Heat Thermal Energy Storage (LHTS)",,,
238,"I started my PhD in February, 2014. Before that I worked
as a lecturer assistant in Cairo University,
Egypt. I obtained my bachelor degree in 2006, and
master degrees in 2010 from the Faculty of Computers
and Information, in Cairo University.",,"Parallel Programming Languages, Fault Tolerance, Resilience,
High Performance Computing",
240,"2006-2011: BSc in Mechanical Engineering, Iran University
of Science and Technology, Iran   2011-2013:
MSc in Mechanical Engineering (Energy Conversion),
Iran University of Science and Technology, Iran
  2013-2014: Research assistant in CAE Center and
CFD Lab, Iran University of Science and Technology,
Iran",,"Numerical methods in heat and mass transfer   Computational
Fluid Dynamics (CFD)   Multiphase flows 
 Engineering optimization",
245,,,": We are currently seeking a PhD student for the  
project. ",
246," is a researcher in the  ,building a new applied science
around the management of artificial intelligence,
data, technology and their impact on humanity.
He holds a degree in Interdisciplinary Studies
with first-class honours from the Australian National
University, where he studied a wide range of topics
including computer science, moral and political
philosophy, and environmental and social sciences.
His Honours thesis described Indigenous calendars
and linked traditional knowledge to weather observations
to better characterise tropical seasonal
patterns. Zac  a variety of open source projects,
focusing on  , data science, and community praxis.
In previous roles, he has designed, implemented,
and supported data analysis and reporting pipelines
for stakeholders at multi-terabyte scale, taught
both theory and practice of supercomputing for
environmental sciences, and published several visualisation
and performance upgrades in scientific
Python packages. ",,,
247,"Liam Hayes is a research assistant at the Australian
National University working for   and   in the 
 group. He graduated from UNSW in 2018 with a combined
Electrical Engineering and Physics degree. His
current research projects include modelling wind
farm generation from weather forecast reanalysis
and searching for brownfield pumped hydro energy storage
sites.",,,
248,,,Silicon solar cells,
252,,,"My research interest is at the intersection of machine
learning and computer vision, with a particular
emphasis on designing efficient inference and learning
algorithms for graphical models involved in
image and video analysis. My recent projects include
visual object detection, tracking and scene segmentation,
as well as their applications in bionic
eye.",
255,"Adrian is a senior researcher with the Defence Science
and Technology (DST) Group and a lecturer and
PhD student at ANU, where he is supervised by Professor
Tony Hosking (ANU) and Dr. Mathias Payer (EPFL).
His interests are in software security, program
analysis, and reverse engineering. He is particularly
interested in applying program analysis techniques
to binary analysis. He has lectured COMP3703
Software Security since its inception. Prior to
arriving at ANU, Adrian worked as a research engineer
at the École polytechnique fédérale de Lausanne
(EPFL) in Switzerland, where he worked on the latest
release of the S2E symbolic execution engine
( ).",,"Software security, program analysis, reverse engineering.",
262,"Peter Höfner is an Associate Professor at The Australian
National University (ANU), Canberra, Australia.
Before joining ANU, he was principal research
scientist at Data61, CSIRO, Australia's leading data
innovation group, and also conjoint Associate Professor
at the University of New South Wales (UNSW)
Australia. His research focuses on applications
of formal methods in computer science, including
protocol verification, software engineering and hybrid
system analysis. Currently the main focus of
his research lies on algebraic calculi for these topics.
Peter (co-)authored over 60 refereed papers
in international journals and conferences. He is
chairman of theIFIP Working Group 2.1 (Algorithmic
Languages and Calculi) and elected member of the
IFIP Working Group 2.3 (Programming Methodolgy). He
serves at the editorial board of the Journal of
Logic and Algebraic Methods in Computer Science (JLAMP).
For his PhD thesis, titled  , he received an
award for young researchers of the Universität Bayern
e.V.  ",,"My research focuses on applications of formal methods
in computer science, including protocol verification,
software engineering and hybrid system analysis.
Particular focus is given to large-scale case
studies; by performing and analysing these case
studies, I push formal methods to their current limits
and, by doing so, reveal shortcomings and limitations
in state-off-the-art technology. The limitations
often lead to new scientific research in the
foundations of formal methods.A specific focus
of my research lies in the theory of concurrent computation,
which often builds on algebraic calculi.",
265,"Antony (Tony) Hosking is Director of the School of
Computing within the College of Engineering and Computer
Science at The Australian National University
(ANU).He is a Member of the IEEE and Life Member
of theAssociation for Computing Machinery, and was
named aDistinguished Scientist of the ACMin 2012.
Professor Hosking studied Computer Science at the
University of Adelaide, University of Waikato,
and the University of Massachusetts at Amherst, receiving
BSc, MSc, and PhD degrees, respectively. Prior
to joining ANU he served on the faculty of Purdue
University—West Lafayette as Assistant Professor
and tenured Associate Professor. He is an Honorary
Professor at the University of Massachusetts
at Amherst and a contributed researcher withData61/CSIRO.
He also has extensive experience as a testifying
expert in intellectual property litigation.
Professor Hosking’s research interests lie in the
areas of programming language implementation and
software systems. Heworks on problems arising in object
persistence, object databases, distribution,
memory management (garbage collection), managed language
runtimes, language virtual machines, optimizing
compilers, and architectural support for programming
languages and applications.",,"programming languages (design and implementation),
automatic memory management (garbage collection),
language virtual machines, concurrency",
266,"John is an Adjunct Professor in the Research School
of Computer Science. He is Dean of Science at the
University of Auckland and prior to that was Dean
of Engineering and Computer Science at the ANU. His
research interests are primarily in the Software
Engineering/Software Tools area and he is an active
member of the Automated Software Engineering and
Visual Languages research communities. John is
a Fellow of the Royal Society of New Zealand and a
Member of the Ako Aotearoa Academy of Tertiary Teaching
Excellence.",,"Software Engineering Software Tools and Meta-tools
Visual Languages ""My first area of research is software
tools - basically software that can help people
develop other software. This includes automated
software engineering, which aims to develop software
that will automatically produce code to do certain
tasks or routines. My second area of research
is visual languages - using visual concepts to write
code rather than a textual computer language.""
John started out as a physicist, but switched to
computer science at the University of Auckland during
his days as a graduate student. A successful
researcher who has enjoyed commercial success, his
role as a Dean squarely into administration. But
he feels that the opportunity to develop the careers
of other research staff and students is an extremely
satisfying one that enjoys combining with his
research role.   ",
268,,,"domain adaptation, multiview detection, tracking, re-identification,
generative adversial networks, and
reinforcement learning",
274,"Qualitative Spatial Reasoning, Artificial Intelligence",,,
275,"Xinyu Huang joined ANU as an ANU-NWPU 2+2 student.
She obtained first class honours in her undergraduate
studies and published a top-level conference paper
based on her Honours project. She was a recipient
of the College-level “2+2” scholarship and started
as a PhD student in early March 2019.",,,
278,,,Localization in wireless sensor networks,
280,"Professor Elanor Huntington is Dean of the College
of Engineering and Computer Science at The Australian
National University (ANU). Elanor is an established
senior academic leader, with Board appointments
toInnovation Science Australia, Significant Capital
Ventures, Questacon, and other government scientific
advisory roles. In 2017, she was named an
honorary Fellow of Engineers Australia, led the extended
Group of Eight (Go8+) Engineering Deans as
first female Chair up until 2019, and more recently
became a Fellow of the Australian Academy of Technology
and Engineering in 2020. Prior to joining
the ANU, Elanor was the Head of Engineering and IT
at University of New South Wales (UNSW). During
this time, she helped bring about significant transformation
within the School, including setting upUNSW
SpaceandThe Australian Centre for Cyber Security.
In 2000, Elanor completed her PhD in experimental
Quantum Optics at the ANU. Her includes the control
of quantum systems, more specifically; the
interface between theory and applications. In 2009,
Elanor completed a Masters of Information Technology,
also through the ANU. Elanor has recently been
selected to provide expert advice to the newly
established . In 2017 she delivered a TEDxSydney Talk
on ‘ and later in 2019, co-founded the to provide
expert advice on addressing barriers to women’s
participation in university engineering programs.
As Dean, Elanor does more than contemplate the difference
between distinctions and high distinctions.
Her innovative thinking has recast engineering
and computer science at the ANU with an unprecedented
investment to the way we do things.  Honours
and awards: Memberships: Consulting interests:",,"Prof. Huntington's research interest is in the area
of experimental quantum optics, specialising in high-speed
measurement, control and generation of non-classical
states for quantum technological applications.
Non-classical states are used as an input
to a variety of quantum technologies and, as such,
the ability to make, measure, and manipulate such
states with high precision and at high speeds is
crucial. Prof Huntington is the author of several
research publications and patents in this area.
For more information -",
282,,,"Deep Generative Models, Optimal Transport, Convex Geometry",
284,"Marcus Hutter is an Honorary Professor in the School
of Computingat the   in Canberra, Australia. He
received his PhD and BSc in   from the   in Munich
and a Habilitation, MSc, and BSc in informatics from
the  . Since 2000, his research is centered around
the information-theoretic foundations of inductive
reasoning and reinforcement learning, which
has resulted in 200+   and several  . His book "" ""
( ,  , 2005) develops the first sound and complete
  of AI. He also runs the   (500'000€  ).",,"Artificial intelligence, Bayesian statistics, theoretical
computer science, machine learning, sequential
decision theory, universal forecasting, algorithmic
information theory, adaptive control, MDL, image
processing, particle physics, philosophy of science.
During the last 20 years, Marcus Hutter has
developed an exciting mathematical model for a reinforcement
learning agent behaving optimally in
an arbitrary unknown environment - a kind of Super
String theory for AI.   The theory (necessarily)
integrates and draws from and contributes to many
fields: computer science (artificial intelligence,
machine learning), engineering (information theory,
adaptive control), mathematics (probability, statistics),
and also economics (rational agents, game
theory), psychology (behaviorism, motivation, incentives),
philosophy (inductive inference, theory
of knowledge).   While nowadays most AI researchers
avoid discussing intelligence, his theory even
constitutes a mathematical, objective, non-anthropocentric,
sound and complete, direct measure of rational
intelligence and a formal though incomputable
definition of a super intelligent agent, amenable
to rigorous mathematical analysis.   It also allows
us to regard existing approaches to AI as effective
approximations, thus giving students and researchers
a much more coherent view of the field.
""I work on a mathematical theory of general Artificial
Intelligence, which can be used to address many
theoretical, philosophical, and practical questions
regarding super intelligent agents. Generally
I'm attracted by fundamental problems on the boundary
between Science and Philosophy.""",
287,"I received my MS in Computer Sciences with specialization
in Internet Information System from University
of Engineering and Technology (UET), Lahore,Pakistan,
andM.Sc. IT from Punjab University College
of Information Technology (PUCIT), Pakistan. I worked
as aSoftware and Quality Assurance Engineer at
i2c Software Solutions for about ayear.Then I joined
the Institute of the Business Administration
University of Punjab as a Lecturer IT.Currently, I
am enrolled as a Ph.D. student at The Australian
National Universityand working in the Database Group
at the Research School of Computer Science.",,"My areas of interest include Database, Data Privacy,
Data Security, Differential Privacy, Statistical
Disclosure Control, and Microaggregation.",
288,"Dr José Iria is a highly motivated academic and research
engineer with extensive experience and knowledge
in power and energy systems modeling, optimization,
and control. In these areas, he has actively
participated in more than 20 European, Australian,
and U.S. R&D projects, and consultancy activities
for distribution and transmission system operators,
utilities, and smart grid companies. He is the
author of 28 peer-reviewed papers in top international
journals (11) and conferences (17). He was
also co-responsible for raising more than 10 million
euros in R&D funds in the areas of energy and power
systems. He obtained a PhD degree in Sustainable
Energy Systems with Cum Launde distinction from
the University of Porto in 2019, and an MSc degree
in Electrical and Computer Engineering from the
same university in 2011. His PhD was funded by an
MIT Portugal fellowship awarded by the Portuguese
Foundation for Science and Technology to the top
0.8% of the applicants. In 2020, his PhD thesis was
recognized by APREN (Portuguese Renewable Energy
Association) as one of the best dissertations in
the area of renewable energy. Currently, he is a research
fellow at the Australian National University.
He held research positions at INESC TEC (Portugal)
between 2012 and 2019 and Berkeley Lab (U.S.)
between 2017 and 2018. Today, he continues to hold
an affiliate research position at INESC TEC. Specialties:
power and energy systems; electricity markets;
distributed energy resources; renewable energy;modeling;
optimization; control; decision-making.
Google Scholar: ResearchGate: Linkedin:",,,
290,"Dr Monirul Islam is a post-doctoral research fellow
at the college of engineering and computer science
of the Australian National University (ANU), Australia.
Prior to joining ANU, he worked as “power
system engineer” at DIgSILENT Pacific, Brisbane, Australia.
He receivedPhD degree inelectrical engineering
from the Power & Energy Systems Research divisionat
the School of Information Technology and
Electrical Engineering, University of Queensland (UQ),
Australia. During his PhD, he served as visiting
student research collaborator at Nanyang Technological
University, Singapore under UQ candidature
travel award and also worked as “tutor” at UQ from
2017 to 2019. He also received B.Sc. degree in
Electrical and Electronic Engineering from the Rajshahi
University of Engineering and Technology, Rajshahi,
Bangladesh, in 2009, and M.Eng.Sc. degree
in Electrical Engineering from the University of Malaya,
Kuala Lumpur, Malaysia, in2015.",,"Power system load modelling, advance converter topologies
and controls, renewable energy integration,
large-scale electric vehicles, power system protection
and stability, and planning and operation of
next-gen power system.",
294,"June 2016 - March 2017 - Researcher, Department of
Aerospace Engineering, TU Delft, Netherlands Sep 2013
- Sep 2015 - MSc. TU Delft, Netherlands Aug 2014
- Nov 2014 - R&D Intern, Mitsubishi Turbocharger
and Engine Europe B.V, Almere, Netherlands Aug 2009
- May 2013 - Bachelor of Engineering, University
of Mumbai, India",,"Solar thermal, Computational Fluid Dynamics, Multiphase
flows, Thermal engineering  PhD project title:
Thermal transport in multiphase flows for concentrating
solar thermal applications",
295,"Professor James received the B.Sc. degree in mathematics
and the B.E. (Hon. I) in electrical engineering
from the University of New South Wales, Sydney,
Australia, in 1981 and 1983, respectively. He received
the Ph.D. degree in applied mathematics from
the University of Maryland, College Park, USA, in
1988. In 1988/1989 Professor James was Visiting
Assistant Professor with the Division of Applied Mathematics,
Brown University, Providence, USA, and
from 1989 to 1991 he was Assistant Professor with
the Department of Mathematics, University of Kentucky,
Lexington, USA. In 1991 he joined the Australian
National University, Australia, where he served
as Head of the Department of Engineering during
2001 and 2002. He has held visiting positions with
the University of California, San Diego, Imperial
College, London, and University of Cambridge. His
research interests include quantum, nonlinear, and
stochastic control systems. Professor James is
a co-recipient (with Drs L. Bouten and R. Van Handel)
of the SIAM Journal on Control and Optimization
Best Paper Prize for 2007. He is currently serving
as Associate Editor for IEEE Transactions on Automatic
Control, and has previously served SIAM Journal
on Control and Optimization, Automatica, and
Mathematics of Control, Signals, and Systems. He
is a Fellow of the IEEE, and held an Australian Research
Council Professorial Fellowship during 2004-2008.",,,
305,"Warren is with CSIRO Computational Informatics (CCI).
He has experience on several research areas such
as data mining, machine learning, statistical modelling,
health informatics and environmental informatics.
Warren has supervised over a dozen of students,
including postdoc, PhD, MPhil, Masters, Honours
and vacation students in areas like data mining,
information retrieval, machine learning, and statistical
modelling. Most of them are now working/studying
in research institutions like ANU, CSIRO,
NICTA, private companies like CBA or public sector.
Warren's research won several awards such as the
Innovation Award from the CMIS, CSIRO in 2005;
the VisHCI Best Paper Award, in  ; the best paper
award in  . Most of his publications can be downloaded
from  . Email him to get a copy of paper of your
interest. More information of his could found
at his   or   (open to CSIRO people only). Research
opportunities with scholarships from CSIRO Updated
in Feb 2014",,"I am currently interested in data mining, statistical
computation, statistical prediction",
309,"Prior to joining the ANU as an academic in 2005, Lynette
was a practicing software engineer in Australia
and the United Kingdom for nearly 20 years where
she worked for government, the finance industry
and small business. During this time Lynette also
founded and ran an award-winning software company
developing bespoke software and providing expert
consultancy and training services to government and
industry.   In 2014 Lynette became a Senior Fellow
of the Higher Education Academy of the United Kingdom.
In 2012 she received the Australian Council
of Engineering Deans National Award for Engineering
Education Excellence, Highly Commended. In 2007
Lynette received the ACT Women in ICT's annual WICed
Woman of the year award for her mentoring of
female students and young women in industry.",,"Engineering education & curriculum design and development.
Applying the concepts of software engineering
to the design and development of repositories
of educational resources that can be re-used, re-purposed
and re-combined to create course-ware and
adaptive educational systems. The human aspects of
Software Engineering and Women in Engineering",
310,,,"Plagiarism is a practice by students in response to
pressures of time and performance, framing of the
assessment for the student, guidance about acceptable
behaviours, the use of detection tools, avoidance
techniques in creating assessment, punitive and
corrective policies and practices. Now that we
have fairly good detection tools and fairly strong
enforcement policies, how can we set assignments
and how can we modify students behaviours to reduce
the amount of plagiarism at acceptable cost and
while retaining the use of assessment towards certifying
individual skills. I am always interested in
the ways we can teach more effectively, and at the
moment my particular interest is about how teaching
staff think about plagiarism and why it happens,
and how we can teach in ways to reduce the amount
of plagiarism by students in their programming
assignments.",
317,"Mohammadreza Jooyandeh has done his Bachelors in  
and   at   in 2006 and 2008, respectively.   In 2009,
he finished his Master in   at   too.   He has
start his Ph.D. under supervision of   since March
2010 in the   in The Australian National University.",,,
322,,,"Computer Go, Conditional Random Fields, Diagnosis of
Discrete Event Systems, Stochastic Gradient Methods,
Algorithm Complexity.",
