clus,description
3,"The aim of Project EST9101PH1 (J0137) is to deliver the facilities and infrastructure to enable the implementation of the Enhanced Defence High Frequency Communications System (EDHFCS) under the broader Capability Project JP9101.  Works will be undertaken in Riverina (NSW), Townsville (QLD), Darwin (NT), North West Cape (WA) and Canberra (Russell Offices and HMAS\xa0 Harman). The exact facility and infrastructure requirements are currently being refined under the project, however the proposed works include upgrades to the following: Four High Frequency (HF) Receive Sites. These are required to be geographically dispersed across the country, in locations with low HF ‘noise’, approximately 100km from a Transmit Site and linked by optical fibre. Three sites are existing and one site will be a new construction; Four HF Transmit Sites.  These are required to be geographically dispersed across the country, have access to a suitable power supply, be linked by optical fibre to the Australian network and be located to support maintenance staff; and Two Network Management Facilities.  These are required to be in Canberra and allow management of the paired sites. The services include the following: undertake all detailed design of the works including but not limited to the preparation of all design documentation such as drawings, specifications and reports along with any other design information required, or necessary, to detail the works, which is anticipated to be delivered to the successful Applicant in discrete work packages by the Head Contractors finalising all design documentation, including drawings, specifications and reports to form part of the relevant tender documentation for the tendering of construct only Head Contracts undertaking all necessary site investigations to prepare the detailed design of the works, including but not limited to current infrastructure, contamination, geotechnical, overall environmental and heritage investigations support the release ofonstruct only tender documentation Head Contracts. to meet Project Phoenix’s operational and support capabilities."
9,"\xa0The services required have been split in two parts: \xa0Part One: Trial design\xa0 \xa0Part Two: Trial delivery. \xa0The Department is seeking Tenders for the design and delivery of a living lab trial to test a new tool for assessing older Australians for in-home aged care services. \xa0A decision about whether to proceed with Part Two – Trial delivery will be taken after Part One – trial design - is completed. \xa0The department is seeking to test the new assessment tool, which includes a series of questions and instruments to assess the physical, social, psychological and medical needs of older Australians, in a living lab environment. \xa0The trial is expected to use trained aged care assessors to undertake mock assessments of older Australians in a home-like environment. \xa0The objectives are to: \xa0Test and refine how assessors use the tool to effectively collect information \xa0 Test whether outputs of the tool align to expectations \xa0Test efficacy of the tool with different cohorts. \xa0 Expected deliverables/outcomes and timeframes Part 1 6 September 2021– 18 October 2021  The key deliverables of Part One will include: Meetings with the Department including: \xa0project inception meeting,  \xa0weekly check-ins,  \xa0inal presentation, and \xa0any other meetings as required. \xa0 A project delivery schedule following an inception meeting that identifies all key deliverables, including how they will be delivered and timeframes of deliverables for Part One. A draft report on 24 September 2021, detailing the following: A detailed plan for the delivery of a living lab trial to test the new assessment process, including methodology delivering a simulated environment to test the new assessment tool and associated process – including a description of the lab (e.g. how would you replicate a home-based environment?). Approach to simulating the assessment process including selection of participants  strategy for assurance/validation of the outputs of the trial. detailed schedule for delivery of the trial detailed costing for delivery of the trial. A final report on 8 October 2021 reflecting feedback from the Department. \xa0Term of the Contract will be from 6 September 2021 until 18 October 2021 and will include an option to extend the arrangement to deliver Part Two. Any extension will be at the sole discretion of the Commonwealth.\xa0 \xa0"
0,Project SEA 5012 Phase 1 Integrated Undersea Surveillance Systems - Request for Information
0,"This project involves civil works between base front entry and the base hospital. In particular, this includes minor vertical re-alignment of the road, modify radius and elevation to comply with Austroads Part 3 and storm water drainage upgrades and modifications.\xa0"
14,"The Department of Finance is proposing to establish a whole-of-Australian Government Management Advisory Services Panel.\xa0 The Service Areas covered by the Panel are intended to be separated into three categories, which are Financial, Corporate and Commercial Management Advisory Services. The Panel will not include labour hire (contractor) services. Further information is available at https://www.tenders.gov.au/Atm/Show/6b77571d-30d9-4337-844c-8b9913332b10 \xa0 Note: Any further notices or requests for tender about the proposed whole-of-Australian Government Management Advisory Services Panel will be published on AusTender under the Management and Business Professionals and Administrative Services Category only."
3,"Refurbishment and upgrade works including replacement of the existing air conditioning system and associated switchboard, remediation of existing plant rooms, internal refurbishment (wall, floor, ceiling, toilets, kitchen, windows) and roof repairs.\xa0"
0,"<span'>The Director is seeking the services of a suitably qualified and experienced engineering firm to provide engineering specification, supervision and certification for the works described in the ATM. <span'>The works will require the Supplier to develop a strong, trusted and consultative relationship with the Booderee National Park staff and the construction contractor."
3,"This project involves significant amendments and repairs to the existing 1.4km access road that connects the AP37 NAVAID facility at the RAAF Many Peaks Radar and Communications Station, Townsville with The Esplanade, a Townsville City Council (TCC) road.\xa0 The works requires the removal and upgrade of the existing road pavement to provide a 5m wide, two lane concrete road surface. The works also includes for the upgrade of the upper service track adjacent to the AP37 NAVAID facility compound from the current gravel track to a sealed bitumen pavement."
0,Automatic Weather Stations Equipment Installation Services
13,"The evaluation aims to assess: \xa0 *progress made through the MRFF in supporting clinical trials in Australia *the alignment of funded clinical trials with long-term objectives  set out in the MRFF10-year investment plan and the MRFF Monitoring, Evaluation and Learning Strategy ( https://www.health.gov.au/resources/publications/mrff-monitoring-evaluation-and-learning-strategy-2020-21-to-2023-24 ). \xa0 The key evaluation questions include: *how the MRFF has contributed to clinical trials in Australia *how MRFF funded trials compared with other national and international clinical trials *are there opportunities to enhance MRFF funding and granting arrangements to enhance the efficiency and effectiveness of MRFF funded clinical trials. \xa0 Results from the evaluation will be used to inform future funding and granting arrangements for clinical trials through the MRFF. \xa0 In delivering the evaluation, the Supplier will: *provide secretariat, research, and coordination support for the evaluation *develop a project plan outlining the approach for the evaluation, following an inception meeting with the Department *undertake a desktop review of MRFF funded projects (within the Clinical Trials Activity initiative and also of other clinical trial projects across the MRFF) and compare them with those funded nationally and internationally *conduct a survey of recipients of MRFF grants that include a clinical trial to gather further information to support the evaluation *conduct a comprehensive consultation process with key stakeholders nationally and internationally to supplement findings from the desktop review *The Department has identified potential stakeholders for the consultation however will engage with the successful Supplier in finalising the list.  *provide reports outlining insights and findings arising from the evaluation. \xa0 The Supplier’s team must have strong expertise in and knowledge of clinical trials, including practical experience in the field."
6,"The AFP currently manages multiple tracking ICT applications, including COTS and in-house developed systems (bespoke).\xa0 Some of these systems are reaching end-of-life as they only support devices that communicate on the diminishing 3G telecommunications network. In addition, multiple systems are standalone and are not connected to the AFP’s common visualisation interface. This reduces the ability to share tracking information to operational Members such as investigators. The AFP’s technical support staff are also unable to provide enterprise-level support to tracking systems that are hosted on standalone servers and laptops. \xa0 The AFP has a requirement to manage and monitor tracking of people and objects in multiple operational contexts including: a.\xa0 \xa0 Red Force Tracking - Determining or monitoring the location of an identified target person or object under a warrant issued under Part 2 of the Surveillance Devices Act 2004 (Cth), or an authorisation to use a tracking device under section 39 of the Surveillance Devices Act 2004 (Cth); and b.\xa0 \xa0 Blue Force Tracking - Determining or monitoring the location of friendly forces, including AFP personnel, partner agencies and the assets they control and protect. \xa0 The AFP is seeking a Solution that will meet the following objectives: a.\xa0 \xa0 consolidate multiple ICT tracking systems into a single management solution for devices that produce tracking information; b.\xa0 \xa0 support the replacement of existing 3G devices with LTE and 5G capable devices; c.\xa0 \xa0 provide a geospatial viewing display (desktop and mobile) of tracking data from both tracking devices and other sources of location data in real-time; d.\xa0 \xa0 provide a platform that allows authorised users, including investigators, surveillance teams and technical administrators to view and manage historical data for evidentiary purposes; e.\xa0 \xa0 provide a platform with consolidated command and control functionality across multiple tracking devices including dedicated tracking devices, tracking component of other devices i.e. Internet-of-things devices: audio, cameras, smartphone blue force apps; f.\xa0 \xa0 \xa0provide a common ingestion pipeline for tracking data integrated into the AFP’s future NG-LEMF to facilitate viewing tracking data from the devices on a consolidated platform regardless of device type; and g.\xa0 \xa0 if required and specified by the AFP as an Additional Service, provide command and control capability via integration into the NG-LEMF. \xa0 For clarity, through this RFT, the AFP only seeks to procure the Solution (being the UTP) and associated services, and does not seek to procure any other part of the NG-LEMF. The AFP will develop the NG-LEMF outside the scope of this procurement, and will be primarily responsible for integrating the Solution into the NG-LEMF it develops. The Contractor will be responsible for ensuring that the Solution is capable of being integrated with the NG-LEMF (if and when the AFP determines that the Solution will be integrated) and otherwise ensuring that the Solution meets the requirements specified within this SOR (as captured in the Statement of Work negotiated with the Successful Tenderer) in accordance with the draft Contract.\xa0 \xa0"
3,"The scope of works of this project involves refurbishment and replacement of deteriorated pump stations, maintenance shafts and manholes forming part of the sewer infrastructure at RAAF Pearce. The project also includes the replacement of existing asbestos cement rising main with PVC. The purpose of the proposed works is to extend the life of the sewer network and prevent sewerage pollution resulting from failure of the old system. \xa0"
1,Property Acquisition and Disposal Services under a panel arrangement to support the Commonwealth across Australia. \xa0 \xa0 The Panel will comprise panel consultants to provide ongoing infrastructure related services in support of the Commonwealth across Australia. \xa0 The Panel will replace the existing Defence Infrastructure Panel which is due to expire in January 2022. \xa0 Defence intends to release the Panel service categories in three tranches. Each service category under the Panel will be the subject of a separate open approach to market (ATM) and requires a separate tender response. (Tenderers may submit a tender for one or more of the service categories for the Panel.) The ATM documentation for this service category is being released as part of Tranche 2.
2,"The Department of Education, Skills and Employment (the department) has released a Request for Tender (RFT) and is seeking responses from Tenderers interested in delivering Transition to Work (TtW) 2022–27 services from 1 July 2022.\xa0 TtW is the Australian Government’s youth-specialist employment service that helps highly disadvantaged young people to develop practical skills to get a job or connect with education or training.\xa0 On 11 May 2021, as part of the 2021–22 Federal Budget, the government announced the continuation and expansion of TtW, confirming that a further $481.2 million will be invested into the service over the next 4 years from 2022.\xa0 The RFT sets out the service requirements for TtW 2022–27 as well as information on how to respond, the selection criteria and the evaluation process. Further information, including an information presentation is available on the department’s\xa0 website \xa0(tenders.employment.gov.au)."
3,"To support the ongoing building upgrade and refurbishment needs of ANSTO, a Building Maintenance and Project Works Panel is to be established. The panel arrangement will include pre-qualified limited number of Contractors who will have the opportunity to quote and deliver individual work packages as defined by work order processes. This contract is for a three (3) year period, with options for a further 1 + 1 year renegotiated extensions from the date of contract acceptance, though it is subject to an annual review of the on-going requirements of ANSTO and the Contractor’s performance. This is a multistage process. A panel will be selected from the Expression of Interest phase and later invited to quote during the Request for Tender phase. \xa0"
2,The Bank is seeking to subscribe to a data set on banks that best matches its existing requirements for monitoring the financial health and activity of individual banks operating in advanced and emerging market economies.\xa0\xa0
2,"\xa0The procurement is to obtain proposals from potential suppliers to provide and implement a cell broadcast national messaging system that is capable of sending messages from Emergency Management Australia (EMA) on behalf of the Commonwealth and/or Commonwealth, state and territory emergency services to the Australian public concerning events of national significance.\xa0\xa0 This capability is referred to as the National Messaging System (NMS)"
2,"Project Land129-4B seeks to acquire a quantity of SUAS for use by Australian Army combat teams to replace the in-service Wasp AE. The primary purpose of the systems is to provide intelligence, surveillance and reconnaissance (ISR) support to the combat team commander. Land129-4B seeks to replace the Wasp AE over the period FY24/25 to FY25/26."
3,"The Design Services services include design and related services in respect of the following scope of works:\xa0 a)Address capacity, condition and compliance deficiencies identified by Base Engineering Assessment Program (BEAP) for reticulated engineering services; b) Construction of a New Live-In-Accommodation (LIA) building to accommodate Staff Cadets (SCDTs) and Training staff c)Refurbishment of three existing LIA buildings to address compliance issues; and d)Extension of the Military Instruction (MI) Block to provide working accommodation for MI Staff including a lecture theatre room \xa0"
14,"The Department of Finance is proposing to establish a whole-of-Australian Government Management Advisory Services Panel. The Service Areas covered by the Panel are intended to be separated into three categories, which are Financial, Corporate and Commercial Management Advisory Services.  The Panel will not include labour hire (contractor) services.   It is intended that the procurement process to establish the Panel will be undertaken in three phases.\xa0 Each phase will be an open approach to the market and will be published on AusTender as a Request for Tender (RFT). Further information is provided in the attached document."
3,HMAS Albatross and HMAS Creswell road remediation seeks primarily to rejuvenate the existing base road network. Works will comprise of full depth pavement replacement in areas of pavement that show signs of extensive cracking and pavement failure.\xa0 The full depth pavement replacement involves removing the aged and deteriorated existing asphalt and road base layers and constructing full depth pavement in its place. This new pavement works have been designed so that the proposed finished surface levels match into existing kerbs and gutters while providing compliant road cross-fall grades. pavement remediation is proposed to roads within the highest priority area of each Base.
0,This Notice provides information for Industry on a planned upcoming approach to market for the SouthPAN Project. The procurement will include: 1.a Satellite Based Augmentation System (SBAS) payload service; 2.ongoing uplink receive and downlink transmission services; 3.ongoing satellite station-keeping services; and 4.ongoing provision of orbital and payload performance data. \xa0 \xa0
0,"As a result of the Inter-Governmental Agreement on the National Maritime Emergency Response Arrangements (NMERA), AMSA will provide emergency towage capability around the Australian coastline in line with the assessed levels of risk.\xa0 To ensure the availability of suitable vessels for its Emergency Towage Vessel (ETV) Program, AMSA has three categories of response capability and associated contracts with suppliers. Level 2: Requires that arrangements are in place for suitably equipped ETVs to respond at short notice to directions from AMSA to perform first strike emergency towage capability in the event of shipping incidents or casualties. A harbour tug provider in specific regions is contracted to maintain the capability so as to be able to make suitable tugs available when required. One of these regions is the subject of this ATM – North Central Queensland."
12,"\xa0 The Australia-Singapore Military Training Initiative (ASMTI) will see the delivery of enhanced military training areas in Central and North Queensland. Under the ASMTI, Singapore will invest approximately AUD 2.25 billion for the Commonwealth to acquire, design, develop and construct military training areas through expanding the existing Shoalwater Bay Training Area (SWBTA) and establishing a new training area near Greenvale, in North Queensland. The construction work at the new training area near Greenvale is expected to be delivered in two phases, Early and Main Works. \xa0 To assist the Commonwealth of Australia (Commonwealth), represented by the Department of Defence, in considering the potential delivery of any, some or all of the early construction work described below at the new training area near Greenvale, the Department is conducting Market Sounding of potential Minor and Medium Works Contractors who may be invited to make a submission for a Limited Tender for these works. The information received by the Commonwealth from the Market Sounding may be used to help identify potential Early Works Contractors who may then be invited to make submissions as part of a Limited Tender for the Early Works.  \xa0 The Early Works will likely be delivered first by one or more Minor or Medium Works Contractors and will likely include the following: \xa0 (i) \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  Survey \xa0 (ii) \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  Demolition works (removing redundant infrastructure - internal fences, buildings, sheds, dams, bores and the like); \xa0 (iii) \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  Contamination remediation works (removing rubbish tips, septic systems, asbestos, Petroleum, Oil & Lubricants (POL)); \xa0 (iv) \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  Tree clearance works (for fire breaks, or minor site clearance); \xa0 (v) \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  Range control facility; \xa0 (vi) \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  Fencing works (cattle style fencing: new and repairing existing);  \xa0 (vii) \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  Minor track construction / repairs works; and \xa0 (viii) \xa0\xa0\xa0\xa0\xa0\xa0\xa0  Relocation of services (power, water, sewer). \xa0 This Market Sounding will ONLY apply to the Early Works described above. \xa0"
2,Notice to provide updated information regarding the current status of the JP9102 which includes the delay of the proposed RFT release and details for a planned Industry Briefing and release of the RFT Data Pack
1,Capital Facilities and Infrastructure Specialist Services as part of the Defence Infrastructure Panel 2022 - 2027 (Panel) under a panel arrangement to support the Commonwealth across Australia. The Panel will comprise panel consultants to provide ongoing infrastructure related services in support of the Commonwealth across Australia. The Panel will replace the existing Defence Infrastructure Panel which is due to expire in January 2022. Defence intends to release the Panel service categories in three tranches. Each service category under the Panel will be the subject of a separate open approach to market (ATM) and requires a separate tender response. (Tenderers may submit a tender for one or more of the service categories for the Panel.) The ATM documentation for this service category is being released as part of Tranche One.
3,"ESTL4503PH1 Facilities to Support LAND4503 Phase 1 Armed Reconnaissance Helicopter Replacement project is to provide the facilities and infrastructure required to support the introduction into service and sustainment of the Boeing Apache Guardian helicopter capability, which will replace the Tiger Armed Reconnaissance Helicopter (ARH) capability. The Managing Contractor services include delivery of design (through 30%, 50%, 90% and final design stages), assistance in siting board and project approvals and PWC, procurement of design subconsultants and trade packages, and management of the following scope and related works. The scope of the project may include: 1st Aviation Regiment, Robertson Barracks, Darwin: adapt and optimise the current infrastructure and facilities to support the requirements of the Apache helicopter which may include the redevelopment of the the apron to meet Apache operational requirements and future-proof for the Chinook; including upgrade and refurbishment of existing facilities, including working accommodation, hangars, apron, headquarters building, and training facilities. upgrade of existing services and in-ground infrastructure; and provide temporary facilities and enabling infrastructure to facilitate continuity of operations during the transition phase from the Tiger ARH to the Apache. Robertson Close Training Area, Darwin: construct a Forward Arming and Refuelling Point. Army Aviation Training Centre, Swartz Barracks, Oakey: upgrade or rebuild the infrastructure and facilities located at the Army Aviation Training Centre to support the new Apache.\xa0"
2,"The Director has received funding to undertake an extensive program of road and carpark upgrades to ensure the roads at Booderee are set up for the future to be safe and easily maintained. Most of the funding is focused on the unsealed roads where in some areas grading over the years has removed the gravel exposing the subbase and/or subgrade. Poor drainage profiles have resulted in ruts and potholes and vegetation has overgrown the original road alignment hiding shoulders and reducing site distances. In a contract with the Wreck Bay Aboriginal Community Council (WBACC), the Director has completed upgrade works on Ellmoos road which has both set a standard for what is required for the unsealed roads and identified several issues that need to be considered in later projects."
3,"The Scope of Works is to provide an automated system to control drainage from the fire station training area evaporation pond such that after a training event is conducted, the first flush of a rainfall event is automatically diverted and discharged via the trade waste system before switching to stormwater discharge after a set volume.\xa0"
3,"Refurbishment works to Defence Network Operations Centre and communications station including architectural repair works (signage, walls, doors, ceilings, painting), air conditioning and chiller plant upgrades, electrical works, fire protection and services compliance works, security and closed circuit television replacement and structural works."
0,The services sought through this RFT process have been split into two distinct parts as follows: Part A - End to end wellbeing support for all Redress Group staff and IDMs. Part B - Specialist survivor interactions and related services to Redress applicants.
0,"The Digital Marketplace is currently seeking sellers of digital services who can meet our assessment criteria in one or more these digital areas of expertise: Strategy and policy User research and design Agile delivery and governance Software engineering and development Support and operations Content and publishing Change and transformation Training, learning and development Marketing, communications and engagement Cyber security Data science Emerging technologies ICT Managed services ICT Risk Management and audit activities Digital Sourcing/ICT Procurement Platforms Integration New category from 16th December 2020 Service Integration and Management (SIAM)"
2,"Joint Logistics Command (JLC) currently manages the Global Freight Forwarding and Customs Clearance Contract which is used by Defence to import and export parts, equipment, weapons, explosives and stores (including Foreign Military Sales materiel) critical to the ADF’s sustainment and functioning. JLC wishes to re-tender the GFF Contract (RFT JLC20-001) so that a suitable arrangement can be put in place to ensure the ongoing commercial provision of Global Freight Forwarding Services from August 2022 onwards.\xa0 After consultation with industry via an RFI (ATM ID: JLC20-001) the Commonwealth considers that the risks inherent to an open tender for Global Freight and Customs Clearance Services can now be managed and that such a process is likely to result in a value for money procurement outcome. Accordingly, Defence is seeking these services from a single prime contractor that can work with the Commonwealth to minimise the risks caused by COVID-19. As per the Defence Annual Procurement Plan (APP) JLC20-01, the Commonwealth now invites tenderers to submit responses to the Global Freight and Customs Clearance Services to the ADF (JLC20-001) Request for Tender.\xa0"
2,Notice regarding Defence support for limited COVID-safe international travel to Australia for potential prime contractors who are based overseas
0,DFAT has a requirement for a contractor to design and implement the Samoa Human Development and Social Inclusion Program.\xa0 This requirement is scheduled to last up to eight (8) years from approximately November 2021 with a short initial term for the design and two longer options to extend periods for implementation. The Samoa Human Development and Social Inclusion Program is intended to deliver Australia's commitments in the later phase of the Samoa Covid-19 Development Response Plan (2020-2022) and help build the human development foundations required for Samoa's economic recovery and continued stability.
3,"The Joint Counter Improvised Explosive Device (JCIED) capability under Land 154 Ph 4 includes the replacement of all RPVs in service in the ADF across all three services. The current fleet of RPVs is reaching Life of Type and is experiencing supportability problems. The RPVs are used to conduct Explosive Ordnance Disposal (EOD) operations and limit unnecessary exposure of ADF personnel to IED threats. The RFT will cover acquisition of all classes of RPVs, along with initial training and support packages."
14,"The Department of Finance is proposing to establish a whole-of-Australian Government Management Advisory Services Panel.\xa0 The Service Areas covered by the Panel are intended to be separated into three categories, which are Financial, Corporate and Commercial Management Advisory Services. The Panel will not include labour hire (contractor) services. \xa0 Further information is available at https://www.tenders.gov.au/Atm/Show/6b77571d-30d9-4337-844c-8b9913332b10 \xa0 Note: Any further notices or requests for tender about the proposed whole-of-Australian Government Management Advisory Services Panel will be published on AusTender under the Management and Business Professionals and Administrative Services Category only."
11,"Background Harvest weed seed control (HWSC) systems including chaff piles, chaff tramlining, chaff lining, are important alternate tactics to herbicide management of weeds. Adoption of these HWSC systems is increasing in the Southern Region and grain growers are observing an increase of invertebrates in paddocks where the HWSC chaff is present and there is concern to the potential risk of associated crop damage. Further adoption of HWSC systems may be deterred by the unknown impact of invertebrate pests in subsequent crops. A GRDC research investment in WA (DAW1904-009RTX) determined that the geographic location of the paddock with chaff, influenced the abundance and composition of invertebrates, and that the presence of HWSC chaff increased the number of pest and natural enemy invertebrates present. This investment will quantify and interpret the pest and natural enemy invertebrate populations that harbour in the chaff residue of the HWSC systems; chaff lining, chaff tramlining and chaff piles and assess the associated crop damage. The research will be conducted in representative locations across GRDC Southern rainfall zones. Investment\xa0\xa0description  This investment will expand the understanding of the species and the population numbers of invertebrate pests and natural enemies that harbour in HWSC chaff residue of GRDC's Southern region and assess the associated crop damage. The research outcomes will inform future initiatives on management of crop pests and address potential barriers to HWSC systems adoption by quantifying the risk to crop from invertebrate pests. GRDC now seek to approach the market for a suitable applicant to provide applied field research and entomology expertise in invertebrate diagnostics and ecology. *SAGI South are available for consultation during the development of your tender. Outcome  By March 2024, growers and advisors of GRDC Southern rainfall zone will have access to current information on invertebrate pests and beneficial species harbouring in HWSC chaff residue system and the associated crop damage risk. This knowledge will lead to an increased confidence in adoption of appropriate HWSC techniques to manage weeds. Outputs  Output 1 \xa0-\xa0\xa0By March 2024 growers and advisors will have access to current information on invertebrate pests and beneficial species harbouring in HWSC chaff residue systems in the GRDC Southern region. Description: Surveillance of pest and beneficial invertebrate species population in 3 types of Harvest Weed Seed Control systems (chaff line, chaff tramlines and chaff cart dumps) and a control site without HWSC in representative locations across the GRDC Southern rainfall zones. Surveillance to be conducted 3 times during the season (post-harvest, seedling emergence and grain fill) over 2 seasons. Use of proven methodology from Western research investment DAW1904-009RTX and through consultation with SAGI – South on experimental design and data analysis as required. Observational survey of crop damage caused by invertebrate pests associated with HWSC chaff residue at seedling emergence and grain fill. May use data logger to capture location microclimate. Analysis and interpretation of the relationship between invertebrate biodiversity, environment and microclimate of HWSC systems to inform potential risk to crop and subsequent development of management strategies. Output\xa0\xa02 \xa0-\xa0\xa0By March 2024, delivery of a communication package stemming from the research outcomes. Description: A communications and extension plan will be developed in consultation with GRDC within the first 3 months of project commencement. The communications plan will ensure the outputs generated in this investment reach the intended audience and promote adoption of recommendations. Communication and extension will be delivered and promoted through existing GRDC, WeedSmart, National Pest Information Network and the contractor’s media channels and platforms. Communications may include development of publications to inform growers, agronomist and advisors. Extension may include presenting at GRDC Research Updates, Grower Network Meetings or in webinars or podcast interviews."
3,"Notice for the provision of Managing Contractor (MCC-1 2021) services for the Planning and Construction of buildings, services and infrastructure in connection with the proposed ‘EST05532 Facilities to support highly available ICT project’. The project is proposed to include works at Defence facilities near Perth, WA and Adelaide, SA.\xa0 The ICT project will support Australian Government investment in Australian Defence Force (ADF) platforms. The project is broadly categorised as a highly available ICT system. This capability development activity is aligned with Defence priorities. The expected project scope includes, but is not limited to Data Centres and enabling infrastructure to facilitate project delivery. \xa0"
0,"The Programme of International Student Assessment (PISA) is an international assessment of 15 year old school students, which has been conducted on a triennial basis by the Organisation for Economic Co-operation and Development (OECD). The main services to be provided by Australia's PISA 2025 National Project Manager (NPM) include reviewing test items, questionnaires and other assessment materials to be used in Australia for PISA 2025, undertaking a wide range of tasks associated with preparing for and administering the field trial and main study, reporting Australian results from the main study, and close liasion and collaboration with local and international stakeholders to effectively manage Australia's involvement in PISA 2025."
2,"The ADF is responsible for the provision of SAR for all ADF and visiting military. The ADF currently meet this obligation through separate contract arrangements for commercial helicopter and ground-based services to provide SAR, however intends to replace these arrangements with a Joint ADF SAR Contract. Responses to this RFI will be used to identify capability options, technologies and other considerations. It will also assist Defence with the development of the Joint ADF SAR Contract."
2,"The\xa0Department of Home Affairs has invited Expressions of Interest for the provision of a Warehousing Facility with Hard Stand Area which does, or can incorporate office accommodation within the Townsville Port and its surrounds.  Site requirements include but are not limited to: Total of 2,500 – 3,000 sqm which is inclusive of warehouse, hardstand area and office accommodation Hard stand area to accommodate heavy articulated vehicles, with the hard stand area to be fenced Location is to be within a 15km radius of the Townsville Port \xa0  Initial lease minimum term of five years with options. The offered site must be compliant with all standard Commonwealth building requirements. Preference is to be the sole tenant on available land, however, a proposal with an adjoining tenancy would be considered. At least 6 secure car parking spaces required for operational and large vehicles. Preference for two vehicular access point to the perimeter (front and rear) \xa0 \xa0"
1,Infrastructure Engineering Assessments under a panel arrangement to support the Commonwealth across Australia. The Panel will comprise panel consultants to provide ongoing infrastructure related services in support of the Commonwealth across Australia. The Panel will replace the existing Defence Infrastructure Panel which is due to expire in January 2022. Defence intends to release the Panel service categories in three tranches. Each service category under the Panel will be the subject of a separate open approach to market (ATM) and requires a separate tender response. (Tenderers may submit a tender for one or more of the service categories for the Panel.) The ATM documentation for this service category is being released as part of Tranche 2.\xa0
0,CSIRO requires maintenance and operation of the Mechanical Systems and associated equipment across various CSIRO Zones.  Reminder: Site - Parkville (Victorian Zone) is no longer included in the scope of this Tender.
0,"Secretaries Talent Council Professional Services - Capability & Talent\xa0 (Re) Assessment, Succession Management Services \xa0"
2,"Roofing suppliers of specialist products that meet the performance criteria are now invited to submit Tenders to undertake the role of Outdoor Aquaria Roof Supplier to assist in the successful development of the SeaSim expansion project. The specific requirements for the product and services are further detailed in Section 2 and Appendix A. \xa0 The roofing system requires full spectrum sunlight to be transmitted and is likely a lightweight clear span material. Products that have been reviewed previously and are potentially suitable include: EFTE Plexiglass Acrylic systems Glass Other materials and products may also be suitable, however roofing products that prevent the transmission of UV light such as polycarbonates are not suitable."
2,"Minister for Resources and Water, the Hon Keith Pitt MP, announced on 7 May 2021 that the Australian Government is committing $20.1 million in the 2021-22 Budget to diversify our resources export markets in the form of a Global Resources Strategy (GRS). To achieve the objectives of the strategy, the Department is developing a series of measures. One of these measures is to gather market indicators and understand the interest, drivers and objectives of research and development (R&D) of non-traditional uses of high-emissions commodities, such as coal. This falls under the strategy’s objective to support industry partnerships and research and development that support the commercialisation of alternative uses for high-emissions resources and processes.\xa0 \xa0 The resources sector remains a major contributor to the country’s prosperity and economic wellbeing. Coal, in particular will continue to play an important role in the world’s energy mix for years to come. The International Energy Agency projects coal demand in developing economies, particularly in Asia, to remain strong in the short to medium term to 2030 (Global Resources Statement, 2021). However, changes to the global energy mix are projected, and opportunities also exist to invest in research, development and commercialisation of alternative uses for high-emissions resources, including coal. As an example, the Government is committed to a technology-led approach to lowering emissions through projects such as the Hydrogen Energy Supply Chain pilot project. This project when combined with Carbon Capture and Storage, has the potential to create a high value, low emissions use for Australia’s abundant brown coal reserves.\xa0 \xa0 Accordingly, the Department would like to invite suitably qualified consultants to submit a tender to provide market analysis on further research that is being undertaken into high value, low emissions uses of coal and develop a detailed insights report.\xa0\xa0 \xa0"
