Tags,value
oecd,DIVISION 24 OTHERS(IRRELEVANT)
offender,DIVISION 16 STUDIES IN HUMAN SOCIETY
online survey,DIVISION 23 OTHERS(RELEVANT)
organizational culture,DIVISION 24 OTHERS(IRRELEVANT)
ornithorhynchus anatinus,DIVISION 06 BIOLOGICAL SCIENCES
osteoarthritis,DIVISION 11 MEDICAL AND HEALTH SCIENCES
outcome assessment (health care),DIVISION 11 MEDICAL AND HEALTH SCIENCES
overseas,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
overweight,DIVISION 11 MEDICAL AND HEALTH SCIENCES
oxidative stress,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
pain management,DIVISION 11 MEDICAL AND HEALTH SCIENCES
papua new guinea,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
paradigm,DIVISION 23 OTHERS(RELEVANT)
parenting,DIVISION 13 EDUCATION
parkinson disease,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pathogen,DIVISION 11 MEDICAL AND HEALTH SCIENCES
patient care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pedestrians,DIVISION 24 OTHERS(IRRELEVANT)
pediatric obesity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
peer review,DIVISION 23 OTHERS(RELEVANT)
pelvic floor,DIVISION 06 BIOLOGICAL SCIENCES
performance management,DIVISION 23 OTHERS(RELEVANT)
performance-enhancing substances,DIVISION 23 OTHERS(RELEVANT)
persistence,DIVISION 24 OTHERS(IRRELEVANT)
person,DIVISION 24 OTHERS(IRRELEVANT)
pesticide,DIVISION 02 PHYSICAL SCIENCES
pesticides,DIVISION 02 PHYSICAL SCIENCES
pharmaceutical services,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pharmacists,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pharmacy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
philippines,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
phosphorylation,DIVISION 02 PHYSICAL SCIENCES
photon absorptiometry,DIVISION 02 PHYSICAL SCIENCES
physical,DIVISION 11 MEDICAL AND HEALTH SCIENCES
physical education and training,DIVISION 11 MEDICAL AND HEALTH SCIENCES
physical endurance,DIVISION 11 MEDICAL AND HEALTH SCIENCES
physiological stress,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pisa study,DIVISION 02 PHYSICAL SCIENCES
pixels,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
placebos,DIVISION 11 MEDICAL AND HEALTH SCIENCES
plan,DIVISION 24 OTHERS(IRRELEVANT)
plasmas,DIVISION 02 PHYSICAL SCIENCES
platypus,DIVISION 06 BIOLOGICAL SCIENCES
pleistocene,DIVISION 06 BIOLOGICAL SCIENCES
pneumonia,DIVISION 11 MEDICAL AND HEALTH SCIENCES
policy reform,DIVISION 16 STUDIES IN HUMAN SOCIETY
policymaker,DIVISION 24 OTHERS(IRRELEVANT)
political apathy,DIVISION 16 STUDIES IN HUMAN SOCIETY
political decision,DIVISION 16 STUDIES IN HUMAN SOCIETY
political leaders,DIVISION 16 STUDIES IN HUMAN SOCIETY
political system,DIVISION 16 STUDIES IN HUMAN SOCIETY
political theory,DIVISION 16 STUDIES IN HUMAN SOCIETY
politician,DIVISION 16 STUDIES IN HUMAN SOCIETY
polymethyl methacrylate,DIVISION 03 CHEMICAL SCIENCES
polypharmacy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
popularity,DIVISION 24 OTHERS(IRRELEVANT)
population density,DIVISION 16 STUDIES IN HUMAN SOCIETY
population groups,DIVISION 16 STUDIES IN HUMAN SOCIETY
population size,DIVISION 16 STUDIES IN HUMAN SOCIETY
power (psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
practice guidelines,DIVISION 23 OTHERS(RELEVANT)
pragmatism,DIVISION 24 OTHERS(IRRELEVANT)
prazosin,DIVISION 11 MEDICAL AND HEALTH SCIENCES
precariousness,DIVISION 23 OTHERS(RELEVANT)
predation,DIVISION 06 BIOLOGICAL SCIENCES
predictive analytics,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
prefrontal cortex,DIVISION 06 BIOLOGICAL SCIENCES
prenatal education,DIVISION 11 MEDICAL AND HEALTH SCIENCES
presidential election,DIVISION 16 STUDIES IN HUMAN SOCIETY
pricing,DIVISION 14 ECONOMICS
primary health care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
primary school teacher,DIVISION 13 EDUCATION
prisoners,DIVISION 16 STUDIES IN HUMAN SOCIETY
product,DIVISION 24 OTHERS(IRRELEVANT)
professional practice,DIVISION 13 EDUCATION
professionalism,DIVISION 24 OTHERS(IRRELEVANT)
profit,DIVISION 14 ECONOMICS
profitability,DIVISION 14 ECONOMICS
program,DIVISION 24 OTHERS(IRRELEVANT)
project,DIVISION 24 OTHERS(IRRELEVANT)
promotion,DIVISION 24 OTHERS(IRRELEVANT)
prospective studies,DIVISION 23 OTHERS(RELEVANT)
prostatic neoplasms,DIVISION 11 MEDICAL AND HEALTH SCIENCES
protection of children,DIVISION 16 STUDIES IN HUMAN SOCIETY
protest,DIVISION 24 OTHERS(IRRELEVANT)
proton pump inhibitors,DIVISION 03 CHEMICAL SCIENCES
proxy,DIVISION 24 OTHERS(IRRELEVANT)
psychologist,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
psychotic disorders,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
public authorities,DIVISION 16 STUDIES IN HUMAN SOCIETY
public hospitals,DIVISION 11 MEDICAL AND HEALTH SCIENCES
public service,DIVISION 24 OTHERS(IRRELEVANT)
purchasing,DIVISION 24 OTHERS(IRRELEVANT)
qualitative method,DIVISION 23 OTHERS(RELEVANT)
quality of service,DIVISION 24 OTHERS(IRRELEVANT)
quotation,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
radiation,DIVISION 02 PHYSICAL SCIENCES
rain,DIVISION 04 EARTH SCIENCES
rainfall,DIVISION 04 EARTH SCIENCES
ranking,DIVISION 24 OTHERS(IRRELEVANT)
reaction time,DIVISION 24 OTHERS(IRRELEVANT)
reader,DIVISION 24 OTHERS(IRRELEVANT)
reading,DIVISION 24 OTHERS(IRRELEVANT)
recidivism,DIVISION 16 STUDIES IN HUMAN SOCIETY
recognition (psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
recommendation,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
reconstruction,DIVISION 24 OTHERS(IRRELEVANT)
recovery,DIVISION 11 MEDICAL AND HEALTH SCIENCES
refractive errors,DIVISION 11 MEDICAL AND HEALTH SCIENCES
refugee,DIVISION 16 STUDIES IN HUMAN SOCIETY
regional planning,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
regression,DIVISION 01 MATHEMATICAL SCIENCES
rehabilitation (people),DIVISION 11 MEDICAL AND HEALTH SCIENCES
religion,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
reptile,DIVISION 06 BIOLOGICAL SCIENCES
reptiles,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
research agenda,DIVISION 23 OTHERS(RELEVANT)
research approach,DIVISION 23 OTHERS(RELEVANT)
research design,DIVISION 23 OTHERS(RELEVANT)
research ethics,DIVISION 23 OTHERS(RELEVANT)
research facility,DIVISION 23 OTHERS(RELEVANT)
research personnel,DIVISION 23 OTHERS(RELEVANT)
research projects,DIVISION 23 OTHERS(RELEVANT)
retinal diseases,DIVISION 11 MEDICAL AND HEALTH SCIENCES
return to sport,DIVISION 24 OTHERS(IRRELEVANT)
revenue,DIVISION 14 ECONOMICS
review,DIVISION 23 OTHERS(RELEVANT)
rhetoric,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
rheumatoid arthritis,DIVISION 11 MEDICAL AND HEALTH SCIENCES
ribosomal dna,DIVISION 10 TECHNOLOGY
riparian vegetation,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
risk communication,DIVISION 24 OTHERS(IRRELEVANT)
risk-taking,DIVISION 24 OTHERS(IRRELEVANT)
rna,DIVISION 10 TECHNOLOGY
rock,DIVISION 04 EARTH SCIENCES
rubus,DIVISION 24 OTHERS(IRRELEVANT)
rural community,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
sale,DIVISION 24 OTHERS(IRRELEVANT)
sars virus,DIVISION 11 MEDICAL AND HEALTH SCIENCES
saudi arabia,DIVISION 24 OTHERS(IRRELEVANT)
scabies,DIVISION 11 MEDICAL AND HEALTH SCIENCES
scaling,DIVISION 24 OTHERS(IRRELEVANT)
scenarios,DIVISION 24 OTHERS(IRRELEVANT)
schizophrenia,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
school,DIVISION 13 EDUCATION
school law,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
screening,DIVISION 24 OTHERS(IRRELEVANT)
second world war,DIVISION 21 HISTORY AND ARCHAEOLOGY
security systems,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
sedentary behavior,DIVISION 11 MEDICAL AND HEALTH SCIENCES
seed,DIVISION 06 BIOLOGICAL SCIENCES
selenium,DIVISION 03 CHEMICAL SCIENCES
self concept,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
self-management,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
self-regulation,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
semantic web,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
sensors,DIVISION 09 ENGINEERING
service delivery,DIVISION 24 OTHERS(IRRELEVANT)
sex determination,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
sex education,DIVISION 13 EDUCATION
sex reversal,DIVISION 06 BIOLOGICAL SCIENCES
sexual violence,DIVISION 16 STUDIES IN HUMAN SOCIETY
shareholder,DIVISION 14 ECONOMICS
shoes,DIVISION 24 OTHERS(IRRELEVANT)
skin temperature,DIVISION 11 MEDICAL AND HEALTH SCIENCES
small and medium-sized enterprises (smes),DIVISION 14 ECONOMICS
small business,DIVISION 14 ECONOMICS
smartphone,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
smokers,DIVISION 11 MEDICAL AND HEALTH SCIENCES
social adjustment,DIVISION 16 STUDIES IN HUMAN SOCIETY
social exclusion,DIVISION 16 STUDIES IN HUMAN SOCIETY
social interaction,DIVISION 16 STUDIES IN HUMAN SOCIETY
social support,DIVISION 16 STUDIES IN HUMAN SOCIETY
social web,DIVISION 16 STUDIES IN HUMAN SOCIETY
socialisation,DIVISION 16 STUDIES IN HUMAN SOCIETY
socioeconomics,DIVISION 16 STUDIES IN HUMAN SOCIETY
software engineering,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
sorting,DIVISION 24 OTHERS(IRRELEVANT)
south africa,DIVISION 24 OTHERS(IRRELEVANT)
southeast,DIVISION 24 OTHERS(IRRELEVANT)
southeast asia,DIVISION 24 OTHERS(IRRELEVANT)
species richness,DIVISION 06 BIOLOGICAL SCIENCES
specifications,DIVISION 23 OTHERS(RELEVANT)
speed,DIVISION 02 PHYSICAL SCIENCES
sports events,DIVISION 24 OTHERS(IRRELEVANT)
stable isotope,DIVISION 03 CHEMICAL SCIENCES
stewardship,DIVISION 24 OTHERS(IRRELEVANT)
stroke,DIVISION 11 MEDICAL AND HEALTH SCIENCES
structural equation modeling,DIVISION 01 MATHEMATICAL SCIENCES
student,DIVISION 13 EDUCATION
studies abroad,DIVISION 13 EDUCATION
sugars,DIVISION 03 CHEMICAL SCIENCES
sulfur,DIVISION 03 CHEMICAL SCIENCES
supplier,DIVISION 24 OTHERS(IRRELEVANT)
survey data,DIVISION 23 OTHERS(RELEVANT)
sustainability reporting,DIVISION 16 STUDIES IN HUMAN SOCIETY
sweden,DIVISION 24 OTHERS(IRRELEVANT)
sympathetic nervous system,DIVISION 10 TECHNOLOGY
synergy,DIVISION 23 OTHERS(RELEVANT)
tai ji,DIVISION 13 EDUCATION
taiwan,DIVISION 24 OTHERS(IRRELEVANT)
targeting,DIVISION 23 OTHERS(RELEVANT)
task performance and analysis,DIVISION 23 OTHERS(RELEVANT)
tasmania,DIVISION 24 OTHERS(IRRELEVANT)
teaching practice,DIVISION 13 EDUCATION
technology adoption,DIVISION 23 OTHERS(RELEVANT)
tectonics,DIVISION 04 EARTH SCIENCES
telemedicine,DIVISION 11 MEDICAL AND HEALTH SCIENCES
tertiary care centers,DIVISION 11 MEDICAL AND HEALTH SCIENCES
test,DIVISION 24 OTHERS(IRRELEVANT)
textures,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
therapeutic alliance,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
tibia,DIVISION 11 MEDICAL AND HEALTH SCIENCES
transcriptomics,DIVISION 06 BIOLOGICAL SCIENCES
virion,DIVISION 10 TECHNOLOGY
virus replication,DIVISION 10 TECHNOLOGY
volleyball,DIVISION 13 EDUCATION
volunteers,DIVISION 24 OTHERS(IRRELEVANT)
voter,DIVISION 24 OTHERS(IRRELEVANT)
vulnerable populations,DIVISION 16 STUDIES IN HUMAN SOCIETY
waist-hip ratio,DIVISION 11 MEDICAL AND HEALTH SCIENCES
walk test,DIVISION 11 MEDICAL AND HEALTH SCIENCES
washing,DIVISION 24 OTHERS(IRRELEVANT)
water resource,DIVISION 04 EARTH SCIENCES
water resources,DIVISION 04 EARTH SCIENCES
water sports,DIVISION 13 EDUCATION
watermarking,DIVISION 09 ENGINEERING
wavelet transforms,DIVISION 02 PHYSICAL SCIENCES
way of life,DIVISION 16 STUDIES IN HUMAN SOCIETY
weapons,DIVISION 09 ENGINEERING
weathering,DIVISION 04 EARTH SCIENCES
web sites,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
weight loss,DIVISION 11 MEDICAL AND HEALTH SCIENCES
western australia,DIVISION 24 OTHERS(IRRELEVANT)
wetland,DIVISION 04 EARTH SCIENCES
wheat,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
widow,DIVISION 24 OTHERS(IRRELEVANT)
wilderness,DIVISION 05 ENVIRONMENTAL SCIENCES
wildfire,DIVISION 05 ENVIRONMENTAL SCIENCES
wildland fire management,DIVISION 05 ENVIRONMENTAL SCIENCES
winter,DIVISION 04 EARTH SCIENCES
women's health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
work place,DIVISION 16 STUDIES IN HUMAN SOCIETY
worker,DIVISION 16 STUDIES IN HUMAN SOCIETY
working life,DIVISION 24 OTHERS(IRRELEVANT)
world war ii,DIVISION 21 HISTORY AND ARCHAEOLOGY
wounds and injuries,DIVISION 11 MEDICAL AND HEALTH SCIENCES
young,DIVISION 11 MEDICAL AND HEALTH SCIENCES
youth sports,DIVISION 13 EDUCATION
role play,DIVISION 23 OTHERS(RELEVANT)
supervised learning,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
endorsements,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
intrusion detection,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
incentive,DIVISION 14 ECONOMICS
human erbb2 protein,DIVISION 11 MEDICAL AND HEALTH SCIENCES
retina,DIVISION 11 MEDICAL AND HEALTH SCIENCES
distributional impacts,DIVISION 24 OTHERS(IRRELEVANT)
islam,DIVISION 24 OTHERS(IRRELEVANT)
practice management,DIVISION 24 OTHERS(IRRELEVANT)
developed countries,DIVISION 24 OTHERS(IRRELEVANT)
lung,DIVISION 11 MEDICAL AND HEALTH SCIENCES
beetle,DIVISION 05 ENVIRONMENTAL SCIENCES
gross domestic product,DIVISION 14 ECONOMICS
help-seeking behavior,DIVISION 11 MEDICAL AND HEALTH SCIENCES
self-help groups,DIVISION 11 MEDICAL AND HEALTH SCIENCES
wrist,DIVISION 11 MEDICAL AND HEALTH SCIENCES
microfinance,DIVISION 14 ECONOMICS
hospital emergency service,DIVISION 11 MEDICAL AND HEALTH SCIENCES
parturition,DIVISION 09 ENGINEERING
phase transition,DIVISION 09 ENGINEERING
public housing,DIVISION 16 STUDIES IN HUMAN SOCIETY
fish communities,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
mathematics teaching,DIVISION 13 EDUCATION
japan,DIVISION 24 OTHERS(IRRELEVANT)
financial management,DIVISION 14 ECONOMICS
body condition,DIVISION 11 MEDICAL AND HEALTH SCIENCES
disadvantage,DIVISION 24 OTHERS(IRRELEVANT)
semiotics,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
psychopathology,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
cameras,DIVISION 09 ENGINEERING
salts,DIVISION 02 PHYSICAL SCIENCES
consumption behavior,DIVISION 14 ECONOMICS
semester,DIVISION 13 EDUCATION
subjectivity,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
international accounting standards board,DIVISION 14 ECONOMICS
water policy,DIVISION 05 ENVIRONMENTAL SCIENCES
consciousness,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
baby,DIVISION 11 MEDICAL AND HEALTH SCIENCES
prose poem,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
global financial crisis,DIVISION 14 ECONOMICS
face recognition,DIVISION 10 TECHNOLOGY
humanitarianism,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
comparison,DIVISION 24 OTHERS(IRRELEVANT)
eicosapentaenoic acid,DIVISION 03 CHEMICAL SCIENCES
social determinants of health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
integrated model,DIVISION 23 OTHERS(RELEVANT)
license,DIVISION 23 OTHERS(RELEVANT)
engineers,DIVISION 10 TECHNOLOGY
micronesia,DIVISION 24 OTHERS(IRRELEVANT)
walking speed,DIVISION 09 ENGINEERING
child custody,DIVISION 16 STUDIES IN HUMAN SOCIETY
research method,DIVISION 23 OTHERS(RELEVANT)
suicide,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
information seeking behavior,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
head movements,DIVISION 11 MEDICAL AND HEALTH SCIENCES
multicultural society,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
repository,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
health care services,DIVISION 11 MEDICAL AND HEALTH SCIENCES
examination,DIVISION 23 OTHERS(RELEVANT)
vision,DIVISION 11 MEDICAL AND HEALTH SCIENCES
electric fuses,DIVISION 10 TECHNOLOGY
water management,DIVISION 05 ENVIRONMENTAL SCIENCES
attack,DIVISION 10 TECHNOLOGY
social attitude,DIVISION 16 STUDIES IN HUMAN SOCIETY
political elite,DIVISION 16 STUDIES IN HUMAN SOCIETY
career development,DIVISION 13 EDUCATION
india,DIVISION 24 OTHERS(IRRELEVANT)
cultural factors,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
neuroimaging,DIVISION 11 MEDICAL AND HEALTH SCIENCES
sharing economy,DIVISION 14 ECONOMICS
self-injurious behavior,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
basin,DIVISION 04 EARTH SCIENCES
canberra,DIVISION 24 OTHERS(IRRELEVANT)
patellar ligament,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
decision-making process,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
enforcement,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
wearable electronic devices,DIVISION 09 ENGINEERING
national security,DIVISION 16 STUDIES IN HUMAN SOCIETY
hot temperature,DIVISION 09 ENGINEERING
midwife,DIVISION 11 MEDICAL AND HEALTH SCIENCES
australian capital territory,DIVISION 24 OTHERS(IRRELEVANT)
textbook,DIVISION 13 EDUCATION
reciprocity,DIVISION 24 OTHERS(IRRELEVANT)
sex offenses,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
gender-specific factors,DIVISION 16 STUDIES IN HUMAN SOCIETY
trade agreement,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
camera,DIVISION 09 ENGINEERING
quality of health care,DIVISION 11 MEDICAL AND HEALTH SCIENCES
continent,DIVISION 04 EARTH SCIENCES
color,DIVISION 24 OTHERS(IRRELEVANT)
lawyers,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
educator,DIVISION 13 EDUCATION
turkey,DIVISION 24 OTHERS(IRRELEVANT)
child development,DIVISION 13 EDUCATION
female student,DIVISION 13 EDUCATION
degradation,DIVISION 06 BIOLOGICAL SCIENCES
group membership,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
educational policy,DIVISION 13 EDUCATION
human capital,DIVISION 16 STUDIES IN HUMAN SOCIETY
developing country,DIVISION 24 OTHERS(IRRELEVANT)
amplification,DIVISION 06 BIOLOGICAL SCIENCES
services,DIVISION 24 OTHERS(IRRELEVANT)
criminals,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
world wide web,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
competency,DIVISION 24 OTHERS(IRRELEVANT)
segmentation,DIVISION 24 OTHERS(IRRELEVANT)
educational research,DIVISION 13 EDUCATION
carbidopa,DIVISION 24 OTHERS(IRRELEVANT)
research project,DIVISION 23 OTHERS(RELEVANT)
technological change,DIVISION 09 ENGINEERING
physiological adaptation,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
data base,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
psychological,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
high performance liquid chromatography,DIVISION 03 CHEMICAL SCIENCES
cell death,DIVISION 06 BIOLOGICAL SCIENCES
public transport,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
economic system,DIVISION 14 ECONOMICS
singapore,DIVISION 24 OTHERS(IRRELEVANT)
sensitivity and specificity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
news value,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
breast feeding,DIVISION 11 MEDICAL AND HEALTH SCIENCES
animation,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
functional foods,DIVISION 11 MEDICAL AND HEALTH SCIENCES
victoria (australia),DIVISION 24 OTHERS(IRRELEVANT)
clone cells,DIVISION 06 BIOLOGICAL SCIENCES
pubmed,DIVISION 06 BIOLOGICAL SCIENCES
athlete,DIVISION 06 BIOLOGICAL SCIENCES
physiology,DIVISION 06 BIOLOGICAL SCIENCES
suburb,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
health occupations,DIVISION 11 MEDICAL AND HEALTH SCIENCES
extremities,DIVISION 11 MEDICAL AND HEALTH SCIENCES
ecological momentary assessment,DIVISION 05 ENVIRONMENTAL SCIENCES
publications,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
method,DIVISION 23 OTHERS(RELEVANT)
land,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
uno,DIVISION 04 EARTH SCIENCES
defects,DIVISION 24 OTHERS(IRRELEVANT)
stakeholder,DIVISION 23 OTHERS(RELEVANT)
maccullochella peelii peelii,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
access control,DIVISION 09 ENGINEERING
woman,DIVISION 24 OTHERS(IRRELEVANT)
endurance training,DIVISION 11 MEDICAL AND HEALTH SCIENCES
social problems,DIVISION 16 STUDIES IN HUMAN SOCIETY
peace process,DIVISION 16 STUDIES IN HUMAN SOCIETY
book review,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
adipose tissue,DIVISION 11 MEDICAL AND HEALTH SCIENCES
nitric acid,DIVISION 03 CHEMICAL SCIENCES
inhibition (psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
mixed methods,DIVISION 23 OTHERS(RELEVANT)
identification (psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
optical flows,DIVISION 02 PHYSICAL SCIENCES
maintenance,DIVISION 09 ENGINEERING
hydrology,DIVISION 04 EARTH SCIENCES
scincidae,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
government supervision,DIVISION 16 STUDIES IN HUMAN SOCIETY
editor,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
predator,DIVISION 05 ENVIRONMENTAL SCIENCES
representative democracy,DIVISION 16 STUDIES IN HUMAN SOCIETY
asymmetry,DIVISION 01 MATHEMATICAL SCIENCES
world war i,DIVISION 21 HISTORY AND ARCHAEOLOGY
intersectionality,DIVISION 24 OTHERS(IRRELEVANT)
social status,DIVISION 16 STUDIES IN HUMAN SOCIETY
educational practice,DIVISION 13 EDUCATION
urban renewal,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
big data,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
inhabitant,DIVISION 16 STUDIES IN HUMAN SOCIETY
"health knowledge, attitudes, practice",DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
paint,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
emerging asian countries,DIVISION 24 OTHERS(IRRELEVANT)
family income,DIVISION 16 STUDIES IN HUMAN SOCIETY
world,DIVISION 24 OTHERS(IRRELEVANT)
journalists,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
pleasure,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
loss,DIVISION 24 OTHERS(IRRELEVANT)
near infrared spectroscopy,DIVISION 02 PHYSICAL SCIENCES
developing world,DIVISION 24 OTHERS(IRRELEVANT)
internet of things,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
researchers,DIVISION 24 OTHERS(IRRELEVANT)
communication technology,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
mask,DIVISION 11 MEDICAL AND HEALTH SCIENCES
feeding and eating disorders,DIVISION 11 MEDICAL AND HEALTH SCIENCES
social networking,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
east-timor,DIVISION 24 OTHERS(IRRELEVANT)
vip,DIVISION 24 OTHERS(IRRELEVANT)
typology,DIVISION 23 OTHERS(RELEVANT)
soldier,DIVISION 23 OTHERS(RELEVANT)
anterior cruciate ligament injuries,DIVISION 11 MEDICAL AND HEALTH SCIENCES
australasia,DIVISION 24 OTHERS(IRRELEVANT)
lakes,DIVISION 04 EARTH SCIENCES
employee,DIVISION 16 STUDIES IN HUMAN SOCIETY
accelerometry,DIVISION 11 MEDICAL AND HEALTH SCIENCES
social effects,DIVISION 24 OTHERS(IRRELEVANT)
basketball,DIVISION 24 OTHERS(IRRELEVANT)
accidental falls,DIVISION 11 MEDICAL AND HEALTH SCIENCES
twentieth century,DIVISION 24 OTHERS(IRRELEVANT)
hydrological change,DIVISION 05 ENVIRONMENTAL SCIENCES
logic,DIVISION 09 ENGINEERING
emotions,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
sitting position,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
treaty,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
negotiating,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
human health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
sexual and gender minorities,DIVISION 16 STUDIES IN HUMAN SOCIETY
hacker,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
non-randomized controlled trials,DIVISION 23 OTHERS(RELEVANT)
percutaneous coronary intervention,DIVISION 11 MEDICAL AND HEALTH SCIENCES
paper,DIVISION 09 ENGINEERING
anthropology,DIVISION 21 HISTORY AND ARCHAEOLOGY
triticum,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
pregnant women,DIVISION 11 MEDICAL AND HEALTH SCIENCES
narcissism,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
demographic statistics,DIVISION 16 STUDIES IN HUMAN SOCIETY
