_id,weight,orig_id,Title,Category,Description,Title_orig,Category_orig,Description_orig,relevancy score(irrelevant:0;nearly the same:5)
6234047228a0c11b54da33fe,-0.325994164,623401ed28a0c11b54da32fb,Special Research Initiative in Excellence in Antarctic Science for funding commencing in 2020,"Science, Technology, Engineering and Mathematics (STEM) Research","The Special Research Initiatives (SRI) scheme provides funding for new and emerging fields of research and builds capacity in strategically important areas. The ARC currently funds several SRIs in a wide range of research areas. 
 Under the Australian Research Council (ARC) Special Research Initiatives scheme, the Australian Government will support the Special Research Initiative in Excellence in Antarctic Science (SRIEAS) for funding commencing in 2020.  
 Up to $56 million in total funding for up to seven years, will be available to support a range of research projects 
 The objective of the SRI scheme is to support high-quality research which will assist in advancing Australia’s research excellence to be globally competitive and deliver benefits to the community. This extends, but is not limited, to supporting research-related activities which will respond to emerging opportunities or changing priorities. 
 The objectives of the SRI in Excellence in Antarctic Science grant opportunity specifically are to: 
 
 support excellent research in identified Australian Antarctic science priority research themes; 
 contribute to a coordinated and collaborative approach to Antarctic, Subantarctic and Southern Ocean research that builds on Australia’s existing capability in this area; 
 build Australian research capacity in this area by supporting researchers of the highest international standing as well as high quality postdoctoral researchers and research students; and 
 advance Australia’s capabilities and knowledge in Antarctic research. 
",ARC Centres of Excellence commencing 2020,"Science, Technology, Engineering and Mathematics (STEM) Research","The objectives of the ARC Centres of Excellence grant opportunity are to: 
 
 undertake highly innovative and potentially transformational research that aims to achieve international standing in the fields of research envisaged and leads to a significant advancement of capabilities and knowledge; 
 
 
 link existing Australian research strengths and build critical mass with new capacity for interdisciplinary, collaborative approaches to address the most challenging and significant research problems; 
 
 
 develop relationships and build new networks with major national and international centres and research programs to help strengthen research, achieve global competitiveness and gain recognition for Australian research; 
 
 
 build Australia’s human capacity in a range of research areas by attracting and retaining, from within Australia and abroad, researchers of high international standing as well as the most promising research students; 
 
 
 provide high-quality postgraduate and postdoctoral training environments for the next generation of researchers; 
 
 
 offer Australian researchers opportunities to work on large-scale problems over longer periods of time; and 
 
 
 establish Centres that have an impact on the wider community through interaction with, and beneficial outcomes for, higher education institutions, governments, industry and the private and non-profit sectors.  
",4
62340a5a28a0c11b54da3641,-0.27689149,623401ed28a0c11b54da32fb,MRFF – Emerging Priorities and Consumer Driven Research Initiative – 2020 Paediatric Cancer Grant Opportunity,Medical Research,"The Medical Research Future Fund - Emerging Priorities and Consumer Driven Research Initiative is designed to support high quality research that improves patient care, translates new discoveries and encourages joint collaboration of consumers and researchers in undertaking research in emerging priority areas.  
 The objective of this grant opportunity is to provide a grant of financial assistance to support a co-ordinated program of Victorian medical research and medical innovation projects aimed at improving outcomes for children with cancer by improving: 
 
 basic knowledge about cancer in children 
 the clinical management of cancer in children, including the patient journey and survivorship. 
 
 This grant opportunity will fund a multi-centre program of research that brings together expertise from the Melbourne Biomedical Precinct (Parkville) and the Monash Technology Precinct. The program must complement existing research programs and incorporate research activities based at The Royal Children’s Hospital, Melbourne and Monash Children’s Hospital. 
 The intended outcome of the research is to improve the health and wellbeing of Australians by facilitating research-informed, evidence-based continuous improvement in the care of children with cancer by seeding a high-impact program of paediatric cancer research that is amenable to, and competitive in, leveraging funding for further expansion. 
 Applicants to this grant opportunity must propose to conduct research that delivers against the above objective. 
 This grant opportunity is being administered by NHMRC on behalf of the Australian Government Department of Health. 
 Further information on the Medical Research Future Fund is available from the  Department of Health website .",ARC Centres of Excellence commencing 2020,"Science, Technology, Engineering and Mathematics (STEM) Research","The objectives of the ARC Centres of Excellence grant opportunity are to: 
 
 undertake highly innovative and potentially transformational research that aims to achieve international standing in the fields of research envisaged and leads to a significant advancement of capabilities and knowledge; 
 
 
 link existing Australian research strengths and build critical mass with new capacity for interdisciplinary, collaborative approaches to address the most challenging and significant research problems; 
 
 
 develop relationships and build new networks with major national and international centres and research programs to help strengthen research, achieve global competitiveness and gain recognition for Australian research; 
 
 
 build Australia’s human capacity in a range of research areas by attracting and retaining, from within Australia and abroad, researchers of high international standing as well as the most promising research students; 
 
 
 provide high-quality postgraduate and postdoctoral training environments for the next generation of researchers; 
 
 
 offer Australian researchers opportunities to work on large-scale problems over longer periods of time; and 
 
 
 establish Centres that have an impact on the wider community through interaction with, and beneficial outcomes for, higher education institutions, governments, industry and the private and non-profit sectors.  
",4
6234037528a0c11b54da3397,-0.242454235,623401ed28a0c11b54da32fb,Discovery Projects for funding commencing in 2020,"Science, Technology, Engineering and Mathematics (STEM) Research","The Discovery Projects (DP) grant opportunity is a separate element of the Discovery Program. The DP grant opportunity provides project funding for research conducted by individuals and teams. 
 The objectives of the Discovery Projects grant opportunity are to: 
 
 support excellent basic and applied research by individuals and teams 
 encourage high-quality research and research and research training 
 enhance international collaboration in research 
 expand Australia’s knowledge base and research capability 
 enhance the scale an focus of research in the Australian Government’s Science and Research Priorities. 
",ARC Centres of Excellence commencing 2020,"Science, Technology, Engineering and Mathematics (STEM) Research","The objectives of the ARC Centres of Excellence grant opportunity are to: 
 
 undertake highly innovative and potentially transformational research that aims to achieve international standing in the fields of research envisaged and leads to a significant advancement of capabilities and knowledge; 
 
 
 link existing Australian research strengths and build critical mass with new capacity for interdisciplinary, collaborative approaches to address the most challenging and significant research problems; 
 
 
 develop relationships and build new networks with major national and international centres and research programs to help strengthen research, achieve global competitiveness and gain recognition for Australian research; 
 
 
 build Australia’s human capacity in a range of research areas by attracting and retaining, from within Australia and abroad, researchers of high international standing as well as the most promising research students; 
 
 
 provide high-quality postgraduate and postdoctoral training environments for the next generation of researchers; 
 
 
 offer Australian researchers opportunities to work on large-scale problems over longer periods of time; and 
 
 
 establish Centres that have an impact on the wider community through interaction with, and beneficial outcomes for, higher education institutions, governments, industry and the private and non-profit sectors.  
",4
6234092f28a0c11b54da35d1,-0.239355286,623401ed28a0c11b54da32fb,Discovery Early Career Researcher Award for funding commencing in 2022,"Science, Technology, Engineering and Mathematics (STEM) Research","The Discovery Early Career Researcher Award (DECRA) grant opportunity provides focused research support for early career researchers in both teaching and research, and research-only positions. 
 The DECRA scheme objectives are to: 
 
 support excellent basic and applied research by early career researchers; 
 support national and international research collaboration; 
 enhance the scale and focus of research in Australian Government priority areas; 
 advance promising early career researchers and promote enhanced opportunities for diverse career pathways; and 
 enable research and research training in high quality and supportive environments. 
 
 The intended outcomes of the DECRA scheme are: 
 
  expanded knowledge base and research capacity in Australia; and 
 economic, commercial, environmental, social and/or cultural benefits for Australia. 
",ARC Centres of Excellence commencing 2020,"Science, Technology, Engineering and Mathematics (STEM) Research","The objectives of the ARC Centres of Excellence grant opportunity are to: 
 
 undertake highly innovative and potentially transformational research that aims to achieve international standing in the fields of research envisaged and leads to a significant advancement of capabilities and knowledge; 
 
 
 link existing Australian research strengths and build critical mass with new capacity for interdisciplinary, collaborative approaches to address the most challenging and significant research problems; 
 
 
 develop relationships and build new networks with major national and international centres and research programs to help strengthen research, achieve global competitiveness and gain recognition for Australian research; 
 
 
 build Australia’s human capacity in a range of research areas by attracting and retaining, from within Australia and abroad, researchers of high international standing as well as the most promising research students; 
 
 
 provide high-quality postgraduate and postdoctoral training environments for the next generation of researchers; 
 
 
 offer Australian researchers opportunities to work on large-scale problems over longer periods of time; and 
 
 
 establish Centres that have an impact on the wider community through interaction with, and beneficial outcomes for, higher education institutions, governments, industry and the private and non-profit sectors.  
",4
6234016a28a0c11b54da32c7,-0.238190871,623401ed28a0c11b54da32fb,Discovery Early Career Researcher Award commencing in 2019,"Science, Technology, Engineering and Mathematics (STEM) Research","The  Discovery Early Career Researcher Award  (DECRA) scheme is a separate element of the Discovery Program. The DECRA scheme will provide more focused support for researchers and create more opportunities for early-career researchers in both teaching and research, and research-only positions. 
 The objectives of the DECRA scheme are to: 
 
 support excellent basic and applied research by early career researchers 
 advance promising early career researchers and promote enhanced opportunities for diverse career pathways  
 enable research and research training in high quality and supportive environments 
 expand Australia’s knowledge base and research capability 
 enhance the scale and focus of research in the Science and Research Priorities 
 
 It is anticipated that up to 200 three-year Discovery Early Career Researcher Awards, including up to $40 000 per annum in project funds, may be awarded each year. ",ARC Centres of Excellence commencing 2020,"Science, Technology, Engineering and Mathematics (STEM) Research","The objectives of the ARC Centres of Excellence grant opportunity are to: 
 
 undertake highly innovative and potentially transformational research that aims to achieve international standing in the fields of research envisaged and leads to a significant advancement of capabilities and knowledge; 
 
 
 link existing Australian research strengths and build critical mass with new capacity for interdisciplinary, collaborative approaches to address the most challenging and significant research problems; 
 
 
 develop relationships and build new networks with major national and international centres and research programs to help strengthen research, achieve global competitiveness and gain recognition for Australian research; 
 
 
 build Australia’s human capacity in a range of research areas by attracting and retaining, from within Australia and abroad, researchers of high international standing as well as the most promising research students; 
 
 
 provide high-quality postgraduate and postdoctoral training environments for the next generation of researchers; 
 
 
 offer Australian researchers opportunities to work on large-scale problems over longer periods of time; and 
 
 
 establish Centres that have an impact on the wider community through interaction with, and beneficial outcomes for, higher education institutions, governments, industry and the private and non-profit sectors.  
",4
62340d4d28a0c11b54da3753,-0.237579457,623401ed28a0c11b54da32fb,Industrial Transformation Training Centres for funding commencing in 2022,"Science, Technology, Engineering and Mathematics (STEM) Research","Training Centres foster close partnerships between university-based researchers and industry, through creating and delivering innovative Higher Degree by Research (HDR) and postdoctoral training. Training Centres are to develop researchers with capability in end user research that is vital to Australia's future. In delivering this training, the Training Centre focuses its researchers on developing solutions relevant to the Industrial Transformation Priorities. 
 The current Industrial Transformation Priorities are: 
 
 Advanced Manufacturing; 
 Cyber Security; 
 Food, Beverage and Agribusiness; 
 Medical Technologies and Pharmaceuticals; 
 Mining Equipment, Resources Technology and Services, Critical Minerals Processing; 
 Oil, Gas and Energy Resources; 
 Recycling and Clean Energy; 
 Defence; and 
 Space. 
 
 The objectives of the Industrial Transformation Training Centres grant opportunity are to: 
 
 support HDR candidates and postdoctoral researchers to undertake industrial training; 
 support research collaboration between universities and organisations outside the Australian higher education sector; and 
 strengthen the capabilities of industry and research end-users in identified Industrial Transformation Priority areas. 
",ARC Centres of Excellence commencing 2020,"Science, Technology, Engineering and Mathematics (STEM) Research","The objectives of the ARC Centres of Excellence grant opportunity are to: 
 
 undertake highly innovative and potentially transformational research that aims to achieve international standing in the fields of research envisaged and leads to a significant advancement of capabilities and knowledge; 
 
 
 link existing Australian research strengths and build critical mass with new capacity for interdisciplinary, collaborative approaches to address the most challenging and significant research problems; 
 
 
 develop relationships and build new networks with major national and international centres and research programs to help strengthen research, achieve global competitiveness and gain recognition for Australian research; 
 
 
 build Australia’s human capacity in a range of research areas by attracting and retaining, from within Australia and abroad, researchers of high international standing as well as the most promising research students; 
 
 
 provide high-quality postgraduate and postdoctoral training environments for the next generation of researchers; 
 
 
 offer Australian researchers opportunities to work on large-scale problems over longer periods of time; and 
 
 
 establish Centres that have an impact on the wider community through interaction with, and beneficial outcomes for, higher education institutions, governments, industry and the private and non-profit sectors.  
",4
6162aa1fe1b7f5c73e6fe39c,-0.637520967,6162aa1fe1b7f5c73e6fe339,PROVISION OF RESEARCH INTO FAMILY VIOLENCE SINCE THE 2006 FAMILY LAW REFORMS,Social policy services,"The Commonwealth of Australia represented by the Attorney-General's Department invites interested parties to submit tenders to research family violence since the introduction of the 2006 Family Law reforms subject to the terms and conditions set out, or referred to, in the RFT. ",Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,0
6162aa1fe1b7f5c73e6fe1e7,-0.618408027,6162aa1fe1b7f5c73e6fe339,Provision of Services for Progam Inclusive EM with CALD,Education and Training Services,Attorney-Generals Department invites submissions for the provision of services for the program Inclusive Emergency Management with Culturally and Linguistically Diverse Communities. ,Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,0
62340fe728a0c11b54da3843,-0.594156187,6162aa1fe1b7f5c73e6fe339,Children's Contact Services,"Child Health, Development and Wellbeing","The Australian Government is inviting applications, through an open competitive process, to apply for funding to deliver Children’s Contact Services (CCS) under the Family Relationship Services Program (FRSP), administered by the Attorney-General’s Department 
 The Australian Government has announced a total of up to $40,700,000 GST exclusive over 4 years from 2022–23 to 2025–26 for the CCS grant opportunity. 
 CCSs occupy a unique and important position within Australia’s family law system, with their core business focusing on the needs of children whose parents are separating or separated and who cannot manage contact arrangements. 
 CCSs enable children of separated parents to have safe contact with the parent they do not live with, in circumstances where parents are unable to manage their own contact arrangements. Where separated parents are not able to meet without conflict, CCSs provide a safe, neutral venue for the transfer of children between separated parents. Where there is a perceived or actual risk to the child, they also provide supervised contact between a child and the parent or other persons that are significant to the child whom they do not live with, where it is assessed by the service as safe to do so. 
 The objectives of the grant opportunity are to deliver a CCS that: 
 
 provides a trauma informed, child-centred model of intervention, that assists children of separated parents establish and maintain a relationship with their other parent and family members  
 helps achieve sustained and workable long-term parenting and contact arrangements. 
 
  ",Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,0
6162aa1fe1b7f5c73e6fe2df,-0.560968022,6162aa1fe1b7f5c73e6fe339,Indonesia-Australia FTA Feasibility Study Economic Modelling,Economic analysis,The Department of Foreign Affairs and Trade (the Department) requires the services of a suitably qualified and professional individual or institution to conduct economic modeling for a joint feasibility study into an Australia Indonesia free trade agreement (FTA).,Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,3
62340e1928a0c11b54da379a,-0.537662657,6162aa1fe1b7f5c73e6fe339,National Soil Carbon Innovation Challenge – Feasibility Study Grants,"Science, Technology, Engineering and Mathematics (STEM) Research","The National Soil Carbon Innovation Challenge: Feasibility Study Grants support successful applicants to conduct feasibility studies that demonstrate the technical viability and commercial potential of your soil carbon measurement solutions. 
 The objectives of the National Soil Carbon Innovation Challenge program are to: 
 
 fast-track the development of lower-cost, accurate technical approaches to enable land managers to quantify the impact of their land management activities on soil organic carbon  
 secure co-investment and foster partnerships that trial and deploy novel soil carbon measurement technological solutions. 
 
 There will be other grant opportunities as part of this program, supporting proof of concept and validation and deployment stages of technology development. This stage does not have to be completed to be eligible for future grant opportunities. We will publish details of opportunities in the future.",Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,3
6162aa1fe1b7f5c73e6fe185,-0.481995627,6162aa1fe1b7f5c73e6fe339,Panel Provider Under the People Development Strategy,Education and Training Services,The Attorney-General?s Department is seeking tenders for the provision of services under its People Development Strategy.  ,Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,1
6162aa1fe1b7f5c73e6fe39b,-0.481058067,6162aa1fe1b7f5c73e6fe339,PROVISION OF RESEARCH INTO SHARED CARE PARENTING ARRANGEMENTS SINCE THE 2006 FAMILY LAW REFORMS,Social policy services,"The Commonwealth of Australia represented by the Attorney-General's Department invites interested parties to submit tenders to research shared care parenting arrangements since the introduction of the 2006 Family Law reforms subject to the terms and conditions set out, or referred to, in the RFT. ",Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,0
623408ce28a0c11b54da35ab,-0.48072913,6162aa1fe1b7f5c73e6fe339,Feasibility Study on Australia-Germany Trade and Investment in Hydrogen produced from Renewables,Energy Resources,"The Australian Government is seeking expressions of interest from an Australian industry and research consortium to undertake Australia’s input into a comprehensive feasibility study. The study would investigate the Australian-German supply chain involving the production, storage, transport and use of hydrogen (including hydrogen based energy carriers, such as ammonia) produced from renewables.  This work would be undertaken in collaboration with a German consortium that will be selected and funded separately by the German Government. The results of the study can be used to establish two-way trade and investment, along with value chains in associated markets. The study would consider the applications of modules on the production, storage, transport, recovery and use of hydrogen and hydrogen based energy carriers produced from renewables as well as business models for the supply chain. Other considerations in the study would include: a. Comparison of the current technology and research readiness levels along the whole supply chain; b. Exchange of technologies, knowledge and experiences between the partners on both sides; c. Assessment of Australian potential to produce hydrogen and hydrogen based energy carriers from renewables for export to Germany and associated markets;  d. Identification of economic, technological and regulatory requirements for the transport of and trade in hydrogen and hydrogen based energy carriers produced from renewables; e. Determination of demand and end use for hydrogen and hydrogen based energy carriers produced from renewables in relevant industries in Germany and associated markets; f. Identification of economic, scientific, technological, regulatory and logistical barriers of the feasibility of the supply chain; and the g. Identification of business models for hydrogen and hydrogen based energy carriers produced from renewables.",Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,3
6162aa1fe1b7f5c73e6fe38c,-0.400585967,6162aa1fe1b7f5c73e6fe339,Provision of Assessment and Training to Registered Family Dispute Resolution Practitioners,Education and Training Services,The Commonwealth of Australia represented by the Attorney-General's Department invites interested parties to submit tenders to provide assessment and training services to registered family dispute resolution practitioners,Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,0
6162aa1fe1b7f5c73e6fe439,-0.328363363,6162aa1fe1b7f5c73e6fe339,Technology and Technical Knowledge Advice,Engineering and Research and Technology Based Services,"The Department invites suitably qualified contractors to submit a tender for the provision of expertise in diagnosing and linking to appropriate technology, technical knowledge and research solutions to improve the existing operations of Enterprise Connect clients.",Wireless Priority Service System Feasibility Study,Engineering and Research and Technology Based Services,The Attorney-General's Department wishes to establish a Wireless Priority Service System (WPSS) feasibility study to determine the financial and technical feasibility of a multiple carrier WPSS within the Australian mobile telephony sector.,4
62340e1928a0c11b54da379a,-0.486179965,6162aa1fe1b7f5c73e6fe1dc,National Soil Carbon Innovation Challenge – Feasibility Study Grants,"Science, Technology, Engineering and Mathematics (STEM) Research","The National Soil Carbon Innovation Challenge: Feasibility Study Grants support successful applicants to conduct feasibility studies that demonstrate the technical viability and commercial potential of your soil carbon measurement solutions. 
 The objectives of the National Soil Carbon Innovation Challenge program are to: 
 
 fast-track the development of lower-cost, accurate technical approaches to enable land managers to quantify the impact of their land management activities on soil organic carbon  
 secure co-investment and foster partnerships that trial and deploy novel soil carbon measurement technological solutions. 
 
 There will be other grant opportunities as part of this program, supporting proof of concept and validation and deployment stages of technology development. This stage does not have to be completed to be eligible for future grant opportunities. We will publish details of opportunities in the future.","OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",1
6162aa1fe1b7f5c73e6fe1ee,-0.95250874,6162aa1fe1b7f5c73e6fe1dc,2007 National Drug Strategy Household Survey,Management advisory services,"Survey, Australia-wide: drug use and related issues.    Two modes: drop-and-collect, (~20,000 respondents) and/or CATI (~5,000)-tender for either or both.    Project Manager: the Australian Institute of Health and Welfare","OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",1
6162aa1fe1b7f5c73e6fe15e,-0.85781002,6162aa1fe1b7f5c73e6fe1dc,Australian School Teacher and Leader Survey,Education and Training Services,"A survey of school teachers and leaders, to be developed and undertaken in 2006, to gather data relating to teacher workforce needs and address key gaps in the data available to characterize the profession. It will also include investigation and recommend","OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",4
623405f328a0c11b54da3491,-0.736267803,6162aa1fe1b7f5c73e6fe1dc,Blood Borne Viruses and Sexually Transmissible Infections Surveillance,Scientific Research,"This grant opportunity is to strengthen Australia’s BBV and STI evidence base which is used to report on, and support achievement of, the goals and targets identified in the National Strategies. 
 There are two components eligible for funding under this Grant Opportunity: 
 
 The National BBV and STI Epidemiological Surveillance; and 
 The National BBV and STI Psycho-social and Behavioural Surveillance. 
 
 The objectives of the grant are to fund the systematic and ongoing collection, collation, analysis and reporting of epidemiological, behavioural, social and trend data nationally on BBV and STI, in particular hepatitis B, hepatitis C, human immunodeficiency virus (HIV), syphilis, chlamydia, gonorrhoea, and other relevant STI. 
 The intended outcomes of the grant opportunity are: 
 
 to provide information that can be used to measure progress against the goals and targets of the Strategies; 
 to monitor BBV and STI trends; 
 to provide information to support ongoing evidence-based preventive health policy and program development in relation to the BBV and STI priorities outlined in the Strategies; and 
 to enable evaluation of awareness, education and prevention activities, and appropriate management of BBV and STI. 
","OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",2
6162aa1fe1b7f5c73e6fe4dd,-0.648307537,6162aa1fe1b7f5c73e6fe1dc,2011 National Aged Care Workforce Census and Survey,Strategic planning consultation services,  The Department of Health and Ageing is seeking tenders from capable and experienced organisations to undertake the 2011 National Aged Care Workforce Census and Survey.  The project aims to obtain comprehensive data on aged care workforce profile and trends to inform strategic planning and reform implementation.,"OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",3
6234100928a0c11b54da3850,-0.49180619,6162aa1fe1b7f5c73e6fe1dc,Methane Emissions Reduction in Livestock - Stage 3: Validation and Demonstration Round 1,Farming,"The objectives of the program are to: 
 
 fast-track the development and commercial readiness of technology solutions to deliver low emission feed supplements to grazing animals at large-scale (considering market reach and abatement impact), with a particular emphasis on solutions that have the potential to increase the productivity of the national herd and grazing production systems 
 collect data on the productivity (including labour productivity) and abatement impacts from low emissions feed supplements delivered using technology solutions to grazing animals, to inform updates to the livestock emissions framework 
 engage and collaborate with livestock producers to ensure technology solutions can be implemented in a cost-effective (and ideally productivity-enhancing) way within common grazing management operations and build market interest and acceptance 
 leverage co-investment to develop, validate and demonstrate the technology solutions. 
 
 The intended outcomes of the Program are: 
 
 cost-effective (and ideally productivity-enhancing) technology solutions for delivering low emission feed supplements to grazing animals are available for voluntary adoption by livestock producers in a range of Australian production systems 
 the reduced emissions from delivering low emission feed supplements to grazing animals using the technology solutions can be estimated in the National Greenhouse Gas Inventory. 
","OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",0
623401d428a0c11b54da32f0,-0.481861465,6162aa1fe1b7f5c73e6fe1dc,Settlement Engagement and Transition Support (SETS) - Client Services,Settlement Services," SETS is an early intervention program that equips and empowers eligible clients and communities to address their identified settlement needs in order to improve social participation, economic well-being, independence, personal well-being and community connectedness.  
 The SETS program consists of two components: SETS-Client Services and SETS-Community Capacity Building. The Department has separate grant opportunities for the two components. This grant opportunity relates to SETS-Client Services only.  
 The objective of SETS-Client Services is to equip humanitarian entrants and other vulnerable migrants in their first five years in Australia with the knowledge and skills to identify, understand and take action to address their identified settlement needs. Services will be delivered in accordance with a needs-based approach. Clients will be provided with settlement-related information, advice, advocacy, and assistance to access mainstream and other relevant services. Clients may also be provided high quality casework to address issues arising during their settlement experience. Typically client needs will align with the nine priority areas identified in the National Settlement Framework.  
 SETS-Client Services has a key role in facilitating acquisition of English language skills, supporting engagement with education and training and building employment readiness with services complementing other settlement and mainstream services.","OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",2
6234015d28a0c11b54da32c3,-0.47894228,6162aa1fe1b7f5c73e6fe1dc,Protecting National Historic Sites 2017-18,Heritage,"The Australian Government’s plan for a cleaner environment rests on four pillars: 
 
 clean air 
 clean land 
 clean water 
 heritage protection. 
 
 This program is a key component of heritage protection and its objectives are to maintain, protect and conserve places on Australia’s National Heritage List that are recognised for their historic heritage values. This program is restricted to the “target places” listed in appendix B of the grant opportunity guidelines. 
 Any place added to the National Heritage List prior to the program closing date, that has been included for its historic heritage values, will also be considered a target place and be eligible under the program. 
 
 The minimum grant amount is $25,000. 
 The maximum grant amount is $250,000. 
 The grant amount will be up to 80 per cent of eligible project costs. 
 You must complete your project by 30 June 2019. 
","OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",1
6162aa1fe1b7f5c73e6fe879,-0.47634612,6162aa1fe1b7f5c73e6fe1dc,Pilbara Region (WA) Airborne Gravity Services,Earth science services,"The Acquisition, Processing and Supply of Airborne Gravity Data - Pilbara (WA) Region Geophysical Survey.   ","OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",1
6162aa1fe1b7f5c73e6fe9fb,-0.46731624,6162aa1fe1b7f5c73e6fe1dc,Artificial Intelligence Applications in Defence,Military science and research,"This Request for Proposal (RFP) seeks innovative proposals that focus on AI technologies, approaches and systems to accelerate enrich or automate components of Intelligence Mission Data (IMD) production, management, training and/or simulation, as well as AI augmented Virtual Reality (VR) and Graphics Applications that improve the value and realism of Defence modelling, simulation and training ","OECD Survey of Teachers, Teaching and Learning - Australia",Education and Training Services,"A National Project and Data Manager to oversee the Australian component of the OECD Survey of Teachers, Teaching and Learning (TALIS) in 2007.",0
6162aa1fe1b7f5c73e6fe372,-0.94866407,6162aa1fe1b7f5c73e6fe2aa,ICT Training,Education and Training Services,The Provision of Information and Communication Technology (ICT) Training,Provision of Electorate Office Information Technology (IT) Training Services,Education and Training Services,PROVISION OF ELECTORATE OFFICE INFORMATION TECHNOLOGY (IT) TRAINING SERVICES,5
6162aa1fe1b7f5c73e6fe1d1,-0.94835277,6162aa1fe1b7f5c73e6fe2aa,RFT FOR THE PROVISION OF FINANCIAL MANAGEMENT TRAINING MODULES,Education and Training Services,"The Department of Communications, Information Technology and the Arts (the Department) invites suitably experienced service providers to submit a tender for the provision of financial management training modules. ",Provision of Electorate Office Information Technology (IT) Training Services,Education and Training Services,PROVISION OF ELECTORATE OFFICE INFORMATION TECHNOLOGY (IT) TRAINING SERVICES,4
6162aa1fe1b7f5c73e6fe300,-0.9261798,6162aa1fe1b7f5c73e6fe2aa,IT Programming Training Services,Education and Training Services,Request for tender for a standing offer for the provision of information technology programming training services,Provision of Electorate Office Information Technology (IT) Training Services,Education and Training Services,PROVISION OF ELECTORATE OFFICE INFORMATION TECHNOLOGY (IT) TRAINING SERVICES,5
6162aa1fe1b7f5c73e6fe565,-0.910724685,6162aa1fe1b7f5c73e6fe2aa,Electorate Offices IT Training,Education and Training Services,Provision of IT training services for the Electorate Offices across Australia,Provision of Electorate Office Information Technology (IT) Training Services,Education and Training Services,PROVISION OF ELECTORATE OFFICE INFORMATION TECHNOLOGY (IT) TRAINING SERVICES,5
